,Left_Rough_Tendency_RTP_Score_RANK THIS WEEK,Left_Rough_Tendency_RTP_Score_RANK LAST WEEK,Left_Rough_Tendency_RTP_Score_PLAYER NAME,Left_Rough_Tendency_RTP_Score_ROUNDS,Left_Rough_Tendency_RTP_Score_RTP SCORE
0,1,1,Aaron Baddeley,77,-.112
1,2,2,Charles Howell III,108,-.088
2,3,3,Steve Stricker,70,-.076
3,4,4,Rickie Fowler,84,-.069
4,5,5,J.B. Holmes,57,-.055
5,6,6,Chris Couch,73,-.038
6,7,7,Trevor Immelman,84,-.031
7,8,8,Stewart Cink,72,-.019
8,9,9,Ryan Palmer,82,-.017
9,10,10,Davis Love III,70,-.009
10,T11,T11,Steve Marino,76,-.008
11,T11,T11,Phil Mickelson,79,-.008
12,T13,T13,Jonathan Byrd,83,E
13,T13,T13,Martin Laird,77,E
14,T13,T13,John Rollins,85,E
15,T13,T13,Vijay Singh,79,E
16,T13,T13,Brandt Snedeker,85,E
17,18,18,Nick Watney,80,+.008
18,19,19,Kevin Na,84,+.012
19,20,20,Paul Stankowski,78,+.019
20,21,21,Robert Garrigus,83,+.020
21,22,22,Ben Crane,76,+.024
22,23,23,Padraig Harrington,60,+.025
23,24,24,Ryuji Imada,83,+.026
24,T25,T25,Tommy Gainey,104,+.027
25,T25,T25,Matt Kuchar,94,+.027
26,T27,T27,Brian Gay,90,+.031
27,T27,T27,Bo Van Pelt,92,+.031
28,29,29,Y.E. Yang,63,+.032
29,30,30,Chris Kirk,87,+.033
30,31,31,Justin Rose,79,+.036
31,T32,T32,Jason Day,76,+.037
32,T32,T32,Marc Leishman,87,+.037
33,T32,T32,William McGirt,103,+.037
34,35,35,James Driscoll,71,+.038
35,36,36,Anthony Kim,72,+.039
36,T37,T37,Hunter Mahan,92,+.043
37,T37,T37,Shaun Micheel,77,+.043
38,T39,T39,Robert Allenby,84,+.044
39,T39,T39,Bryce Molder,82,+.044
40,41,41,J.P. Hayes,56,+.047
41,42,42,Camilo Villegas,69,+.050
42,T43,T43,Briny Baird,60,+.051
43,T43,T43,Scott McCarron,65,+.051
44,T43,T43,Webb Simpson,98,+.051
45,T43,T43,Jhonattan Vegas,84,+.051
46,T47,T47,Alex Cejka,59,+.052
47,T47,T47,Bill Haas,93,+.052
48,T47,T47,Bio Kim,71,+.052
49,50,50,Cameron Beckman,71,+.054
50,51,51,Pat Perez,76,+.055
51,52,52,Sergio Garcia,61,+.056
52,53,53,Chris Stroud,88,+.058
53,T54,T54,Luke Donald,73,+.059
54,T54,T54,Bubba Watson,85,+.059
55,T56,T56,Brendon de Jonge,105,+.061
56,T56,T56,Michael Thompson,79,+.061
57,T58,T58,Matt Jones,71,+.067
58,T58,T58,Geoff Ogilvy,69,+.067
59,T58,T58,David Toms,78,+.067
60,61,61,Stephen Ames,69,+.069
61,62,62,Jim Herman,69,+.073
62,T63,T63,Jerry Kelly,85,+.074
63,T63,T63,Spencer Levin,113,+.074
64,65,65,Carl Pettersson,95,+.075
65,T66,T66,Adam Scott,60,+.077
66,T66,T66,D.J. Trahan,91,+.077
67,T68,T68,J.J. Henry,96,+.078
68,T68,T68,Kyle Stanley,98,+.078
69,T70,T70,Shane Bertsch,62,+.080
70,T70,T70,Ángel Cabrera,50,+.080
71,T70,T70,Kevin Streelman,90,+.080
72,T70,T70,Marc Turnesa,54,+.080
73,74,74,Scott Piercy,78,+.081
74,75,75,Greg Chalmers,88,+.082
75,76,76,Joseph Bramlett,73,+.083
76,T77,T77,Ricky Barnes,78,+.085
77,T77,T77,Steve Elkington,50,+.085
78,79,79,Gary Woodland,93,+.086
79,T80,T80,Troy Matteson,91,+.088
80,T80,T80,Billy Mayfair,94,+.088
81,82,82,Paul Goydos,81,+.089
82,T83,T83,Jason Dufner,78,+.090
83,T83,T83,Nathan Green,81,+.090
84,85,85,Charley Hoffman,93,+.091
85,86,86,Zach Johnson,79,+.092
86,87,87,Cameron Tringale,110,+.093
87,T88,T88,David Hearn,88,+.095
88,T88,T88,Brandt Jobe,100,+.095
89,90,90,D.J. Brigman,67,+.096
90,91,91,Chris DiMarco,93,+.097
91,T92,T92,Michael Connell,76,+.098
92,T92,T92,Tag Ridings,87,+.098
93,T92,T92,John Senden,94,+.098
94,T92,T92,Roland Thatcher,67,+.098
95,96,96,K.J. Choi,77,+.099
96,97,97,Dustin Johnson,72,+.100
97,T98,T98,Michael Bradley,74,+.101
98,T98,T98,Ernie Els,71,+.101
99,T100,T100,Ben Curtis,66,+.103
100,T100,T100,Sean O'Hair,71,+.103
101,T102,T102,Steven Bowditch,86,+.108
102,T102,T102,Graeme McDowell,50,+.108
103,T102,T102,Michael Putnam,67,+.108
104,105,105,Troy Merritt,63,+.110
105,106,106,Ian Poulter,52,+.111
106,T107,T107,Jason Bohn,74,+.112
107,T107,T107,Scott Stallings,84,+.112
108,109,109,Billy Horschel,75,+.113
109,110,110,Tim Herron,85,+.115
110,T111,T111,Kris Blanks,92,+.116
111,T111,T111,Ryan Moore,79,+.116
112,T111,T111,Chez Reavie,92,+.116
113,T114,T114,Lucas Glover,74,+.117
114,T114,T114,Fabián Gómez,84,+.117
115,116,116,Brian Davis,105,+.119
116,117,117,George McNeill,69,+.120
117,T118,T118,Arjun Atwal,91,+.121
118,T118,T118,Andres Romero,77,+.121
119,120,120,Blake Adams,116,+.125
120,121,121,Brendan Steele,89,+.126
121,122,122,Hunter Haas,96,+.127
122,T123,T123,Richard Johnson,64,+.130
123,T123,T123,Josh Teater,104,+.130
124,T125,T125,Sung Kang,63,+.131
125,T125,T125,Bill Lunde,92,+.131
126,T127,T127,Freddie Jacobson,92,+.133
127,T127,T127,Derek Lamely,65,+.133
128,T127,T127,Vaughn Taylor,89,+.133
129,T130,T130,Robert Karlsson,61,+.135
130,T130,T130,Joe Ogilvie,75,+.135
131,132,132,Heath Slocum,89,+.136
132,133,133,Chad Campbell,99,+.142
133,134,134,Rod Pampling,72,+.143
134,135,135,Johnson Wagner,81,+.144
135,136,136,Nick O'Hern,89,+.145
136,137,137,Tom Gillis,55,+.146
137,T138,T138,David Mathis,83,+.147
138,T138,T138,Rory Sabbatini,85,+.147
139,T138,T138,Mark Wilson,89,+.147
140,T141,T141,Matt Bettencourt,84,+.155
141,T141,T141,Justin Leonard,82,+.155
142,143,143,Zack Miller,86,+.156
143,T144,T144,Charl Schwartzel,58,+.160
144,T144,T144,Charlie Wi,83,+.160
145,146,146,Tim Petrovic,88,+.162
