,Distance_from_Center_of_Fairway_RANK THIS WEEK,Distance_from_Center_of_Fairway_RANK LAST WEEK,Distance_from_Center_of_Fairway_PLAYER NAME,Distance_from_Center_of_Fairway_EVENTS,Distance_from_Center_of_Fairway_AVG,Distance_from_Center_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Center_of_Fairway_TOTAL STROKES
0,1,1,Bo Van Pelt,27,"22' 8""",14041.917,619
1,2,2,Adam Scott,18,"23' 4""",9666.75,415
2,3,3,Y.E. Yang,18,"23' 5""",8465.583,361
3,4,4,Phil Mickelson,21,"23' 6""",10071.667,428
4,5,5,Steve Marino,23,"23' 7""",12149.083,516
5,T6,T6,Lucas Glover,23,"23' 8""",12316.083,521
6,T6,T6,Nick Watney,22,"23' 8""",11678.333,494
7,T8,T8,Freddie Jacobson,25,"23' 9""",14153.417,596
8,T8,T8,Will Strickler,19,"23' 9""",8101.1669999999995,341
9,10,10,Charles Howell III,30,"23' 10""",17051.917,716
10,T11,T11,Kevin Chappell,26,"23' 11""",11563.917,484
11,T11,T11,Luke Donald,19,"23' 11""",11347.083,475
12,T11,T11,David Toms,23,"23' 11""",13643.417,570
13,14,14,Vijay Singh,25,"24' 0""",14089.333,588
14,T15,T15,Joe Durant,25,"24' 1""",15876.167,660
15,T15,T15,Joe Ogilvie,24,"24' 1""",11315.833,470
16,T17,T17,Jerry Kelly,26,"24' 2""",16551.0,686
17,T17,T17,Andres Romero,22,"24' 2""",12937.917,536
18,T17,T17,Camilo Villegas,25,"24' 2""",10986.25,455
19,T17,T17,Mark Wilson,26,"24' 2""",15641.917,647
20,21,21,Sergio Garcia,16,"24' 3""",8827.75,364
21,22,22,Alex Cejka,21,"24' 4""",10330.083,424
22,T23,T23,Billy Horschel,25,"24' 5""",13909.333,570
23,T23,T23,Jim Renner,22,"24' 5""",10387.0,426
24,T23,T23,Brandt Snedeker,26,"24' 5""",14333.5,588
25,T26,T26,Tom Gillis,19,"24' 6""",10676.833,436
26,T26,T26,Kevin Stadler,27,"24' 6""",15384.25,628
27,T28,T28,Brian Davis,30,"24' 7""",22176.75,903
28,T28,T28,Harrison Frazar,19,"24' 7""",7431.5830000000005,302
29,T28,T28,Kevin Kisner,24,"24' 7""",11761.417,479
30,T28,T28,Alex Prugh,29,"24' 7""",13550.75,552
31,T32,T32,Tim Herron,28,"24' 8""",14916.917,605
32,T32,T32,Kent Jones,25,"24' 8""",15141.333,614
33,T32,T32,Chez Reavie,27,"24' 8""",18597.833,755
34,T35,T35,Tommy Gainey,34,"24' 9""",18215.333,735
35,T35,T35,Justin Hicks,23,"24' 9""",10505.333,425
36,T35,T35,William McGirt,32,"24' 9""",19119.833,772
37,T35,T35,Rory Sabbatini,24,"24' 9""",11819.333,478
38,T39,T39,Sung Kang,21,"24' 10""",10830.5,436
39,T39,T39,Boo Weekley,23,"24' 10""",12996.167,523
40,41,41,David Mathis,25,"24' 11""",16228.75,651
41,T42,T42,Ben Curtis,23,"25' 0""",15502.75,621
42,T42,T42,Dustin Johnson,21,"25' 0""",10508.25,420
43,T42,T42,Ben Martin,25,"25' 0""",14204.833,569
44,T42,T42,Jeff Overton,26,"25' 0""",14816.5,592
45,T42,T42,Brendan Steele,27,"25' 0""",16835.917,674
46,T42,T42,Garrett Willis,24,"25' 0""",14830.417,593
47,T48,T48,Bill Haas,26,"25' 1""",15896.583,634
48,T48,T48,Jim Herman,22,"25' 1""",11148.583,445
49,T48,T48,Chris Stroud,28,"25' 1""",15699.5,626
50,T48,T48,Cameron Tringale,32,"25' 1""",20091.167,802
51,T52,T52,Pat Perez,24,"25' 2""",15262.917,606
52,T52,T52,Marc Turnesa,20,"25' 2""",9974.667,397
53,T54,T54,Steve Flesch,27,"25' 3""",16504.917,653
54,T54,T54,Rickie Fowler,24,"25' 3""",13069.25,518
55,T54,T54,Chris Kirk,28,"25' 3""",14864.75,588
56,T54,T54,Matt Kuchar,24,"25' 3""",16034.833,636
57,T54,T54,Billy Mayfair,29,"25' 3""",20754.833,823
58,T54,T54,Kevin Na,26,"25' 3""",13551.333,537
59,T54,T54,Nick O'Hern,29,"25' 3""",19173.0,759
60,T61,T61,Kris Blanks,29,"25' 4""",18113.833,715
