,Total_Driving_Efficiency_RANK THIS WEEK,Total_Driving_Efficiency_RANK LAST WEEK,Total_Driving_Efficiency_PLAYER NAME,Total_Driving_Efficiency_ROUNDS,Total_Driving_Efficiency_COMBINED RANK,Total_Driving_Efficiency_CARRY EFFICIENCY RANK,Total_Driving_Efficiency_TOTAL DIST. EFFIC. RANK
0,1,1,Heath Slocum,89,4,2,2
1,2,2,Mark Wilson,89,6,3,3
2,3,3,Hunter Mahan,92,9,4,5
3,4,4,David Hearn,88,18,12,6
4,5,5,Brian Davis,105,22,21,1
5,6,6,Chris Kirk,87,23,14,9
6,T7,T7,Chez Reavie,92,24,16,8
7,T7,T7,Bo Van Pelt,92,24,17,7
8,9,9,Aron Price,58,27,18,9
9,10,10,Billy Horschel,75,30,8,22
10,T11,T11,J.B. Holmes,57,33,1,32
11,T11,T11,Joe Ogilvie,75,33,21,12
12,T11,T11,Brandt Snedeker,85,33,15,18
13,T14,T14,Alex Cejka,59,34,18,16
14,T14,T14,Rickie Fowler,84,34,12,22
15,16,16,Josh Teater,104,42,5,37
16,17,17,Martin Laird,77,45,25,20
17,18,18,Jason Day,76,46,9,37
18,T19,T19,Ryan Palmer,82,48,6,42
19,T19,T19,Camilo Villegas,69,48,33,15
20,21,21,John Merrick,71,51,38,13
21,22,22,Harrison Frazar,58,55,25,30
22,23,23,Phil Mickelson,79,59,9,50
23,T24,T24,Padraig Harrington,60,61,7,54
24,T24,T24,David Toms,78,61,57,4
25,T26,T26,J.P. Hayes,56,67,43,24
26,T26,T26,Vaughn Taylor,89,67,34,33
27,28,28,D.J. Brigman,67,68,34,34
28,29,29,Robert Garrigus,83,71,41,30
29,30,30,Bill Lunde,92,72,31,41
30,31,31,Carl Pettersson,95,74,55,19
31,32,32,Arjun Atwal,91,76,49,27
32,T33,T33,Robert Allenby,84,77,52,25
33,T33,T33,Sung Kang,63,77,31,46
34,35,35,Tommy Gainey,104,78,25,53
35,36,36,Kevin Stadler,88,86,29,57
36,T37,T37,Steve Marino,76,87,25,62
37,T37,T37,Steve Stricker,70,87,60,27
38,39,39,Jason Bohn,74,89,78,11
39,40,40,Vijay Singh,79,91,20,71
40,41,41,Keegan Bradley,91,94,23,71
41,42,42,Jim Furyk,87,96,80,16
42,43,43,Jim Renner,65,97,48,49
43,T44,T44,Joseph Bramlett,73,99,49,50
44,T44,T44,John Rollins,85,99,38,61
45,46,46,Zach Johnson,79,102,75,27
46,T47,T47,Rocco Mediate,53,106,43,63
47,T47,T47,Charl Schwartzel,58,106,60,46
48,49,49,Michael Putnam,67,109,43,66
49,50,50,Ben Crane,76,111,54,57
50,51,51,Matt McQuillan,59,113,47,66
51,52,52,Ernie Els,71,117,37,80
52,53,53,Tag Ridings,87,119,29,90
53,54,54,Marc Leishman,87,122,38,84
54,55,55,Geoff Ogilvy,69,125,68,57
55,T56,T56,Cameron Beckman,71,126,89,37
56,T56,T56,Steve Elkington,50,126,101,25
57,T58,T58,Jeff Overton,92,128,84,44
58,T58,T58,D.A. Points,89,128,91,37
59,60,60,Chris Stroud,88,129,72,57
60,61,61,Kent Jones,76,131,77,54
61,T62,T62,Rich Beem,53,133,60,73
62,T62,T62,Brian Gay,90,133,119,14
63,T62,T62,Bill Haas,93,133,67,66
64,T62,T62,Garrett Willis,71,133,98,35
65,T66,T66,Anthony Kim,72,137,64,73
66,T66,T66,Nick O'Hern,89,137,95,42
67,68,68,Kevin Chappell,78,139,95,44
68,T69,T69,David Duval,67,144,68,76
69,T69,T69,Chris Riley,76,144,123,21
70,71,71,Tim Herron,85,145,72,73
71,T72,T72,Stewart Cink,72,147,60,87
72,T72,T72,Rory Sabbatini,85,147,81,66
73,T74,T74,Troy Matteson,91,149,59,90
74,T74,T74,Scott Piercy,78,149,11,138
75,T74,T74,Martin Piller,63,149,83,66
76,77,77,Brendan Steele,89,150,52,98
77,78,78,Alex Prugh,82,152,55,97
78,79,79,Charley Hoffman,93,153,36,117
79,80,80,Robert Karlsson,61,154,42,112
80,81,81,Ángel Cabrera,50,158,95,63
81,82,82,Davis Love III,70,159,24,135
82,83,83,Paul Goydos,81,160,114,46
83,84,84,Dustin Johnson,72,161,57,104
84,85,85,Ben Martin,74,162,68,94
85,86,86,Roland Thatcher,67,167,68,99
86,87,87,Spencer Levin,113,168,112,56
