,Total_Driving_RANK THIS WEEK,Total_Driving_RANK LAST WEEK,Total_Driving_PLAYER NAME,Total_Driving_EVENTS,Total_Driving_TOTAL,Total_Driving_DISTANCE RANK,Total_Driving_ACCURACY RANK
0,1,1,John Merrick,21,66,41,25
1,2,2,John Rollins,27,74,46,28
2,3,3,Brandt Jobe,28,76,33,43
3,4,4,Boo Weekley,23,79,48,31
4,5,5,Adam Scott,18,86,24,62
5,6,6,Chris Couch,21,93,44,49
6,7,7,Chez Reavie,27,95,71,24
7,8,8,John Senden,26,101,72,29
8,9,9,Bo Van Pelt,27,105,38,67
9,10,10,Josh Teater,31,113,15,98
10,11,11,Bill Haas,26,115,48,67
11,T12,T12,Keegan Bradley,28,116,20,96
12,T12,T12,Rod Pampling,21,116,84,32
13,14,14,Blake Adams,34,125,80,45
14,15,15,Brendan Steele,27,127,77,50
15,16,16,J.J. Henry,28,128,92,36
16,17,17,Briny Baird,19,129,112,17
17,T18,T18,Billy Horschel,25,133,94,39
18,T18,T18,Kyle Stanley,28,133,9,124
19,20,20,Charley Hoffman,27,136,22,114
20,T21,T21,Scott McCarron,22,138,84,54
21,T21,T21,Charl Schwartzel,15,138,43,95
22,23,23,Gary Woodland,25,142,5,137
23,24,24,Webb Simpson,26,143,51,92
24,25,25,Justin Hicks,23,145,132,13
25,T26,T26,Martin Laird,23,147,13,134
26,T26,T26,Graeme McDowell,16,147,109,38
27,T28,T28,Steve Elkington,17,149,135,14
28,T28,T28,Kevin Stadler,27,149,74,75
29,30,30,Dustin Johnson,21,150,3,147
30,T31,T31,Joe Durant,25,152,151,1
31,T31,T31,D.J. Trahan,30,152,31,121
32,T31,T31,Nick Watney,22,152,16,136
33,34,34,Troy Matteson,28,153,21,132
34,T35,T35,Will Strickler,19,154,10,144
35,T35,T35,Bubba Watson,22,154,2,152
36,37,37,Bobby Gates,29,155,38,117
37,38,38,Pat Perez,24,156,90,66
38,39,39,D.A. Points,26,157,122,35
39,40,40,Davis Love III,22,158,33,125
40,T41,T41,Woody Austin,18,160,120,40
41,T41,T41,Jason Bohn,22,160,139,21
42,T43,T43,Sung Kang,21,161,68,93
43,T43,T43,Scott Piercy,23,161,7,154
44,T45,T45,Tom Gillis,19,162,103,59
45,T45,T45,Billy Mayfair,29,162,153,9
46,T45,T45,Tag Ridings,28,162,12,150
47,T48,T48,Brian Davis,30,163,153,10
48,T48,T48,Mark Wilson,26,163,143,20
