,Total_Distance_Efficiency_RANK THIS WEEK,Total_Distance_Efficiency_RANK LAST WEEK,Total_Distance_Efficiency_PLAYER NAME,Total_Distance_Efficiency_ROUNDS,Total_Distance_Efficiency_AVG.,Total_Distance_Efficiency_AVERAGE DISTANCE (YARDS),Total_Distance_Efficiency_AVERAGE CLUB HEAD SPEED,Total_Distance_Efficiency_TOTAL ATTEMPTS,Total_Distance_Efficiency_HIGHEST DIST. EFFICIENCY
0,1,1,Brian Davis,105,2.68,285.117,106.395,87,3.135
1,2,2,Heath Slocum,89,2.674,283.774,106.12899999999999,74,3.034
2,3,3,Mark Wilson,89,2.67,287.308,107.609,75,3.035
3,4,4,David Toms,78,2.6660000000000004,283.289,106.241,58,3.135
4,5,5,Hunter Mahan,92,2.659,297.203,111.76299999999999,74,3.1069999999999998
5,6,6,David Hearn,88,2.653,295.086,111.215,66,3.0980000000000003
6,7,7,Bo Van Pelt,92,2.6510000000000002,301.786,113.853,67,2.97
7,8,8,Chez Reavie,92,2.648,292.342,110.412,73,2.9730000000000003
8,T9,T9,Chris Kirk,87,2.647,296.274,111.91799999999999,75,3.009
9,T9,T9,Aron Price,58,2.647,280.978,106.156,43,2.9989999999999997
10,11,11,Jason Bohn,74,2.6430000000000002,288.005,108.984,65,3.057
11,12,12,Joe Ogilvie,75,2.639,293.124,111.08200000000001,52,2.903
12,13,13,John Merrick,71,2.636,291.22,110.48299999999999,56,3.1630000000000003
13,14,14,Brian Gay,90,2.6319999999999997,272.154,103.39299999999999,71,2.964
14,15,15,Camilo Villegas,69,2.6310000000000002,297.502,113.088,52,3.062
15,T16,T16,Alex Cejka,59,2.63,282.879,107.55,43,2.929
16,T16,T16,Jim Furyk,87,2.63,285.921,108.70700000000001,65,3.025
17,18,18,Brandt Snedeker,85,2.6289999999999996,290.33299999999997,110.45100000000001,67,2.9210000000000003
18,19,19,Carl Pettersson,95,2.628,291.505,110.915,84,3.141
19,20,20,Martin Laird,77,2.6260000000000003,308.901,117.65299999999999,60,3.0189999999999997
20,21,21,Chris Riley,76,2.625,282.357,107.556,57,3.049
21,T22,T22,Rickie Fowler,84,2.6239999999999997,300.504,114.52600000000001,65,3.068
22,T22,T22,Billy Horschel,75,2.6239999999999997,292.279,111.38,57,2.967
23,24,24,J.P. Hayes,56,2.622,283.017,107.95200000000001,40,3.114
24,T25,T25,Robert Allenby,84,2.6189999999999998,293.657,112.113,65,2.983
25,T25,T25,Steve Elkington,50,2.6189999999999998,284.558,108.63799999999999,35,2.8139999999999996
26,T27,T27,Arjun Atwal,91,2.6180000000000003,285.215,108.93799999999999,73,3.005
27,T27,T27,Zach Johnson,79,2.6180000000000003,279.904,106.915,67,2.9560000000000004
28,T27,T27,Steve Stricker,70,2.6180000000000003,290.42900000000003,110.936,56,2.997
29,T30,T30,Harrison Frazar,58,2.616,302.66,115.715,39,3.266
30,T30,T30,Robert Garrigus,83,2.616,318.892,121.89,52,3.199
31,32,32,J.B. Holmes,57,2.615,327.568,125.24799999999999,41,2.925
32,33,33,Vaughn Taylor,89,2.613,283.901,108.655,75,3.177
33,34,34,D.J. Brigman,67,2.611,289.158,110.76100000000001,45,3.005
34,35,35,Garrett Willis,71,2.61,279.342,107.02799999999999,46,2.917
35,36,36,Shane Bertsch,62,2.609,281.493,107.89200000000001,44,3.033
36,T37,T37,Cameron Beckman,71,2.608,287.235,110.154,58,2.9160000000000004
37,T37,T37,Jason Day,76,2.608,305.246,117.024,47,2.966
38,T37,T37,D.A. Points,89,2.608,287.36,110.20200000000001,67,3.013
39,T37,T37,Josh Teater,104,2.608,301.904,115.74700000000001,68,3.015
40,41,41,Bill Lunde,92,2.6069999999999998,293.592,112.59700000000001,74,3.141
41,T42,T42,Nick O'Hern,89,2.6060000000000003,272.427,104.554,61,2.846
42,T42,T42,Ryan Palmer,82,2.6060000000000003,299.399,114.87,61,3.278
43,T44,T44,Kevin Chappell,78,2.602,298.302,114.655,55,2.905
44,T44,T44,Jeff Overton,92,2.602,295.332,113.499,71,3.0589999999999997
45,T46,T46,Paul Goydos,81,2.6010000000000004,274.88599999999997,105.699,64,2.963
46,T46,T46,Sung Kang,63,2.6010000000000004,290.92,111.83200000000001,39,2.949
47,T46,T46,Charl Schwartzel,58,2.6010000000000004,303.487,116.669,35,3.1510000000000002
48,49,49,Jim Renner,65,2.5989999999999998,294.657,113.36399999999999,48,3.1010000000000004
49,T50,T50,Joseph Bramlett,73,2.5980000000000003,299.72700000000003,115.363,50,2.827
50,T50,T50,Phil Mickelson,79,2.5980000000000003,307.845,118.484,51,3.155
51,52,52,Jason Dufner,78,2.597,285.9,110.10600000000001,62,2.966
52,53,53,Tommy Gainey,104,2.596,295.75,113.919,83,2.9589999999999996
53,T54,T54,Padraig Harrington,60,2.595,298.85200000000003,115.146,38,2.9589999999999996
54,T54,T54,Kent Jones,76,2.595,285.878,110.167,57,2.927
55,56,56,Spencer Levin,113,2.594,286.289,110.353,86,3.1239999999999997
56,T57,T57,Ben Crane,76,2.593,282.246,108.848,60,3.0039999999999996
57,T57,T57,Geoff Ogilvy,69,2.593,293.183,113.081,52,2.864
58,T57,T57,Kevin Stadler,88,2.593,293.923,113.338,61,3.102
59,T57,T57,Chris Stroud,88,2.593,291.059,112.256,73,2.917
60,61,61,John Rollins,85,2.591,296.62,114.499,70,2.991
61,62,62,Steve Marino,76,2.59,295.594,114.11399999999999,65,2.895
