,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_TOTAL DISTANCE
0,1,1,J.B. Holmes,57,57.12,50809.3,88957
1,2,2,Bubba Watson,85,56.66,62375.0,110082
2,3,3,Robert Garrigus,83,56.43,70267.6,124511
3,4,4,Gary Woodland,93,56.42,67556.8,119741
4,5,5,Dustin Johnson,72,56.39,54490.5,96623
5,6,6,Kyle Stanley,98,54.99,73957.6,134487
6,7,7,Ángel Cabrera,50,54.95,33480.7,60927
7,8,8,Jhonattan Vegas,84,54.91,65291.5,118899
8,9,9,Scott Piercy,78,54.56,60189.8,110319
9,10,10,Martin Laird,77,54.52,61788.0,113338
10,11,11,Tag Ridings,87,54.43,66172.7,121571
11,12,12,Will Strickler,51,54.41,39086.3,71841
12,T13,T13,Steven Bowditch,86,54.37,71338.1,131198
13,T13,T13,Davis Love III,70,54.37,46626.0,85763
14,T13,T13,Josh Teater,104,54.37,83518.8,153623
15,16,16,Chris Couch,73,54.1,63410.9,117214
16,17,17,Aaron Baddeley,77,54.08,57456.2,106246
17,18,18,Keegan Bradley,91,54.05,69361.8,128320
18,19,19,D.J. Trahan,91,54.02,74571.3,138056
19,T20,T20,Rickie Fowler,84,53.96,60795.7,112678
20,T20,T20,Nick Watney,80,53.96,56786.7,105246
21,T22,T22,Jim Herman,69,53.93,53407.7,99038
22,T22,T22,Phil Mickelson,79,53.93,57746.5,107072
23,24,24,Marc Leishman,87,53.87,74079.4,137524
24,25,25,Alex Prugh,82,53.86,66245.1,122985
25,26,26,Jason Day,76,53.83,52557.4,97637
26,27,27,Troy Matteson,91,53.8,77534.8,144106
27,28,28,Scott Stallings,84,53.78,62576.4,116364
28,29,29,Bo Van Pelt,92,53.68,62614.3,116634
29,30,30,Bill Haas,93,53.61,66418.8,123893
30,31,31,Zack Miller,86,53.55,69270.1,129345
31,32,32,Jimmy Walker,79,53.51,65151.3,121755
32,33,33,Charley Hoffman,93,53.49,73656.5,137694
33,34,34,Adam Scott,60,53.46,38896.8,72761
34,35,35,Derek Lamely,65,53.44,54971.9,102866
35,36,36,Robert Karlsson,61,53.42,40774.4,76325
36,37,37,Michael Putnam,67,53.41,45500.7,85198
37,38,38,Scott Gutschewski,67,53.39,51055.2,95624
38,39,39,Bio Kim,71,53.38,52740.3,98796
39,40,40,Sergio Garcia,61,53.36,39756.9,74509
40,T41,T41,Charles Howell III,108,53.29,81586.9,153113
41,T41,T41,George McNeill,69,53.29,50939.5,95582
42,43,43,Brandt Jobe,100,53.28,75642.1,141972
43,44,44,Webb Simpson,98,53.24,74045.0,139070
44,45,45,Harrison Frazar,58,53.22,36057.8,67748
45,46,46,Kevin Chappell,78,53.11,55265.2,104060
46,47,47,John Rollins,85,53.1,65126.1,122637
47,48,48,Ryan Palmer,82,53.08,58523.0,110248
48,T49,T49,Bobby Gates,82,53.07,62763.8,118265
49,T49,T49,Steve Marino,76,53.07,56716.1,106865
50,51,51,Vijay Singh,79,53.02,64248.7,121187
51,52,52,Boo Weekley,66,53.01,50737.0,95712
52,T53,T53,Tommy Gainey,104,52.98,80343.0,151634
53,T53,T53,Charl Schwartzel,58,52.98,37665.6,71099
54,55,55,James Driscoll,71,52.97,56208.8,106109
55,56,56,Lucas Glover,74,52.94,53171.1,100446
56,57,57,Jeff Overton,92,52.92,62716.9,118512
57,58,58,Jim Renner,65,52.89,48707.7,92101
58,59,59,David Duval,67,52.86,54853.7,103779
59,60,60,John Merrick,71,52.8,49536.6,93823
60,T61,T61,Sung Kang,63,52.77,45337.5,85910
61,T61,T61,Camilo Villegas,69,52.77,50025.8,94801
62,63,63,Brendan Steele,89,52.76,70773.8,134139
63,64,64,Andres Romero,77,52.75,59873.3,113495
64,65,65,Padraig Harrington,60,52.74,40217.4,76253
65,66,66,Bill Lunde,92,52.71,74276.4,140920
66,67,67,Matt Jones,71,52.7,62699.4,118968
67,T68,T68,Jonathan Byrd,83,52.67,63933.7,121382
68,T68,T68,Chris Kirk,87,52.67,68602.3,130248
69,T70,T70,Hunter Mahan,92,52.63,69417.0,131889
70,T70,T70,Cameron Tringale,110,52.63,83520.0,158700
71,T72,T72,Lee Janzen,62,52.62,43831.6,83292
72,T72,T72,Martin Piller,63,52.62,46140.8,87687
73,74,74,Pat Perez,76,52.57,66385.7,126288
74,75,75,Chez Reavie,92,52.52,75042.2,142881
75,76,76,Blake Adams,116,52.5,94546.0,180098
76,77,77,Tom Gillis,55,52.49,37993.3,72384
77,78,78,Carl Pettersson,95,52.45,76472.2,145806
78,79,79,Joseph Bramlett,73,52.43,54958.8,104819
79,T80,T80,Stewart Cink,72,52.42,51241.5,97753
80,T80,T80,Anthony Kim,72,52.42,49459.1,94352
81,82,82,Ricky Barnes,78,52.4,54976.0,104924
82,83,83,John Senden,94,52.39,75170.3,143486
83,84,84,Chris Stroud,88,52.34,68487.8,130849
84,85,85,Kevin Stadler,88,52.3,67684.3,129405
85,86,86,Sean O'Hair,71,52.27,48327.6,92449
86,T87,T87,Robert Allenby,84,52.25,61669.7,118035
87,T87,T87,Tim Herron,85,52.25,66040.6,126403
88,89,89,Scott McCarron,65,52.24,46067.9,88187
89,T90,T90,Andres Gonzales,60,52.23,39459.8,75544
90,T90,T90,Ben Martin,74,52.23,59411.7,113755
91,92,92,Rory Sabbatini,85,52.21,55109.6,105561
92,T93,T93,Joe Ogilvie,75,52.16,52357.5,100376
93,T93,T93,Michael Thompson,79,52.16,59835.6,114719
94,95,95,J.J. Henry,96,52.12,72897.2,139870
95,96,96,William McGirt,103,52.11,78333.6,150336
96,97,97,Matt Bettencourt,84,52.1,66639.5,127902
97,98,98,David Hearn,88,52.09,63240.2,121415
98,99,99,Rod Pampling,72,52.08,50689.5,97325
99,100,100,Ryan Moore,79,52.07,54323.8,104333
100,101,101,Kevin Streelman,90,52.04,63737.2,122477
101,102,102,Jason Dufner,78,51.99,55524.8,106791
102,103,103,Alexandre Rocha,65,51.98,40177.3,77293
103,104,104,Ernie Els,71,51.96,51464.2,99054
104,T105,T105,Chad Campbell,99,51.95,74719.0,143833
105,T105,T105,Roland Thatcher,67,51.95,54627.0,105148
106,107,107,D.J. Brigman,67,51.82,45018.2,86882
107,108,108,Justin Rose,79,51.79,59183.3,114267
108,109,109,Y.E. Yang,63,51.78,35412.4,68394
109,110,110,Jason Bohn,74,51.73,60512.1,116985
110,111,111,Brandt Snedeker,85,51.71,55993.3,108279
111,112,112,Graeme McDowell,50,51.7,33413.1,64628
112,113,113,Trevor Immelman,84,51.64,57869.8,112064
113,T114,T114,Hunter Haas,96,51.58,77383.9,150016
114,T114,T114,Billy Horschel,75,51.58,55407.8,107423
115,116,116,Steve Stricker,70,51.57,49138.6,95281
116,117,117,Stuart Appleby,65,51.56,50277.4,97504
117,118,118,Matt McQuillan,59,51.55,39984.2,77569
118,T119,T119,Michael Bradley,74,51.54,49491.8,96020
119,T119,T119,Jarrod Lyle,83,51.54,63764.9,123714
120,121,121,D.A. Points,89,51.53,66389.5,128828
121,122,122,Brendon de Jonge,105,51.52,80928.7,157074
122,123,123,Charlie Wi,83,51.51,68140.5,132285
123,124,124,Retief Goosen,50,51.5,36044.3,69992
124,125,125,Ben Crane,76,51.48,51913.2,100836
125,126,126,Fabián Gómez,84,51.47,62308.7,121068
126,127,127,Geoff Ogilvy,69,51.43,44347.9,86225
127,128,128,Matt Kuchar,94,51.42,58993.6,114737
128,129,129,Mark Wilson,89,51.36,61059.2,118891
129,130,130,Troy Merritt,63,51.32,49937.8,97310
130,131,131,Spencer Levin,113,51.26,79278.6,154665
131,132,132,Shaun Micheel,77,51.12,57200.7,111904
132,133,133,Freddie Jacobson,92,51.11,57006.9,111533
133,134,134,Kris Blanks,92,51.06,71830.9,140670
134,135,135,Nathan Green,81,51.04,59180.2,115940
135,136,136,Justin Hicks,60,50.97,36245.3,71107
136,137,137,Briny Baird,60,50.96,40151.3,78783
137,T138,T138,Arjun Atwal,91,50.95,70634.5,138641
138,T138,T138,K.J. Choi,77,50.95,51695.9,101464
139,140,140,Kevin Kisner,70,50.94,47269.4,92801
140,141,141,Kent Jones,76,50.9,53733.2,105557
141,142,142,Vaughn Taylor,89,50.84,72148.8,141913
142,143,143,Stephen Ames,69,50.83,50561.3,99476
143,144,144,Cameron Beckman,71,50.79,55685.3,109641
144,145,145,Jim Furyk,87,50.69,58911.8,116225
145,T146,T146,Brian Davis,105,50.68,82049.5,161910
146,T146,T146,Paul Stankowski,78,50.68,55166.7,108863
147,148,148,Ryuji Imada,83,50.67,65190.4,128663
148,149,149,Steve Elkington,50,50.63,40198.0,79397
149,T150,T150,Woody Austin,59,50.62,44500.1,87906
150,T150,T150,Billy Mayfair,94,50.62,74521.5,147228
151,T152,T152,Rich Beem,53,50.52,41406.3,81954
152,T152,T152,Luke Donald,73,50.52,44515.4,88110
153,154,154,Shane Bertsch,62,50.48,42278.1,83757
154,155,155,J.P. Hayes,56,50.42,43958.6,87181
155,156,156,Steve Flesch,88,50.36,61546.1,122220
156,T157,T157,Kevin Na,84,50.34,60552.9,120281
157,T157,T157,Ian Poulter,52,50.34,32950.1,65453
158,T157,T157,Heath Slocum,89,50.34,59905.1,118993
159,160,160,Tim Petrovic,88,50.33,66663.7,132453
160,161,161,Aron Price,58,50.31,38617.1,76763
161,162,162,Johnson Wagner,81,50.3,58257.3,115820
162,T163,T163,Colt Knost,80,50.29,55465.5,110296
163,T163,T163,Bryce Molder,82,50.29,62561.5,124408
164,165,165,Joe Durant,71,50.23,54446.5,108401
165,T166,T166,Michael Connell,76,50.21,59526.3,118546
166,T166,T166,Marc Turnesa,54,50.21,39068.6,77816
167,168,168,Zach Johnson,79,50.19,54845.2,109280
168,169,169,David Toms,78,50.18,49799.2,99237
169,170,170,Alex Cejka,59,50.17,43618.8,86950
170,171,171,Greg Chalmers,88,50.13,65682.6,131015
171,172,172,Chris Riley,76,50.12,59270.9,118267
