,Right_Tendency_RANK THIS WEEK,Right_Tendency_RANK LAST WEEK,Right_Tendency_PLAYER NAME,Right_Tendency_EVENTS,Right_Tendency_%,Right_Tendency_NUMBER OF TIMES,Right_Tendency_ATTEMPTS,Right_Tendency_AVG RTP SCORE
0,1,1,Kevin Stadler,27,36.4,124,341,+0.97
1,2,2,Jason Bohn,22,38.5,111,288,+2.43
2,3,3,Billy Horschel,25,39.8,106,266,+1.98
3,4,4,Garrett Willis,24,40.0,106,265,+3.77
4,5,5,Ben Curtis,23,40.3,93,231,+1.61
5,6,6,Padraig Harrington,18,41.7,108,259,+1.30
6,7,7,Arjun Atwal,29,41.9,189,451,+2.49
7,8,8,Vaughn Taylor,27,42.6,169,397,+1.01
8,9,9,Lucas Glover,23,42.7,132,309,+1.97
9,10,10,Dean Wilson,22,42.8,110,257,+1.91
10,11,11,Davis Love III,22,42.9,109,254,+1.83
11,T12,T12,David Duval,24,43.1,154,357,+1.36
12,T12,T12,Y.E. Yang,18,43.1,88,204,+2.27
13,14,14,Lee Janzen,19,43.8,102,233,+2.35
14,15,15,Scott McCarron,22,44.0,113,257,+3.10
15,16,16,Steven Bowditch,28,44.1,190,431,+2.00
16,17,17,Bill Haas,26,44.3,151,341,+0.93
17,T18,T18,Luke Donald,19,44.4,104,234,E
18,T18,T18,Webb Simpson,26,44.4,182,410,+0.66
19,20,20,Anthony Kim,26,44.5,166,373,+1.14
20,21,21,Michael Bradley,24,44.6,149,334,+1.74
21,T22,T22,Michael Connell,26,44.8,145,324,+3.52
22,T22,T22,Paul Stankowski,24,44.8,155,346,+2.26
23,24,24,Ángel Cabrera,17,45.0,95,211,+2.32
24,25,25,Richard Johnson,23,45.1,119,264,+2.77
25,26,26,Brandt Snedeker,26,45.2,145,321,+0.90
26,T27,T27,Derek Lamely,26,45.3,159,351,+2.26
27,T27,T27,Andres Romero,22,45.3,162,358,+2.59
28,29,29,Spencer Levin,31,45.6,205,450,+1.41
29,30,30,Kevin Na,26,45.8,171,373,+0.70
30,31,31,Phil Mickelson,21,46.0,161,350,+0.31
31,32,32,Steve Stricker,19,46.1,113,245,+0.09
32,T33,T33,Harrison Frazar,19,46.2,114,247,+0.53
33,T33,T33,Paul Goydos,25,46.2,141,305,+2.70
34,T35,T35,Robert Karlsson,18,46.4,115,248,+0.96
35,T35,T35,Alex Prugh,29,46.4,181,390,+2.71
36,37,37,Roland Thatcher,22,46.6,146,313,+2.26
37,38,38,Joe Ogilvie,24,46.8,156,333,+1.03
38,T39,T39,Keegan Bradley,28,46.9,183,390,+1.31
39,T39,T39,Adam Scott,18,46.9,92,196,+0.76
40,41,41,Rod Pampling,21,47.0,119,253,+1.76
41,42,42,Matt Kuchar,24,47.6,160,336,+2.06
42,43,43,Graeme McDowell,16,47.7,73,153,+0.82
43,T44,T44,Steve Flesch,27,48.0,197,410,+1.47
