,Carry_Efficiency_RANK THIS WEEK,Carry_Efficiency_RANK LAST WEEK,Carry_Efficiency_PLAYER NAME,Carry_Efficiency_ROUNDS,Carry_Efficiency_AVG.,Carry_Efficiency_AVERAGE CARRY DIST. YARDS,Carry_Efficiency_AVERAGE CLUB HEAD SPEED,Carry_Efficiency_TOTAL ATTEMPTS,Carry_Efficiency_HIGHEST CARRY EFFICIENCY
0,1,1,J.B. Holmes,57,2.51,314.8,125.39200000000001,37,2.753
1,2,2,Heath Slocum,89,2.504,265.6,106.088,67,2.681
2,3,3,Mark Wilson,89,2.494,268.1,107.512,71,2.7289999999999996
3,4,4,Hunter Mahan,92,2.485,277.6,111.74,64,2.8139999999999996
4,5,5,Josh Teater,104,2.4819999999999998,287.3,115.749,57,2.773
5,6,6,Ryan Palmer,82,2.48,285.3,115.015,48,2.7230000000000003
6,7,7,Padraig Harrington,60,2.479,285.4,115.131,32,2.695
7,8,8,Billy Horschel,75,2.478,276.1,111.41799999999999,51,2.6060000000000003
8,T9,T9,Jason Day,76,2.477,290.0,117.038,35,2.693
9,T9,T9,Phil Mickelson,79,2.477,293.9,118.682,36,2.73
10,11,11,Scott Piercy,78,2.476,286.8,115.838,47,2.6489999999999996
11,T12,T12,Rickie Fowler,84,2.474,283.3,114.506,55,2.697
12,T12,T12,David Hearn,88,2.474,275.3,111.258,61,2.6860000000000004
13,14,14,Chris Kirk,87,2.4730000000000003,276.7,111.895,62,2.6289999999999996
14,15,15,Brandt Snedeker,85,2.472,273.0,110.43,59,2.675
15,16,16,Chez Reavie,92,2.47,272.9,110.464,63,2.622
16,17,17,Bo Van Pelt,92,2.469,281.5,114.006,62,2.71
17,T18,T18,Alex Cejka,59,2.467,265.5,107.60700000000001,39,2.6860000000000004
18,T18,T18,Aron Price,58,2.467,262.1,106.249,38,2.641
19,20,20,Vijay Singh,79,2.4659999999999997,279.1,113.165,65,2.716
20,T21,T21,Brian Davis,105,2.465,262.2,106.35799999999999,78,2.63
21,T21,T21,Joe Ogilvie,75,2.465,273.7,111.039,45,2.638
22,23,23,Keegan Bradley,91,2.459,289.0,117.554,59,2.759
23,24,24,Davis Love III,70,2.456,284.6,115.891,33,2.665
24,T25,T25,Harrison Frazar,58,2.4530000000000003,283.9,115.771,33,2.6910000000000003
25,T25,T25,Tommy Gainey,104,2.4530000000000003,279.8,114.10700000000001,73,2.681
26,T25,T25,Martin Laird,77,2.4530000000000003,288.5,117.625,51,2.7569999999999997
27,T25,T25,Steve Marino,76,2.4530000000000003,279.6,113.995,54,2.658
28,T29,T29,Tag Ridings,87,2.452,294.8,120.235,50,2.6910000000000003
29,T29,T29,Kevin Stadler,88,2.452,277.8,113.315,55,2.6430000000000002
30,T31,T31,Sung Kang,63,2.451,273.6,111.615,35,2.612
31,T31,T31,Bill Lunde,92,2.451,276.1,112.618,65,2.6180000000000003
32,33,33,Camilo Villegas,69,2.45,276.6,112.902,40,2.6510000000000002
33,T34,T34,D.J. Brigman,67,2.449,271.3,110.765,37,2.648
34,T34,T34,Vaughn Taylor,89,2.449,266.1,108.64,70,2.623
35,36,36,Charley Hoffman,93,2.448,289.2,118.147,66,2.6919999999999997
36,37,37,Ernie Els,71,2.447,275.1,112.405,45,2.647
37,T38,T38,Marc Leishman,87,2.4459999999999997,283.9,116.079,60,2.656
38,T38,T38,John Merrick,71,2.4459999999999997,270.3,110.507,49,2.61
39,T38,T38,John Rollins,85,2.4459999999999997,280.0,114.486,62,2.748
40,41,41,Robert Garrigus,83,2.445,297.9,121.861,46,2.734
