,Driving_Distance_-_All_Drives_RANK THIS WEEK,Driving_Distance_-_All_Drives_RANK LAST WEEK,Driving_Distance_-_All_Drives_PLAYER NAME,Driving_Distance_-_All_Drives_ROUNDS,Driving_Distance_-_All_Drives_ALL DRIVES,Driving_Distance_-_All_Drives_TOTAL DISTANCE,Driving_Distance_-_All_Drives_# OF DRIVES
0,1,1,J.B. Holmes,57,306.0,201374,658
1,T2,T2,Dustin Johnson,72,302.1,229594,760
2,T2,T2,Bubba Watson,85,302.1,249198,825
3,4,4,Robert Garrigus,83,299.9,290316,968
4,5,5,Gary Woodland,93,297.4,289627,974
5,6,6,Steven Bowditch,86,295.6,321568,1088
6,7,7,Jhonattan Vegas,84,295.2,288710,978
7,8,8,Charley Hoffman,93,293.3,303541,1035
8,9,9,Phil Mickelson,79,293.1,237970,812
9,10,10,Harrison Frazar,58,292.8,170999,584
10,11,11,Martin Laird,77,292.7,252277,862
11,12,12,Scott Stallings,84,292.6,281155,961
12,13,13,Scott Piercy,78,292.5,257957,882
13,14,14,Tag Ridings,87,292.3,301990,1033
14,15,15,Ángel Cabrera,50,292.2,143162,490
15,16,16,Alex Prugh,82,292.0,289415,991
16,17,17,Nick Watney,80,291.9,252239,864
17,T18,T18,Adam Scott,60,291.1,184549,634
18,T18,T18,Kyle Stanley,98,291.1,324861,1116
19,T20,T20,Will Strickler,51,291.0,175195,602
20,T20,T20,Josh Teater,104,291.0,373893,1285
21,22,22,Troy Matteson,91,290.7,328156,1129
22,T23,T23,Ryan Palmer,82,290.2,243158,838
23,T23,T23,D.J. Trahan,91,290.2,336004,1158
24,25,25,Sergio Garcia,61,290.1,181590,626
25,T26,T26,Keegan Bradley,91,289.6,311062,1074
26,T26,T26,Bill Haas,93,289.6,291934,1008
27,28,28,Rickie Fowler,84,289.5,267539,924
28,29,29,Jason Day,76,289.4,239067,826
29,30,30,Jeff Overton,92,289.3,295058,1020
30,31,31,Jim Herman,69,289.1,230672,798
31,32,32,Bo Van Pelt,92,288.6,286547,993
32,33,33,Aaron Baddeley,77,288.4,250304,868
33,34,34,Jim Renner,65,288.2,213809,742
34,35,35,John Rollins,85,288.1,288702,1002
35,36,36,Boo Weekley,66,287.5,228861,796
36,37,37,Davis Love III,70,287.4,209245,728
37,T38,T38,Andres Romero,77,287.1,272178,948
38,T38,T38,Webb Simpson,98,287.1,331866,1156
39,40,40,James Driscoll,71,287.0,244545,852
40,T41,T41,Kevin Chappell,78,286.9,244465,852
41,T41,T41,Chris Couch,73,286.9,271449,946
42,T41,T41,Charles Howell III,108,286.9,364340,1270
43,T41,T41,Anthony Kim,72,286.9,234075,816
44,45,45,Derek Lamely,65,286.6,232446,811
45,46,46,Tommy Gainey,104,286.5,363623,1269
46,47,47,Robert Karlsson,61,286.4,180133,629
47,48,48,Bio Kim,71,286.0,231372,809
