,Driving_Pct._300-320_All_Drives_RANK THIS WEEK,Driving_Pct._300-320_All_Drives_RANK LAST WEEK,Driving_Pct._300-320_All_Drives_PLAYER NAME,Driving_Pct._300-320_All_Drives_ROUNDS,Driving_Pct._300-320_All_Drives_%,Driving_Pct._300-320_All_Drives_TOTAL DRIVES FOR 300-320,Driving_Pct._300-320_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct._300-320_All_Drives_RELATIVE TO PAR
0,1,1,Bubba Watson,85,30.67,253,825,-0.11900000000000001
1,2,2,Steven Bowditch,86,30.15,328,1088,-0.085
2,3,3,Scott Stallings,84,28.82,277,961,-0.105
3,4,4,Nick Watney,80,28.47,246,864,-0.264
4,5,5,Will Strickler,51,28.41,171,602,-0.053
5,6,6,Martin Laird,77,28.31,244,862,-0.217
6,7,7,Phil Mickelson,79,28.2,229,812,-0.179
7,8,8,Troy Matteson,91,28.17,318,1129,-0.107
8,9,9,Harrison Frazar,58,28.08,164,584,-0.10400000000000001
9,10,10,Charley Hoffman,93,27.92,289,1035,-0.145
10,11,11,Dustin Johnson,72,27.76,211,760,-0.071
11,12,12,Tag Ridings,87,27.59,285,1033,-0.095
12,13,13,Jhonattan Vegas,84,26.58,260,978,-0.11900000000000001
13,14,14,Adam Scott,60,26.5,168,634,-0.13699999999999998
14,15,15,Alex Prugh,82,26.14,259,991,-0.14300000000000002
15,16,16,Robert Garrigus,83,25.93,251,968,-0.068
16,17,17,Aaron Baddeley,77,25.92,225,868,-0.16
17,18,18,Jim Herman,69,25.56,204,798,-0.098
18,19,19,Rickie Fowler,84,25.54,236,924,-0.182
19,20,20,J.B. Holmes,57,25.53,168,658,-0.185
20,21,21,Josh Teater,104,25.45,327,1285,-0.147
21,22,22,Bill Haas,93,25.4,256,1008,-0.16
22,23,23,Ángel Cabrera,50,25.31,124,490,-0.09699999999999999
23,24,24,Kyle Stanley,98,25.27,282,1116,-0.177
24,25,25,Gary Woodland,93,25.15,245,974,-0.053
25,26,26,Chris Couch,73,25.05,237,946,-0.23600000000000002
26,27,27,Keegan Bradley,91,24.86,267,1074,-0.10099999999999999
27,28,28,Bo Van Pelt,92,24.27,241,993,-0.183
28,29,29,John Rollins,85,24.05,241,1002,-0.10800000000000001
29,30,30,David Duval,67,24.01,194,808,-0.077
30,31,31,Ryan Palmer,82,23.87,200,838,-0.175
31,32,32,Brandt Jobe,100,23.72,268,1130,-0.157
32,33,33,Marc Leishman,87,23.66,264,1116,-0.08
33,34,34,Jeff Overton,92,23.63,241,1020,-0.1
34,35,35,Webb Simpson,98,23.27,269,1156,-0.23399999999999999
35,36,36,Charles Howell III,108,23.23,295,1270,-0.22
36,37,37,Sergio Garcia,61,23.16,145,626,-0.214
37,38,38,Kevin Chappell,78,23.12,197,852,-0.198
38,39,39,Scott Piercy,78,23.02,203,882,-0.069
39,40,40,Bobby Gates,82,22.94,214,933,-0.08900000000000001
40,41,41,D.J. Trahan,91,22.71,263,1158,-0.038
41,42,42,Davis Love III,70,22.53,164,728,-0.091
42,43,43,Jason Day,76,22.28,184,826,-0.12
43,44,44,John Senden,94,22.23,251,1129,-0.215
44,45,45,Charl Schwartzel,58,22.14,124,560,-0.129
45,46,46,Chris Kirk,87,22.07,237,1074,-0.24100000000000002
46,47,47,Tommy Gainey,104,21.99,279,1269,-0.168
47,48,48,Robert Karlsson,61,21.94,138,629,-0.28300000000000003
48,49,49,James Driscoll,71,21.83,186,852,-0.11800000000000001
49,50,50,Andres Romero,77,21.73,206,948,-0.209
50,51,51,Hunter Mahan,92,21.72,232,1068,-0.237
51,52,52,Scott Gutschewski,67,21.69,167,770,-0.048
52,53,53,Jimmy Walker,79,21.66,230,1062,-0.07400000000000001
53,54,54,Bio Kim,71,21.63,175,809,-0.12
54,55,55,Zack Miller,86,21.55,225,1044,-0.009000000000000001
55,56,56,Pat Perez,76,21.41,209,976,-0.182
56,57,57,Boo Weekley,66,21.11,168,796,-0.13699999999999998
57,58,58,Derek Lamely,65,21.09,171,811,-0.094
58,59,59,Stewart Cink,72,21.02,152,723,-0.204
59,60,60,Brendan Steele,89,20.84,224,1075,-0.152
60,61,61,Anthony Kim,72,20.71,169,816,-0.166
61,62,62,Bill Lunde,92,20.63,222,1076,-0.11699999999999999
62,63,63,Jim Renner,65,20.35,151,742,-0.079
63,64,64,Cameron Tringale,110,20.31,275,1354,-0.124
64,65,65,George McNeill,69,20.17,163,808,-0.043
65,66,66,Michael Putnam,67,20.0,148,740,-0.095
66,67,67,Vijay Singh,79,19.92,200,1004,-0.23
67,68,68,Sung Kang,63,19.89,142,714,-0.092
68,69,69,Sean O'Hair,71,19.81,166,838,-0.163
69,70,70,Jonathan Byrd,83,19.64,198,1008,-0.222
70,71,71,Matt Jones,71,19.55,174,890,-0.063
71,72,72,Martin Piller,63,19.53,142,727,-0.027999999999999997
72,73,73,Kevin Stadler,88,19.49,198,1016,-0.131
73,74,74,Padraig Harrington,60,19.27,121,628,-0.132
74,75,75,Tim Herron,85,19.24,207,1076,-0.213
75,76,76,Rory Sabbatini,85,19.08,162,849,-0.204
76,77,77,Geoff Ogilvy,69,19.02,143,752,-0.126
77,78,78,Joseph Bramlett,73,19.01,162,852,-0.154
78,79,79,Tom Gillis,55,19.0,133,700,-0.09
79,80,80,Chez Reavie,92,18.9,216,1143,-0.218
80,81,81,David Hearn,88,18.89,201,1064,-0.124
81,82,82,Joe Ogilvie,75,18.87,161,853,-0.099
82,83,83,Ricky Barnes,78,18.83,168,892,-0.083
83,84,84,Camilo Villegas,69,18.8,150,798,-0.107
84,T85,T85,Billy Horschel,75,18.73,162,865,-0.043
85,T85,T85,Roland Thatcher,67,18.73,159,849,-0.17
86,87,87,Lucas Glover,74,18.59,158,850,-0.203
87,88,88,Blake Adams,116,18.51,271,1464,-0.177
88,89,89,Chris Stroud,88,18.38,200,1088,-0.12
89,90,90,Carl Pettersson,95,18.1,228,1260,-0.21899999999999997
90,91,91,Michael Thompson,79,18.01,174,966,-0.121
91,92,92,John Merrick,71,17.62,148,840,-0.17600000000000002
92,93,93,Ben Martin,74,17.49,159,909,-0.20800000000000002
93,94,94,Matt Bettencourt,84,17.35,187,1078,-0.016
94,95,95,Justin Rose,79,17.23,152,882,-0.289
95,96,96,J.J. Henry,96,17.18,189,1100,-0.132
96,97,97,Rod Pampling,72,17.16,144,839,-0.132
97,98,98,Kevin Streelman,90,17.14,170,992,-0.159
98,99,99,Steve Marino,76,16.86,146,866,-0.068
99,100,100,Robert Allenby,84,16.63,163,980,-0.10400000000000001
100,T101,T101,Andres Gonzales,60,16.61,107,644,-0.09300000000000001
101,T101,T101,Brandt Snedeker,85,16.61,155,933,-0.174
102,103,103,Y.E. Yang,63,16.5,97,588,-0.237
103,104,104,Alexandre Rocha,65,16.47,113,686,-0.08
104,105,105,Steve Stricker,70,16.09,120,746,-0.3
105,106,106,Trevor Immelman,84,16.06,150,934,-0.17300000000000001
106,107,107,Michael Bradley,74,15.94,131,822,-0.053
107,108,108,Spencer Levin,113,15.88,208,1310,-0.26899999999999996
108,109,109,J.P. Hayes,56,15.84,106,669,-0.12300000000000001
109,110,110,Ryan Moore,79,15.67,131,836,-0.22899999999999998
110,111,111,Scott McCarron,65,15.65,118,754,-0.11
111,112,112,D.A. Points,89,15.47,160,1034,-0.156
112,113,113,Briny Baird,60,15.31,105,686,-0.086
113,114,114,Ernie Els,71,15.18,126,830,-0.135
114,115,115,Retief Goosen,50,15.11,84,556,-0.11900000000000001
115,116,116,Jason Dufner,78,15.04,136,904,-0.147
116,117,117,Chad Campbell,99,14.85,180,1212,-0.078
117,118,118,D.J. Brigman,67,14.81,114,770,-0.149
118,119,119,Hunter Haas,96,14.67,174,1186,-0.17800000000000002
119,120,120,Freddie Jacobson,92,14.42,141,978,-0.27699999999999997
120,121,121,Jarrod Lyle,83,14.34,144,1004,-0.125
121,122,122,Lee Janzen,62,14.31,100,699,-0.21
122,123,123,Cameron Beckman,71,14.19,127,895,-0.079
123,124,124,William McGirt,103,14.01,180,1285,-0.161
124,125,125,Graeme McDowell,50,13.98,73,522,-0.21899999999999997
125,T126,T126,Nathan Green,81,13.82,135,977,-0.259
126,T126,T126,Troy Merritt,63,13.82,110,796,-0.064
127,128,128,Fabián Gómez,84,13.41,129,962,-0.109
128,129,129,Kent Jones,76,13.38,125,934,-0.128
129,130,130,Woody Austin,59,13.07,91,696,-0.099
130,131,131,Brendon de Jonge,105,13.03,167,1282,-0.174
131,132,132,Steve Elkington,50,12.97,76,586,-0.171
132,133,133,Matt Kuchar,94,12.85,128,996,-0.297
133,134,134,Stuart Appleby,65,12.62,106,840,-0.113
