,Driving_Pct.__240_All_Drives_RANK THIS WEEK,Driving_Pct.__240_All_Drives_RANK LAST WEEK,Driving_Pct.__240_All_Drives_PLAYER NAME,Driving_Pct.__240_All_Drives_ROUNDS,Driving_Pct.__240_All_Drives_%,Driving_Pct.__240_All_Drives_TOTAL DRIVES FOR <= 240,Driving_Pct.__240_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct.__240_All_Drives_RELATIVE TO PAR
0,1,1,Richard Johnson,64,10.6,80,755,+0.100
1,2,2,Daniel Summerhays,75,10.11,93,920,+0.409
2,3,3,Dean Wilson,62,9.97,79,792,+0.127
3,4,4,Marc Turnesa,54,9.55,61,639,+0.131
4,5,5,Nate Smith,66,9.45,70,741,+0.071
5,T6,T6,Nathan Green,81,9.31,91,977,+0.066
6,T6,T6,Trevor Immelman,84,9.31,87,934,+0.161
7,8,8,Jim Furyk,87,9.18,90,980,+0.089
8,9,9,Michael Bradley,74,9.12,75,822,+0.200
9,10,10,Brian Gay,90,9.03,93,1030,+0.032
10,11,11,Chris DiMarco,93,9.0,103,1145,+0.155
11,12,12,Bryce Molder,82,8.89,88,990,+0.057
12,13,13,Justin Leonard,82,8.83,91,1030,+0.099
13,14,14,Kevin Na,84,8.77,83,946,+0.265
14,15,15,Michael Connell,76,8.75,88,1006,+0.227
15,16,16,Kent Jones,76,8.57,80,934,+0.050
16,T17,T17,Ian Poulter,52,8.36,46,550,+0.065
17,T17,T17,Charlie Wi,83,8.36,90,1076,+0.133
18,T19,T19,Arjun Atwal,91,8.33,97,1164,+0.206
19,T19,T19,Woody Austin,59,8.33,58,696,-0.069
20,21,21,Stephen Ames,69,8.25,69,836,+0.174
21,22,22,Steve Flesch,88,8.17,89,1089,+0.247
22,23,23,Chris Riley,76,8.12,77,948,+0.078
23,24,24,David Mathis,83,8.07,79,979,+0.253
24,25,25,Alex Cejka,59,7.98,52,652,+0.077
25,26,26,Paul Goydos,81,7.95,82,1032,+0.122
26,27,27,J.P. Hayes,56,7.77,52,669,+0.038
27,28,28,Colt Knost,80,7.69,72,936,+0.069
28,29,29,Jarrod Lyle,83,7.67,77,1004,+0.273
29,30,30,Zack Miller,86,7.66,80,1044,+0.288
30,31,31,Stewart Cink,72,7.47,54,723,+0.130
31,32,32,Tim Petrovic,88,7.45,80,1074,+0.250
32,T33,T33,Greg Chalmers,88,7.44,82,1102,+0.049
33,T33,T33,Lee Janzen,62,7.44,52,699,+0.212
34,T35,T35,David Duval,67,7.3,59,808,+0.237
35,T35,T35,Shaun Micheel,77,7.3,66,904,+0.242
36,T37,T37,Kris Blanks,92,7.17,83,1158,+0.036
37,T37,T37,Ryuji Imada,83,7.17,76,1060,+0.171
38,39,39,Nick O'Hern,89,7.16,76,1061,+0.197
39,T40,T40,Stuart Appleby,65,7.14,60,840,+0.250
40,T40,T40,David Hearn,88,7.14,76,1064,+0.039
41,42,42,Sean O'Hair,71,7.04,59,838,+0.169
42,43,43,Matt McQuillan,59,7.0,47,671,+0.149
43,44,44,Johnson Wagner,81,6.95,68,978,E
44,45,45,Tim Herron,85,6.88,74,1076,+0.324
