,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_TOTAL DISTANCE
0,1,1,J.B. Holmes,57,70.92,150429.4,212126
1,2,2,Dustin Johnson,72,69.63,174955.8,251250
2,3,3,Robert Garrigus,83,69.54,219936.0,316284
3,4,4,Bubba Watson,85,69.45,186687.9,268798
4,5,5,Steven Bowditch,86,68.81,250116.1,363464
5,6,6,Charley Hoffman,93,68.56,229738.2,335090
6,7,7,Jhonattan Vegas,84,68.29,223270.1,326956
7,8,8,Harrison Frazar,58,68.0,134906.8,198397
8,9,9,Martin Laird,77,67.97,190420.8,280144
9,10,10,Tag Ridings,87,67.93,235799.7,347147
10,T11,T11,Alex Prugh,82,67.92,223024.2,328346
11,T11,T11,Gary Woodland,93,67.92,221903.8,326729
12,13,13,Nick Watney,80,67.79,195305.0,288097
13,T14,T14,Josh Teater,104,67.78,290240.4,428220
14,T14,T14,D.J. Trahan,91,67.78,261361.4,385609
15,T16,T16,Scott Piercy,78,67.71,197720.9,292009
16,T16,T16,Scott Stallings,84,67.71,218543.8,322765
17,18,18,Ryan Palmer,82,67.69,184587.3,272712
18,19,19,Phil Mickelson,79,67.65,180114.6,266262
19,20,20,Ángel Cabrera,50,67.62,109641.0,162144
20,21,21,Adam Scott,60,67.6,145638.4,215443
21,22,22,Troy Matteson,91,67.52,250557.3,371111
22,23,23,Jeff Overton,92,67.47,232183.5,344144
23,24,24,Will Strickler,51,67.44,136085.6,201799
24,25,25,Kyle Stanley,98,67.37,250817.6,372296
25,26,26,John Rollins,85,67.2,223530.1,332638
26,27,27,Boo Weekley,66,67.14,178088.2,265238
27,28,28,Bo Van Pelt,92,67.12,223843.2,333477
28,29,29,Rickie Fowler,84,67.09,206668.0,308023
29,30,30,Kevin Chappell,78,67.08,189148.3,281967
30,T31,T31,Bill Haas,93,67.06,225432.2,336151
31,T31,T31,Andres Romero,77,67.06,212249.2,316500
32,33,33,James Driscoll,71,67.05,188251.1,280742
33,34,34,Jim Renner,65,67.01,165069.6,246343
34,35,35,Jason Day,76,67.0,186467.6,278298
35,36,36,Sergio Garcia,61,66.98,141795.1,211692
36,37,37,Anthony Kim,72,66.95,184608.3,275729
37,T38,T38,Tommy Gainey,104,66.93,283185.2,423116
38,T38,T38,Jim Herman,69,66.93,177237.4,264806
39,T40,T40,Aaron Baddeley,77,66.81,192743.2,288512
40,T40,T40,Webb Simpson,98,66.81,257755.6,385797
41,42,42,Keegan Bradley,91,66.8,241675.7,361784
42,43,43,Davis Love III,70,66.75,162545.9,243517
43,44,44,Kevin Stadler,88,66.71,222165.0,333025
44,45,45,Chris Couch,73,66.68,207849.4,311729
45,46,46,Joe Ogilvie,75,66.65,189919.9,284962
46,47,47,Bill Lunde,92,66.61,231757.7,347933
47,T48,T48,Bio Kim,71,66.54,178557.3,268346
48,T48,T48,Derek Lamely,65,66.54,177448.1,266678
49,50,50,Kevin Streelman,90,66.49,215575.9,324232
50,51,51,Steve Marino,76,66.46,190755.4,287031
51,T52,T52,Chris Kirk,87,66.42,237646.7,357769
52,T52,T52,Martin Piller,63,66.42,161020.7,242437
53,54,54,Billy Horschel,75,66.41,190021.3,286121
54,55,55,Michael Putnam,67,66.38,165796.7,249764
55,56,56,Vijay Singh,79,66.37,222520.3,335253
56,57,57,Chris Stroud,88,66.35,239968.8,361669
57,58,58,Charles Howell III,108,66.32,282703.8,426244
58,59,59,Joseph Bramlett,73,66.29,187690.3,283127
59,60,60,Cameron Tringale,110,66.26,301977.5,455724
60,61,61,Rory Sabbatini,85,66.2,186706.7,282019
61,T62,T62,Hunter Mahan,92,66.19,234797.9,354712
62,T62,T62,Zack Miller,86,66.19,229136.3,346166
63,T64,T64,Carl Pettersson,95,66.1,280893.6,424929
64,T64,T64,Roland Thatcher,67,66.1,185988.3,281371
65,66,66,Tom Gillis,55,66.08,160166.1,242365
66,67,67,Matt Jones,71,66.05,190469.3,288388
67,68,68,John Merrick,71,66.04,188346.4,285207
68,T69,T69,David Duval,67,66.01,174830.4,264850
69,T69,T69,Padraig Harrington,60,66.01,138132.0,209274
70,T71,T71,Robert Karlsson,61,66.0,139346.9,211139
71,T71,T71,Pat Perez,76,66.0,210329.2,318699
72,73,73,Brandt Jobe,100,65.99,246817.1,374035
73,T74,T74,Matt Bettencourt,84,65.97,237085.9,359401
74,T74,T74,Marc Leishman,87,65.97,244906.3,371211
75,76,76,Bobby Gates,82,65.92,202828.9,307698
76,77,77,Scott Gutschewski,67,65.9,168697.1,256007
77,78,78,Sung Kang,63,65.87,157654.4,239333
78,T79,T79,Graeme McDowell,50,65.84,112699.4,171171
79,T79,T79,Sean O'Hair,71,65.84,188097.6,285675
80,T81,T81,Ricky Barnes,78,65.78,196502.3,298741
81,T81,T81,Brendan Steele,89,65.78,234047.0,355800
82,83,83,Jonathan Byrd,83,65.75,222138.2,337864
83,84,84,Robert Allenby,84,65.74,215997.8,328556
84,T85,T85,Blake Adams,116,65.73,319361.2,485875
85,T85,T85,Ben Martin,74,65.73,197463.8,300417
86,T85,T85,Michael Thompson,79,65.73,212155.1,322747
87,T88,T88,Michael Bradley,74,65.68,180453.2,274726
88,T88,T88,Andres Gonzales,60,65.68,142393.7,216803
89,T90,T90,Ernie Els,71,65.66,182578.2,278071
90,T90,T90,David Hearn,88,65.66,235470.5,358643
91,T92,T92,Tim Herron,85,65.63,237397.8,361705
92,T92,T92,George McNeill,69,65.63,178477.3,271957
93,T92,T92,Rod Pampling,72,65.63,185610.1,282800
94,T92,T92,Jimmy Walker,79,65.63,237118.2,361275
95,96,96,John Senden,94,65.61,245498.6,374186
96,97,97,J.J. Henry,96,65.54,236428.3,360713
97,98,98,William McGirt,103,65.49,281946.6,430521
98,99,99,Brandt Snedeker,85,65.47,206400.8,315270
99,100,100,Geoff Ogilvy,69,65.4,167567.1,256233
100,101,101,Cameron Beckman,71,65.38,194356.7,297284
101,102,102,Troy Merritt,63,65.37,172742.0,264247
102,103,103,Charl Schwartzel,58,65.35,121316.4,185653
103,T104,T104,Briny Baird,60,65.34,151470.7,231827
104,T104,T104,Chez Reavie,92,65.34,248342.3,380087
105,T104,T104,Steve Stricker,70,65.34,160944.6,246307
106,107,107,Hunter Haas,96,65.33,254229.4,389124
107,108,108,Justin Rose,79,65.32,190173.0,291157
108,109,109,Vaughn Taylor,89,65.31,249996.0,382786
109,T110,T110,Stewart Cink,72,65.29,152739.8,233928
110,T110,T110,Ryan Moore,79,65.29,180653.5,276689
111,112,112,Retief Goosen,50,65.27,120684.6,184900
112,113,113,Fabián Gómez,84,65.26,207177.4,317473
113,T114,T114,Jason Dufner,78,65.23,197845.5,303299
114,T114,T114,J.P. Hayes,56,65.23,142227.4,218047
115,116,116,Spencer Levin,113,65.22,286478.6,439230
116,117,117,Ben Crane,76,65.21,190308.2,291835
117,118,118,Scott McCarron,65,65.2,165523.5,253886
118,119,119,Steve Elkington,50,65.19,122163.4,187397
119,120,120,Lucas Glover,74,65.18,186639.4,286344
120,121,121,Freddie Jacobson,92,65.14,216761.3,332756
121,122,122,Kevin Kisner,70,65.13,174652.8,268158
122,123,123,Alexandre Rocha,65,65.12,151695.1,232941
123,T124,T124,Chad Campbell,99,65.1,264107.6,405714
124,T124,T124,Brendon de Jonge,105,65.1,276205.1,424291
125,126,126,D.A. Points,89,65.08,223212.2,342994
126,127,127,Matt Kuchar,94,65.07,219256.4,336959
