,Right_Rough_Tendency_RTP_Score_RANK THIS WEEK,Right_Rough_Tendency_RTP_Score_RANK LAST WEEK,Right_Rough_Tendency_RTP_Score_PLAYER NAME,Right_Rough_Tendency_RTP_Score_ROUNDS,Right_Rough_Tendency_RTP_Score_RTP SCORE
0,1,1,Graeme McDowell,50,-.086
1,2,2,Padraig Harrington,60,-.060
2,3,3,Rory Sabbatini,85,-.056
3,4,4,Luke Donald,73,-.049
4,5,5,Alex Cejka,59,-.037
5,6,6,Charley Hoffman,93,-.032
6,T7,T7,Harrison Frazar,58,-.031
7,T7,T7,Ian Poulter,52,-.031
8,T9,T9,Steve Stricker,70,-.030
9,T9,T9,Nick Watney,80,-.030
10,11,11,Phil Mickelson,79,-.025
11,12,12,Chris Couch,73,-.023
12,13,13,Brandt Snedeker,85,-.017
13,T14,T14,Dustin Johnson,72,-.015
14,T14,T14,Bubba Watson,85,-.015
15,T16,T16,Robert Karlsson,61,-.010
16,T16,T16,Kyle Stanley,98,-.010
17,18,18,David Toms,78,-.009
18,19,19,Stewart Cink,72,E
19,T20,T20,Geoff Ogilvy,69,+.009
20,T20,T20,Kevin Stadler,88,+.009
21,T22,T22,Bill Haas,93,+.025
22,T22,T22,Gary Woodland,93,+.025
23,24,24,D.A. Points,89,+.030
24,25,25,Brendon de Jonge,105,+.035
25,26,26,Davis Love III,70,+.036
26,27,27,Brandt Jobe,100,+.042
27,28,28,Vaughn Taylor,89,+.043
28,T29,T29,David Mathis,83,+.044
29,T29,T29,Joe Ogilvie,75,+.044
30,T29,T29,Charlie Wi,83,+.044
31,32,32,Stephen Ames,69,+.045
32,33,33,Woody Austin,59,+.046
33,T34,T34,Trevor Immelman,84,+.050
34,T34,T34,Scott Stallings,84,+.050
35,36,36,Adam Scott,60,+.053
36,37,37,Robert Garrigus,83,+.054
37,T38,T38,Michael Bradley,74,+.056
38,T38,T38,J.B. Holmes,57,+.056
39,40,40,Tim Herron,85,+.060
40,41,41,Mark Wilson,89,+.062
41,42,42,Steve Flesch,88,+.063
42,43,43,Spencer Levin,113,+.064
43,44,44,Kevin Streelman,90,+.066
44,T45,T45,Hunter Haas,96,+.067
45,T45,T45,Anthony Kim,72,+.067
46,T47,T47,Freddie Jacobson,92,+.068
47,T47,T47,Steve Marino,76,+.068
48,T49,T49,Stuart Appleby,65,+.070
49,T49,T49,Chris Stroud,88,+.070
50,51,51,Kevin Chappell,78,+.071
51,52,52,Kevin Na,84,+.072
52,T53,T53,Aaron Baddeley,77,+.073
53,T53,T53,Ben Crane,76,+.073
54,55,55,Ben Curtis,66,+.075
55,56,56,Billy Mayfair,94,+.076
56,T57,T57,Chad Campbell,99,+.078
57,T57,T57,Troy Matteson,91,+.078
58,T57,T57,Webb Simpson,98,+.078
59,60,60,Matt Bettencourt,84,+.079
60,61,61,Martin Laird,77,+.080
61,T62,T62,Bryce Molder,82,+.081
62,T62,T62,Carl Pettersson,95,+.081
63,T62,T62,Jim Renner,65,+.081
64,T65,T65,Bobby Gates,82,+.082
65,T65,T65,Charles Howell III,108,+.082
66,67,67,Rickie Fowler,84,+.083
67,T68,T68,Marc Leishman,87,+.084
68,T68,T68,Hunter Mahan,92,+.084
69,70,70,Cameron Tringale,110,+.085
70,71,71,Ryan Palmer,82,+.087
71,72,72,David Duval,67,+.089
72,73,73,Jimmy Walker,79,+.091
73,T74,T74,Jason Dufner,78,+.093
74,T74,T74,Justin Rose,79,+.093
75,76,76,George McNeill,69,+.094
76,77,77,Zach Johnson,79,+.097
77,T78,T78,Shane Bertsch,62,+.098
78,T78,T78,Tommy Gainey,104,+.098
79,80,80,Jeff Overton,92,+.099
80,T81,T81,Greg Chalmers,88,+.101
81,T81,T81,William McGirt,103,+.101
82,T81,T81,Scott Piercy,78,+.101
83,84,84,Keegan Bradley,91,+.102
84,85,85,Retief Goosen,50,+.103
85,86,86,Vijay Singh,79,+.106
86,87,87,J.P. Hayes,56,+.107
87,T88,T88,Andres Gonzales,60,+.108
88,T88,T88,Y.E. Yang,63,+.108
89,90,90,Justin Leonard,82,+.110
90,91,91,Marc Turnesa,54,+.111
91,92,92,Boo Weekley,66,+.112
92,T93,T93,Kevin Kisner,70,+.113
93,T93,T93,Rod Pampling,72,+.113
94,95,95,Kris Blanks,92,+.114
95,96,96,Sergio Garcia,61,+.115
96,97,97,Chris Kirk,87,+.116
97,98,98,Pat Perez,76,+.117
98,99,99,Chris Riley,76,+.119
99,100,100,D.J. Trahan,91,+.120
100,T101,T101,Blake Adams,116,+.121
101,T101,T101,Briny Baird,60,+.121
102,103,103,Jim Furyk,87,+.122
103,T104,T104,Steven Bowditch,86,+.123
104,T104,T104,Jonathan Byrd,83,+.123
105,T106,T106,Brian Davis,105,+.124
106,T106,T106,Chris DiMarco,93,+.124
107,108,108,Bill Lunde,92,+.128
108,109,109,Dean Wilson,62,+.130
109,110,110,Jim Herman,69,+.132
110,111,111,Josh Teater,104,+.133
111,112,112,Joe Durant,71,+.135
112,T113,T113,Joseph Bramlett,73,+.136
113,T113,T113,Nick O'Hern,89,+.136
114,T115,T115,Robert Allenby,84,+.138
115,T115,T115,K.J. Choi,77,+.138
116,T115,T115,Bo Van Pelt,92,+.138
117,118,118,Matt McQuillan,59,+.140
118,119,119,John Senden,94,+.141
119,T120,T120,Tim Petrovic,88,+.142
120,T120,T120,Alex Prugh,82,+.142
121,T120,T120,Jhonattan Vegas,84,+.142
122,123,123,John Rollins,85,+.143
123,T124,T124,Scott Gutschewski,67,+.145
124,T124,T124,Tag Ridings,87,+.145
125,T124,T124,Paul Stankowski,78,+.145
126,T127,T127,Cameron Beckman,71,+.146
127,T127,T127,Sung Kang,63,+.146
128,129,129,Derek Lamely,65,+.147
129,130,130,Rocco Mediate,53,+.149
130,131,131,Heath Slocum,89,+.152
131,T132,T132,Michael Putnam,67,+.153
132,T132,T132,Michael Thompson,79,+.153
133,T132,T132,Johnson Wagner,81,+.153
134,135,135,Matt Jones,71,+.154
135,T136,T136,Martin Piller,63,+.155
136,T136,T136,Chez Reavie,92,+.155
137,138,138,Matt Kuchar,94,+.156
138,139,139,Aron Price,58,+.157
139,T140,T140,J.J. Henry,96,+.158
140,T140,T140,Roland Thatcher,67,+.158
141,142,142,Fabián Gómez,84,+.160
142,143,143,Jason Day,76,+.162
143,144,144,David Hearn,88,+.163
144,T145,T145,Bio Kim,71,+.165
145,T145,T145,Ben Martin,74,+.165
146,147,147,Arjun Atwal,91,+.172
147,T148,T148,Ricky Barnes,78,+.173
148,T148,T148,John Merrick,71,+.173
149,T150,T150,Ernie Els,71,+.176
150,T150,T150,Shaun Micheel,77,+.176
151,152,152,Charl Schwartzel,58,+.177
152,153,153,Sean O'Hair,71,+.182
153,154,154,Lee Janzen,62,+.183
154,T155,T155,Nathan Green,81,+.184
155,T155,T155,Camilo Villegas,69,+.184
156,157,157,Andres Romero,77,+.187
157,T158,T158,Lucas Glover,74,+.189
158,T158,T158,Kent Jones,76,+.189
159,160,160,D.J. Brigman,67,+.191
160,161,161,Billy Horschel,75,+.193
161,162,162,Garrett Willis,71,+.200
162,163,163,Brian Gay,90,+.202
163,164,164,Colt Knost,80,+.205
164,165,165,James Driscoll,71,+.208
165,166,166,Rich Beem,53,+.211
166,T167,T167,Jarrod Lyle,83,+.216
167,T167,T167,Zack Miller,86,+.216
168,T167,T167,Ryan Moore,79,+.216
169,170,170,Ryuji Imada,83,+.217
170,171,171,Richard Johnson,64,+.219
171,172,172,Paul Goydos,81,+.224
