,Driving_Pct._320_All_Drives_RANK THIS WEEK,Driving_Pct._320_All_Drives_RANK LAST WEEK,Driving_Pct._320_All_Drives_PLAYER NAME,Driving_Pct._320_All_Drives_ROUNDS,Driving_Pct._320_All_Drives_%,Driving_Pct._320_All_Drives_TOTAL DRIVES FOR 320+,Driving_Pct._320_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct._320_All_Drives_RELATIVE TO PAR
0,1,1,J.B. Holmes,57,34.5,227,658,-0.203
1,2,2,Bubba Watson,85,27.88,230,825,-0.322
2,3,3,Dustin Johnson,72,26.05,198,760,-0.187
3,4,4,Gary Woodland,93,25.15,245,974,-0.273
4,5,5,Robert Garrigus,83,25.1,243,968,-0.321
5,6,6,Jhonattan Vegas,84,18.81,184,978,-0.212
6,7,7,Steven Bowditch,86,17.19,187,1088,-0.203
7,8,8,Scott Stallings,84,15.4,148,961,-0.209
8,9,9,Ángel Cabrera,50,15.31,75,490,-0.333
9,10,10,Scott Piercy,78,14.97,132,882,-0.356
10,11,11,Jason Day,76,14.77,122,826,-0.287
11,12,12,Kyle Stanley,98,14.7,164,1116,-0.262
12,13,13,Tag Ridings,87,14.62,151,1033,-0.272
13,14,14,Ryan Palmer,82,13.84,116,838,-0.138
14,15,15,Sergio Garcia,61,13.26,83,626,-0.108
15,16,16,Martin Laird,77,13.11,113,862,-0.292
16,17,17,Adam Scott,60,12.93,82,634,-0.280
17,18,18,Josh Teater,104,12.92,166,1285,-0.289
18,19,19,Charley Hoffman,93,12.75,132,1035,-0.280
19,20,20,Harrison Frazar,58,12.5,73,584,-0.068
20,21,21,Keegan Bradley,91,12.38,133,1074,-0.211
21,22,22,Alex Prugh,82,12.31,122,991,-0.180
22,23,23,Phil Mickelson,79,12.19,99,812,-0.263
23,24,24,Will Strickler,51,11.79,71,602,-0.183
24,25,25,Zack Miller,86,11.49,120,1044,-0.175
25,26,26,Nick Watney,80,11.34,98,864,-0.306
26,27,27,D.J. Trahan,91,10.97,127,1158,-0.213
27,28,28,Rickie Fowler,84,10.82,100,924,-0.320
28,29,29,Davis Love III,70,10.71,78,728,-0.410
29,30,30,Jim Herman,69,10.65,85,798,-0.318
30,31,31,Derek Lamely,65,10.36,84,811,-0.107
31,32,32,Robert Karlsson,61,10.33,65,629,-0.185
32,33,33,Michael Putnam,67,10.0,74,740,-0.054
33,34,34,Troy Matteson,91,9.92,112,1129,-0.241
34,35,35,Jimmy Walker,79,9.89,105,1062,-0.267
35,36,36,Jim Renner,65,9.7,72,742,-0.222
36,37,37,Jeff Overton,92,9.31,95,1020,-0.232
37,38,38,Scott Gutschewski,67,9.22,71,770,-0.197
38,39,39,Chris Couch,73,9.2,87,946,-0.264
39,40,40,Bill Haas,93,9.03,91,1008,-0.341
40,41,41,Bio Kim,71,8.9,72,809,-0.250
41,42,42,Marc Leishman,87,8.69,97,1116,-0.268
42,43,43,Andres Romero,77,8.54,81,948,-0.296
43,44,44,Bo Van Pelt,92,8.36,83,993,-0.349
44,45,45,Anthony Kim,72,8.33,68,816,-0.221
45,46,46,John Rollins,85,8.28,83,1002,-0.229
46,47,47,James Driscoll,71,8.22,70,852,-0.271
47,48,48,Brandt Jobe,100,8.05,91,1130,-0.242
48,49,49,Charles Howell III,108,8.03,102,1270,-0.284
49,50,50,Kevin Chappell,78,7.98,68,852,-0.191
50,51,51,Aaron Baddeley,77,7.95,69,868,-0.261
51,52,52,Tommy Gainey,104,7.72,98,1269,-0.163
52,53,53,David Duval,67,7.67,62,808,-0.113
53,54,54,Vijay Singh,79,7.47,75,1004,-0.200
54,55,55,Martin Piller,63,7.43,54,727,+0.019
55,56,56,Matt Jones,71,7.19,64,890,-0.375
56,57,57,Chris Kirk,87,7.17,77,1074,-0.234
57,58,58,Sung Kang,63,7.0,50,714,-0.220
58,59,59,Kevin Stadler,88,6.99,71,1016,-0.197
59,60,60,Sean O'Hair,71,6.92,58,838,-0.190
60,61,61,Boo Weekley,66,6.91,55,796,-0.255
61,62,62,Padraig Harrington,60,6.85,43,628,-0.395
62,63,63,Steve Marino,76,6.81,59,866,-0.356
63,64,64,Charl Schwartzel,58,6.79,38,560,-0.263
64,65,65,Joseph Bramlett,73,6.69,57,852,-0.211
