,Launch_Angle_RANK THIS WEEK,Launch_Angle_RANK LAST WEEK,Launch_Angle_PLAYER NAME,Launch_Angle_ROUNDS,Launch_Angle_AVG.,Launch_Angle_TOTAL VERT. LAUNCH ANGLE,Launch_Angle_TOTAL ATTEMPTS,Launch_Angle_LOWEST LAUNCH ANGLE,Launch_Angle_STEEPEST LAUNCH ANGLE
0,1,1,Mark Wilson,89,13.9,1014.41,73,10.79,16.73
1,2,2,Ryan Palmer,82,13.45,806.98,60,10.49,16.61
2,3,3,David Hearn,88,13.34,880.13,66,9.12,19.84
3,4,4,Aron Price,58,13.31,572.29,43,11.04,16.16
4,5,5,Alex Cejka,59,13.26,570.04,43,9.66,17.32
5,6,6,Matt McQuillan,59,13.22,475.81,36,8.96,19.59
6,7,7,Heath Slocum,89,13.09,968.62,74,9.64,19.71
7,8,8,Jerry Kelly,85,12.83,859.62,67,8.85,17.0
8,9,9,Vaughn Taylor,89,12.75,931.03,73,9.34,16.41
9,10,10,David Toms,78,12.74,713.71,56,9.34,15.42
10,11,11,Vijay Singh,79,12.69,888.33,70,8.94,17.22
11,12,12,Arjun Atwal,91,12.64,910.03,72,8.76,18.06
12,13,13,Ernie Els,71,12.61,643.21,51,8.46,18.88
13,T14,T14,Keegan Bradley,91,12.48,798.95,64,8.69,16.94
14,T14,T14,Brian Davis,105,12.48,1073.59,86,9.29,16.37
15,16,16,Ben Crane,76,12.41,732.08,59,9.45,17.93
16,17,17,J.B. Holmes,57,12.38,495.19,40,8.87,16.07
17,18,18,Joe Ogilvie,75,12.35,617.58,50,8.53,15.74
18,T19,T19,Robert Garrigus,83,12.34,641.69,52,7.09,19.04
19,T19,T19,J.P. Hayes,56,12.34,493.52,40,10.06,15.25
20,21,21,Martin Piller,63,12.29,528.63,43,9.02,15.56
21,22,22,Davis Love III,70,12.27,478.55,39,9.08,15.88
22,23,23,Tommy Gainey,104,12.23,1002.61,82,8.19,15.97
23,24,24,Nick O'Hern,89,12.2,719.89,59,8.07,15.91
24,25,25,Scott Piercy,78,12.19,633.9,52,3.39,15.5
25,26,26,Billy Mayfair,94,12.09,918.56,76,8.64,15.4
26,27,27,Paul Stankowski,78,12.03,685.96,57,9.18,15.92
27,28,28,Kevin Chappell,78,11.98,646.97,54,6.26,16.46
28,29,29,Brandt Snedeker,85,11.89,772.53,65,8.04,16.53
29,T30,T30,Padraig Harrington,60,11.88,451.3,38,8.67,16.82
30,T30,T30,Bo Van Pelt,92,11.88,760.41,64,7.56,18.78
31,32,32,Justin Hicks,60,11.86,462.45,39,7.87,16.01
32,T33,T33,Jim Renner,65,11.85,556.82,47,8.58,17.61
33,T33,T33,Roland Thatcher,67,11.85,557.0,47,8.12,17.51
34,35,35,Zach Johnson,79,11.84,793.54,67,8.51,14.39
35,36,36,Carl Pettersson,95,11.83,982.0,83,8.79,14.79
36,T37,T37,Brian Gay,90,11.81,827.01,70,9.1,15.44
37,T37,T37,Josh Teater,104,11.81,791.35,67,8.93,14.74
38,39,39,Billy Horschel,75,11.76,658.35,56,6.64,14.99
39,40,40,Chris Kirk,87,11.74,844.97,72,8.21,16.51
40,41,41,Kevin Stadler,88,11.73,715.35,61,8.43,16.85
41,42,42,D.J. Brigman,67,11.68,525.5,45,7.66,16.12
42,43,43,Rickie Fowler,84,11.66,710.99,61,3.98,17.74
43,44,44,Steve Elkington,50,11.65,396.06,34,8.75,14.45
44,45,45,Harrison Frazar,58,11.62,453.34,39,8.97,16.25
45,46,46,Chez Reavie,92,11.61,847.45,73,7.98,14.18
46,47,47,Jason Day,76,11.59,533.32,46,8.95,14.24
47,48,48,Alex Prugh,82,11.55,704.75,61,8.67,16.64
48,T49,T49,Marc Leishman,87,11.54,842.12,73,6.05,16.64
49,T49,T49,Phil Mickelson,79,11.54,576.98,50,8.04,16.59
50,51,51,Michael Putnam,67,11.53,530.27,46,8.38,15.62
51,52,52,Dean Wilson,62,11.45,572.71,50,3.92,14.62
52,T53,T53,Robert Allenby,84,11.43,742.73,65,7.41,13.97
53,T53,T53,Marc Turnesa,54,11.43,377.1,33,8.23,14.29
54,T55,T55,Jason Dufner,78,11.34,680.47,60,6.56,16.64
55,T55,T55,Paul Goydos,81,11.34,725.76,64,7.52,16.17
56,T55,T55,Hunter Mahan,92,11.34,839.35,74,6.65,16.69
57,T58,T58,Troy Matteson,91,11.33,815.93,72,6.51,17.29
58,T58,T58,John Rollins,85,11.33,770.46,68,8.31,14.45
59,60,60,Rory Sabbatini,85,11.32,611.18,54,8.24,19.6
60,T61,T61,Rocco Mediate,53,11.31,497.56,44,6.86,14.53
61,T61,T61,Pat Perez,76,11.31,689.85,61,7.45,17.02
62,T63,T63,Rich Beem,53,11.28,473.6,42,6.82,14.3
63,T63,T63,Justin Rose,79,11.28,722.16,64,7.78,15.63
64,65,65,Michael Thompson,79,11.26,607.79,54,7.98,15.83
65,66,66,Derek Lamely,65,11.25,472.56,42,7.69,15.85
66,67,67,Ben Martin,74,11.24,494.48,44,7.98,16.01
67,T68,T68,Tim Herron,85,11.23,718.61,64,8.1,15.36
68,T68,T68,John Merrick,71,11.23,629.05,56,8.83,16.7
69,70,70,Will Strickler,51,11.22,381.35,34,8.62,15.82
70,71,71,Steve Marino,76,11.21,728.97,65,7.9,16.13
71,72,72,Sung Kang,63,11.2,436.8,39,8.48,13.59
72,73,73,Retief Goosen,50,11.16,424.22,38,7.6,15.3
73,T74,T74,Kent Jones,76,11.1,621.43,56,8.09,14.14
74,T74,T74,Kevin Kisner,70,11.1,543.89,49,8.2,13.68
75,T76,T76,Cameron Beckman,71,11.06,641.43,58,7.78,14.65
76,T76,T76,Charley Hoffman,93,11.06,818.6,74,6.89,17.91
77,T78,T78,Briny Baird,60,11.05,442.12,40,8.04,15.7
