,Driving_Distance_RANK THIS WEEK,Driving_Distance_RANK LAST WEEK,Driving_Distance_PLAYER NAME,Driving_Distance_ROUNDS,Driving_Distance_AVG.,Driving_Distance_TOTAL DISTANCE,Driving_Distance_TOTAL DRIVES
0,1,1,J.B. Holmes,57,318.4,33751,106
1,2,2,Bubba Watson,85,314.9,49747,158
2,3,3,Dustin Johnson,72,314.2,44616,142
3,4,4,Robert Garrigus,83,313.4,52026,166
4,5,5,Gary Woodland,93,310.5,57745,186
5,6,6,Steven Bowditch,86,308.3,50569,164
6,7,7,Scott Piercy,78,305.4,45204,148
7,8,8,Jhonattan Vegas,84,304.9,48778,160
8,9,9,Kyle Stanley,98,304.6,54825,180
9,10,10,Will Strickler,51,304.1,28584,94
10,11,11,Scott Stallings,84,303.7,47374,156
11,12,12,Tag Ridings,87,303.3,49131,162
12,13,13,Martin Laird,77,303.0,46051,152
13,14,14,Jason Day,76,302.6,44179,146
14,15,15,Josh Teater,104,302.3,59244,196
15,16,16,Nick Watney,80,301.9,46500,154
16,17,17,Harrison Frazar,58,301.8,35006,116
17,18,18,Jim Herman,69,301.7,36806,122
18,19,19,Ángel Cabrera,50,301.6,27747,92
19,20,20,Keegan Bradley,91,300.7,52319,174
20,21,21,Troy Matteson,91,300.2,52230,174
21,T22,T22,Charley Hoffman,93,299.8,55162,184
22,T22,T22,Phil Mickelson,79,299.8,46162,154
23,24,24,Adam Scott,60,299.7,35367,118
24,T25,T25,Rickie Fowler,84,299.5,48520,162
25,T25,T25,Zack Miller,86,299.5,49116,164
26,T25,T25,Ryan Palmer,82,299.5,47915,160
27,T28,T28,Sergio Garcia,61,299.2,36507,122
28,T28,T28,Robert Karlsson,61,299.2,35309,118
29,30,30,Jimmy Walker,79,298.8,47213,158
30,T31,T31,Alex Prugh,82,298.6,46581,156
31,T31,T31,D.J. Trahan,91,298.6,54349,182
32,T33,T33,James Driscoll,71,298.5,38802,130
33,T33,T33,Brandt Jobe,100,298.5,57311,192
34,T33,T33,Davis Love III,70,298.5,41783,140
35,36,36,Scott Gutschewski,67,298.0,35169,118
36,37,37,Derek Lamely,65,297.9,37538,126
37,T38,T38,Bobby Gates,82,297.4,44013,148
38,T38,T38,Bo Van Pelt,92,297.4,53533,180
39,40,40,Charles Howell III,108,297.3,61846,208
40,T41,T41,John Merrick,71,297.2,37450,126
41,T41,T41,Michael Putnam,67,297.2,37445,126
42,43,43,Charl Schwartzel,58,297.0,33269,112
43,T44,T44,Chris Couch,73,296.8,43334,146
44,T44,T44,Jim Renner,65,296.8,33836,114
45,T46,T46,Tommy Gainey,104,296.7,59331,200
46,T46,T46,John Rollins,85,296.7,49251,166
47,T48,T48,Bill Haas,93,296.6,54570,184
48,T48,T48,Boo Weekley,66,296.6,36775,124
49,50,50,David Duval,67,296.3,39698,134
50,T51,T51,Aaron Baddeley,77,296.2,44430,150
51,T51,T51,Webb Simpson,98,296.2,58064,196
52,53,53,Bio Kim,71,296.1,38497,130
53,54,54,Marc Leishman,87,296.0,51496,174
54,55,55,Kevin Chappell,78,295.8,42597,144
55,56,56,Chris Kirk,87,295.7,51446,174
56,57,57,Joseph Bramlett,73,295.6,38434,130
57,58,58,Jeff Overton,92,295.3,53750,182
58,59,59,Steve Marino,76,295.2,44873,152
59,60,60,George McNeill,69,295.0,35991,122
60,T61,T61,Padraig Harrington,60,294.7,34778,118
61,T61,T61,Andres Romero,77,294.7,44200,150
62,T63,T63,Lucas Glover,74,294.6,43595,148
63,T63,T63,Sean O'Hair,71,294.6,41241,140
64,65,65,Camilo Villegas,69,294.4,40041,136
65,T66,T66,Vijay Singh,79,294.3,46492,158
66,T66,T66,Cameron Tringale,110,294.3,62400,212
67,T68,T68,Sung Kang,63,294.2,34712,118
68,T68,T68,Anthony Kim,72,294.2,41774,142
69,70,70,Matt Jones,71,293.9,41730,142
70,71,71,Chez Reavie,92,293.5,53998,184
71,T72,T72,Ricky Barnes,78,293.3,45750,156
72,T72,T72,John Senden,94,293.3,55144,188
73,74,74,Kevin Stadler,88,293.2,46910,160
74,T75,T75,Andres Gonzales,60,293.1,30486,104
75,T75,T75,Roland Thatcher,67,293.1,39272,134
76,77,77,Brendan Steele,89,292.8,50943,174
77,78,78,Rory Sabbatini,85,292.5,47377,162
78,79,79,Martin Piller,63,292.2,34482,118
79,80,80,Blake Adams,116,292.1,65435,224
80,T81,T81,Stewart Cink,72,291.8,38521,132
81,T81,T81,Tim Herron,85,291.8,47269,162
82,T81,T81,Carl Pettersson,95,291.8,54271,186
83,T84,T84,Jonathan Byrd,83,291.6,47827,164
84,T84,T84,Hunter Mahan,92,291.6,51896,178
85,T84,T84,Scott McCarron,65,291.6,35574,122
86,T84,T84,Joe Ogilvie,75,291.6,39076,134
87,T84,T84,Rod Pampling,72,291.6,37331,128
88,89,89,Bill Lunde,92,291.5,51298,176
89,90,90,Pat Perez,76,291.4,44289,152
90,91,91,Chris Stroud,88,291.2,48916,168
91,T92,T92,Chad Campbell,99,291.1,56476,194
92,T92,T92,J.J. Henry,96,291.1,53561,184
93,T94,T94,Billy Horschel,75,291.0,40162,138
94,T94,T94,Michael Thompson,79,291.0,42486,146
95,T96,T96,David Hearn,88,290.9,46551,160
96,T96,T96,Alexandre Rocha,65,290.9,33157,114
97,98,98,Michael Bradley,74,290.7,40703,140
98,99,99,Justin Rose,79,290.6,44759,154
99,T100,T100,Robert Allenby,84,290.2,48165,166
100,T100,T100,D.J. Brigman,67,290.2,34244,118
101,T100,T100,Y.E. Yang,63,290.2,34239,118
102,T103,T103,Tom Gillis,55,290.1,31914,110
103,T103,T103,Lee Janzen,62,290.1,32495,112
104,T103,T103,Ryan Moore,79,290.1,43510,150
105,106,106,Geoff Ogilvy,69,290.0,38286,132
106,T107,T107,Retief Goosen,50,289.9,28415,98
107,T107,T107,William McGirt,103,289.9,57398,198
108,T109,T109,Ben Martin,74,289.5,40528,140
109,T109,T109,Graeme McDowell,50,289.5,27213,94
110,111,111,Kevin Streelman,90,289.2,52050,180
111,112,112,Briny Baird,60,289.1,31223,108
112,113,113,Steve Stricker,70,288.8,39859,138
113,T114,T114,Hunter Haas,96,288.5,53082,184
114,T114,T114,Trevor Immelman,84,288.5,48465,168
115,116,116,Fabián Gómez,84,288.4,43832,152
116,117,117,Matt Bettencourt,84,288.3,48437,168
117,118,118,Ernie Els,71,288.1,39753,138
118,119,119,Brendon de Jonge,105,287.8,58132,202
119,120,120,Woody Austin,59,287.6,30487,106
120,121,121,Stuart Appleby,65,287.5,37374,130
121,T122,T122,Freddie Jacobson,92,287.4,48282,168
122,T122,T122,D.A. Points,89,287.4,51162,178
123,124,124,Brandt Snedeker,85,287.2,48816,170
124,T125,T125,Jason Dufner,78,286.8,44745,156
125,T125,T125,Troy Merritt,63,286.8,34986,122
126,127,127,Spencer Levin,113,286.3,62416,218
127,128,128,Matt Kuchar,94,286.2,50366,176
128,T129,T129,Rich Beem,53,286.1,30325,106
129,T129,T129,Jarrod Lyle,83,286.1,45201,158
130,T129,T129,Shaun Micheel,77,286.1,41773,146
131,132,132,Justin Hicks,60,286.0,29742,104
132,133,133,Charlie Wi,83,285.8,47443,166
133,134,134,K.J. Choi,77,285.6,42834,150
134,T135,T135,Steve Elkington,50,285.4,28543,100
135,T135,T135,Matt McQuillan,59,285.4,31399,110
136,T137,T137,Nathan Green,81,285.0,43891,154
137,T137,T137,Kent Jones,76,285.0,40474,142
138,T139,T139,Kris Blanks,92,284.9,51276,180
139,T139,T139,Jason Bohn,74,284.9,39879,140
140,T139,T139,Ben Crane,76,284.9,41599,146
141,T139,T139,Daniel Summerhays,75,284.9,41596,146
142,T143,T143,Arjun Atwal,91,284.8,51842,182
143,T143,T143,Mark Wilson,89,284.8,49548,174
144,T145,T145,Cameron Beckman,71,284.3,38102,134
145,T145,T145,Kevin Kisner,70,284.3,36394,128
146,T147,T147,Luke Donald,73,284.1,38064,134
147,T147,T147,Vaughn Taylor,89,284.1,50571,178
148,149,149,Paul Stankowski,78,283.9,40875,144
149,150,150,Stephen Ames,69,283.8,36890,130
150,151,151,Joe Durant,71,283.6,39143,138
151,152,152,Ryuji Imada,83,283.4,47048,166
152,T153,T153,Brian Davis,105,283.3,59483,210
153,T153,T153,Billy Mayfair,94,283.3,50999,180
154,T155,T155,Ian Poulter,52,282.8,28850,102
155,T155,T155,Marc Turnesa,54,282.8,29406,104
156,157,157,J.P. Hayes,56,282.7,30529,108
157,158,158,Aron Price,58,282.6,29388,104
158,159,159,Steve Flesch,88,282.5,47462,168
159,160,160,Johnson Wagner,81,282.2,43455,154
160,T161,T161,David Mathis,83,282.0,43422,154
161,T161,T161,Bryce Molder,82,282.0,45119,160
162,163,163,Heath Slocum,89,281.9,49612,176
163,164,164,Jim Furyk,87,281.4,48401,172
164,165,165,Nate Smith,66,281.2,33743,120
165,166,166,Tim Petrovic,88,280.5,47118,168
166,167,167,Alex Cejka,59,280.3,33076,118
167,T168,T168,Shane Bertsch,62,280.1,31370,112
168,T168,T168,Justin Leonard,82,280.1,45944,164
169,170,170,Kevin Na,84,279.8,47009,168
170,171,171,Garrett Willis,71,279.7,38598,138
171,172,172,Greg Chalmers,88,279.6,48090,172
172,173,173,Michael Connell,76,279.5,42484,152
173,174,174,Chris Riley,76,279.3,40221,144
174,175,175,David Toms,78,279.1,41302,148
175,176,176,Colt Knost,80,279.0,41291,148
176,177,177,Zach Johnson,79,278.2,43396,156
177,178,178,Chris DiMarco,93,277.9,49475,178
178,179,179,Dean Wilson,62,276.8,34319,124
179,180,180,Ben Curtis,66,276.7,36522,132
180,181,181,Richard Johnson,64,276.6,32087,116
181,182,182,Nick O'Hern,89,276.3,46965,170
182,183,183,Jerry Kelly,85,275.6,44091,160
183,184,184,Rocco Mediate,53,275.5,29208,106
184,185,185,Paul Goydos,81,274.8,44523,162
185,186,186,Brian Gay,90,269.8,46410,172
