,Good_Drive_Percentage_RANK THIS WEEK,Good_Drive_Percentage_RANK LAST WEEK,Good_Drive_Percentage_PLAYER NAME,Good_Drive_Percentage_ROUNDS,Good_Drive_Percentage_%,Good_Drive_Percentage_# HIT,Good_Drive_Percentage_TOTAL ATTEMPTS
0,1,1,Heath Slocum,89,88.56,1091,1232
1,2,2,Ben Crane,76,86.35,886,1026
2,3,3,Ben Curtis,66,86.01,793,922
3,4,4,Joe Durant,71,85.84,849,989
4,5,5,John Senden,94,85.74,1124,1311
5,6,6,Brian Davis,105,85.65,1253,1463
6,7,7,Paul Goydos,81,85.47,965,1129
7,8,8,Steve Elkington,50,85.37,595,697
8,9,9,Steve Stricker,70,85.26,827,970
9,10,10,Rocco Mediate,53,85.2,633,743
10,11,11,Chez Reavie,92,85.18,1092,1282
11,12,12,Bill Haas,93,85.17,1097,1288
12,13,13,Jason Dufner,78,84.79,920,1085
13,14,14,Adam Scott,60,84.7,703,830
14,15,15,Zach Johnson,79,84.62,924,1092
15,16,16,Alex Cejka,59,84.37,691,819
16,17,17,Bo Van Pelt,92,84.26,1060,1258
17,18,18,Ian Poulter,52,84.12,604,718
18,19,19,Mark Wilson,89,84.06,1018,1211
19,20,20,Kevin Streelman,90,83.93,1055,1257
20,21,21,Billy Mayfair,94,83.85,1101,1313
21,22,22,John Rollins,85,83.69,990,1183
22,23,23,D.J. Trahan,91,83.61,1061,1269
23,24,24,Chris Couch,73,83.56,849,1016
24,25,25,Matt Kuchar,94,83.55,1031,1234
25,26,26,Graeme McDowell,50,83.53,553,662
26,27,27,D.A. Points,89,83.51,1038,1243
27,28,28,Webb Simpson,98,83.31,1138,1366
28,29,29,Justin Rose,79,83.3,898,1078
29,30,30,Brandt Snedeker,85,83.28,986,1184
30,31,31,Luke Donald,73,83.16,780,938
31,32,32,Hunter Mahan,92,83.11,1038,1249
32,33,33,Bubba Watson,85,82.99,917,1105
33,T34,T34,Jim Furyk,87,82.96,998,1203
34,T34,T34,Tom Gillis,55,82.96,638,769
35,T36,T36,Charley Hoffman,93,82.81,1065,1286
36,T36,T36,Geoff Ogilvy,69,82.81,761,919
37,38,38,Davis Love III,70,82.74,810,979
38,39,39,Retief Goosen,50,82.7,564,682
39,40,40,Dustin Johnson,72,82.65,824,997
40,41,41,Gary Woodland,93,82.63,1070,1295
41,42,42,Vaughn Taylor,89,82.59,1025,1241
42,43,43,Pat Perez,76,82.53,874,1059
43,44,44,Trevor Immelman,84,82.49,966,1171
44,45,45,Nick O'Hern,89,82.37,1023,1242
45,46,46,Charl Schwartzel,58,82.27,645,784
46,47,47,Martin Laird,77,82.23,870,1058
47,T48,T48,Justin Leonard,82,82.21,938,1141
48,T48,T48,David Toms,78,82.21,892,1085
49,50,50,Ryuji Imada,83,82.12,951,1158
