,Distance_to_Apex_RANK THIS WEEK,Distance_to_Apex_RANK LAST WEEK,Distance_to_Apex_PLAYER NAME,Distance_to_Apex_ROUNDS,Distance_to_Apex_AVG.,Distance_to_Apex_TOTAL APEX RANGE,Distance_to_Apex_TOTAL ATTEMPTS,Distance_to_Apex_LONGEST DIST. TO APEX,Distance_to_Apex_SHORTEST DIST. TO APEX
0,1,1,J.B. Holmes,57,211.3,8665.0,41,225.2,195.7
1,2,2,Bubba Watson,85,206.5,10325.7,50,223.9,180.5
2,3,3,Jhonattan Vegas,84,203.1,11984.8,59,221.6,179.3
3,4,4,Dustin Johnson,72,199.9,8794.6,44,212.3,181.6
4,5,5,Ángel Cabrera,50,199.8,4995.0,25,219.9,180.5
5,6,6,Zack Miller,86,199.6,9981.5,50,212.5,178.0
6,7,7,Tag Ridings,87,198.7,10925.9,55,213.7,169.6
7,8,8,Chris Couch,73,198.5,8934.2,45,213.5,183.7
8,9,9,Will Strickler,51,197.3,6511.2,33,213.9,172.2
9,10,10,Gary Woodland,93,197.2,9268.6,47,214.5,154.9
10,11,11,Aaron Baddeley,77,195.7,10764.0,55,209.5,177.2
11,12,12,Charley Hoffman,93,195.5,13683.3,70,212.8,177.2
12,13,13,Scott Stallings,84,195.2,12687.6,65,208.7,175.4
13,14,14,Phil Mickelson,79,195.1,8973.6,46,212.6,166.3
14,15,15,Robert Garrigus,83,194.8,9544.1,49,213.5,147.4
15,16,16,Robert Karlsson,61,194.7,7789.1,40,208.6,169.4
16,17,17,Nick Watney,80,194.4,12050.4,62,214.8,177.9
17,18,18,Kyle Stanley,98,194.3,13018.1,67,213.0,174.4
18,T19,T19,James Driscoll,71,194.2,9904.9,51,215.9,169.7
19,T19,T19,Bill Haas,93,194.2,12817.7,66,210.4,169.7
20,21,21,Harrison Frazar,58,193.3,7152.5,37,204.6,182.9
21,T22,T22,Bobby Gates,82,193.0,9844.8,51,212.6,152.6
22,T22,T22,Martin Laird,77,193.0,10616.0,55,211.7,165.7
23,24,24,Jason Day,76,192.8,8867.8,46,207.8,177.7
24,T25,T25,Trevor Immelman,84,192.5,8856.2,46,206.4,148.1
25,T25,T25,Adam Scott,60,192.5,8856.9,46,209.9,162.6
26,27,27,Sergio Garcia,61,192.2,7302.4,38,201.9,173.3
27,T28,T28,Joseph Bramlett,73,192.1,9222.5,48,201.9,181.6
28,T28,T28,Bio Kim,71,192.1,8646.4,45,212.7,168.4
29,T28,T28,Charl Schwartzel,58,192.1,6531.9,34,204.5,170.7
30,31,31,Steven Bowditch,86,191.9,11708.5,61,206.7,160.2
31,32,32,Josh Teater,104,191.7,12270.0,64,209.5,175.9
32,T33,T33,Keegan Bradley,91,191.4,11481.2,60,204.5,172.8
33,T33,T33,Scott Piercy,78,191.4,9762.0,51,203.7,174.1
34,T35,T35,Charles Howell III,108,191.3,14925.3,78,202.8,173.5
35,T35,T35,Andres Romero,77,191.3,11287.1,59,204.9,150.4
36,37,37,George McNeill,69,190.9,9735.4,51,206.5,172.9
37,38,38,Derek Lamely,65,190.8,8013.4,42,206.3,169.9
38,T39,T39,Lucas Glover,74,190.1,10077.9,53,201.8,171.3
39,T39,T39,John Senden,94,190.1,14449.6,76,203.9,175.4
40,41,41,Alex Prugh,82,190.0,11402.8,60,207.4,147.6
41,42,42,Steve Marino,76,189.7,11002.0,58,206.1,173.2
42,43,43,Davis Love III,70,189.5,7199.5,38,202.1,169.7
43,44,44,Marc Leishman,87,189.4,13259.9,70,205.1,163.1
44,45,45,Jimmy Walker,79,189.1,9830.7,52,208.0,136.9
45,46,46,Padraig Harrington,60,188.8,6985.4,37,210.9,168.3
46,47,47,D.J. Trahan,91,188.5,12439.2,66,201.7,169.1
47,48,48,David Duval,67,188.4,8664.8,46,218.2,162.4
48,49,49,Rickie Fowler,84,188.1,11283.4,60,207.2,164.7
49,50,50,Michael Putnam,67,187.9,7703.3,41,200.4,168.2
50,51,51,Matt Jones,71,187.7,9384.6,50,203.1,166.6
51,52,52,Ryan Palmer,82,187.6,10319.0,55,203.4,166.0
52,53,53,Jonathan Byrd,83,187.5,11627.9,62,202.4,154.9
53,54,54,Kevin Streelman,90,187.3,11052.7,59,201.7,175.6
54,T55,T55,Troy Matteson,91,187.2,11978.8,64,204.7,154.8
55,T55,T55,John Rollins,85,187.2,12730.5,68,201.0,167.6
56,57,57,Stewart Cink,72,186.9,7477.8,40,198.3,167.5
57,T58,T58,Chad Campbell,99,186.4,12677.1,68,200.9,159.4
58,T58,T58,Brandt Jobe,100,186.4,12863.7,69,202.0,168.5
59,60,60,Retief Goosen,50,186.3,6334.9,34,199.4,172.3
60,61,61,Webb Simpson,98,186.1,14890.1,80,200.4,164.1
61,62,62,Brendon de Jonge,105,186.0,15622.7,84,200.9,171.2
62,63,63,Ricky Barnes,78,185.9,9853.7,53,205.3,152.8
63,T64,T64,Bill Lunde,92,185.5,13169.3,71,200.0,165.5
64,T64,T64,Brendan Steele,89,185.5,12987.5,70,205.7,162.3
65,66,66,Roland Thatcher,67,185.4,8899.6,48,201.9,173.5
66,T67,T67,Anthony Kim,72,185.1,9627.4,52,203.6,133.1
67,T67,T67,Ben Martin,74,185.1,7958.3,43,195.4,172.1
68,69,69,Boo Weekley,66,184.8,8868.2,48,201.5,161.8
69,70,70,Scott McCarron,65,184.7,8494.4,46,196.1,163.3
70,71,71,Tommy Gainey,104,184.4,14750.6,80,199.9,150.8
71,72,72,Kevin Stadler,88,183.8,10659.4,58,196.8,160.5
72,73,73,Geoff Ogilvy,69,183.5,9539.8,52,195.3,168.3
73,T74,T74,Blake Adams,116,183.3,13562.9,74,200.1,147.2
74,T74,T74,Stuart Appleby,65,183.3,9165.3,50,198.4,144.1
75,T74,T74,Scott Gutschewski,67,183.3,8065.1,44,204.2,161.7
76,77,77,Cameron Tringale,110,183.2,15388.8,84,200.4,157.7
77,T78,T78,Bo Van Pelt,92,183.1,11903.0,65,198.1,163.5
78,T78,T78,Y.E. Yang,63,183.1,7140.0,39,205.9,166.5
79,T80,T80,Michael Bradley,74,183.0,9697.1,53,195.0,128.5
80,T80,T80,Camilo Villegas,69,183.0,8965.7,49,199.6,136.3
81,T82,T82,Jim Herman,69,182.9,8232.2,45,200.3,155.0
82,T82,T82,Billy Horschel,75,182.9,10239.9,56,194.8,153.3
83,84,84,Andres Gonzales,60,182.8,7494.7,41,195.7,159.9
84,85,85,Vijay Singh,79,182.7,12424.9,68,198.9,156.7
85,86,86,Woody Austin,59,182.2,6924.5,38,196.4,171.4
86,T87,T87,Sean O'Hair,71,182.1,7830.4,43,199.5,163.5
87,T87,T87,Chez Reavie,92,182.1,13109.7,72,193.2,150.2
88,T89,T89,Tim Herron,85,182.0,11468.3,63,194.3,153.5
89,T89,T89,Sung Kang,63,182.0,6732.7,37,196.9,159.5
90,T91,T91,Jarrod Lyle,83,181.8,10723.4,59,196.6,147.8
91,T91,T91,Rory Sabbatini,85,181.8,9636.1,53,200.2,162.1
92,93,93,Kevin Chappell,78,181.7,9991.8,55,201.2,146.9
93,T94,T94,Kevin Na,84,181.6,8533.3,47,203.0,161.6
94,T94,T94,Jim Renner,65,181.6,8716.9,48,200.9,160.1
95,96,96,Fabián Gómez,84,181.5,8531.0,47,195.9,164.6
96,97,97,Hunter Mahan,92,181.4,13060.9,72,195.1,160.2
97,98,98,Ryan Moore,79,181.3,10331.6,57,199.1,158.4
98,99,99,Pat Perez,76,181.2,10326.2,57,195.0,154.9
99,100,100,Jeff Overton,92,181.1,11952.8,66,201.1,85.3
100,101,101,Chris Kirk,87,180.9,12478.9,69,195.4,162.8
101,T102,T102,Graeme McDowell,50,180.8,5965.4,33,201.3,146.6
102,T102,T102,Chris Stroud,88,180.8,13020.1,72,194.9,155.4
103,T104,T104,Nathan Green,81,180.7,9757.7,54,206.4,147.5
104,T104,T104,Billy Mayfair,94,180.7,13368.9,74,195.9,166.1
105,T106,T106,William McGirt,103,180.6,15168.5,84,199.2,152.2
106,T106,T106,Alexandre Rocha,65,180.6,7044.6,39,193.4,164.4
107,T108,T108,Lee Janzen,62,180.5,7580.6,42,197.3,162.2
108,T108,T108,Troy Merritt,63,180.5,8304.1,46,191.0,167.9
109,110,110,Briny Baird,60,180.2,7028.9,39,193.1,155.0
110,T111,T111,J.J. Henry,96,180.1,12784.2,71,192.9,154.3
111,T111,T111,Steve Stricker,70,180.1,9902.9,55,191.7,157.7
112,T113,T113,Ryuji Imada,83,180.0,12783.2,71,195.1,163.0
113,T113,T113,Joe Ogilvie,75,180.0,8641.9,48,195.5,165.5
114,T115,T115,Matt Bettencourt,84,179.9,11694.5,65,195.7,152.3
115,T115,T115,Kevin Kisner,70,179.9,8093.3,45,191.0,162.0
116,T115,T115,John Merrick,71,179.9,9357.0,52,191.8,160.6
117,118,118,D.J. Brigman,67,179.8,7373.8,41,192.0,158.8
118,119,119,Luke Donald,73,179.4,8071.2,45,191.2,167.3
119,T120,T120,Justin Rose,79,179.1,11106.0,62,191.0,163.2
120,T120,T120,Daniel Summerhays,75,179.1,8776.9,49,198.4,166.2
121,T120,T120,Michael Thompson,79,179.1,8598.3,48,191.6,163.3
122,123,123,Paul Stankowski,78,179.0,8948.2,50,193.6,160.9
123,124,124,Ian Poulter,52,178.9,6978.0,39,189.6,167.0
124,125,125,Rod Pampling,72,178.7,8218.2,46,191.6,122.6
125,126,126,Brandt Snedeker,85,178.4,11415.6,64,191.6,167.8
126,127,127,David Hearn,88,178.1,11578.2,65,191.9,161.9
127,128,128,Robert Allenby,84,177.9,11560.5,65,191.7,136.5
128,T129,T129,Tom Gillis,55,177.7,8530.8,48,200.3,145.8
129,T129,T129,Johnson Wagner,81,177.7,11729.0,66,185.5,149.4
130,131,131,Joe Durant,71,177.5,8522.1,48,188.4,158.5
131,132,132,Charlie Wi,83,177.2,11518.1,65,193.3,155.5
132,133,133,Marc Turnesa,54,177.1,5845.1,33,191.5,158.0
133,T134,T134,Ben Crane,76,177.0,10265.9,58,194.0,165.9
134,T134,T134,Bryce Molder,82,177.0,10266.8,58,194.8,156.6
135,T136,T136,Ernie Els,71,176.8,8664.4,49,191.4,164.9
136,T136,T136,Kent Jones,76,176.8,9903.0,56,190.1,149.4
137,138,138,Freddie Jacobson,92,176.7,10069.7,57,191.8,158.9
138,139,139,Kris Blanks,92,176.2,12685.6,72,195.4,147.1
139,T140,T140,Hunter Haas,96,176.1,12504.2,71,202.0,143.2
140,T140,T140,Shaun Micheel,77,176.1,8626.7,49,195.3,146.5
141,142,142,Rich Beem,53,176.0,7215.3,41,188.8,156.7
142,143,143,Greg Chalmers,88,175.9,11257.8,64,191.7,149.8
143,144,144,Spencer Levin,113,175.8,14063.2,80,188.5,152.3
144,145,145,Stephen Ames,69,175.7,8082.1,46,187.7,155.2
145,T146,T146,Cameron Beckman,71,175.6,9658.9,55,189.5,156.5
146,T146,T146,D.A. Points,89,175.6,11238.7,64,189.5,159.5
147,T146,T146,Vaughn Taylor,89,175.6,12821.1,73,189.5,156.8
148,149,149,Martin Piller,63,175.1,7354.8,42,186.9,154.7
149,150,150,K.J. Choi,77,174.7,9781.2,56,191.1,152.8
150,151,151,Carl Pettersson,95,174.6,14146.5,81,194.0,140.7
151,152,152,David Mathis,83,174.5,9594.9,55,189.3,151.8
152,153,153,Matt Kuchar,94,174.3,11855.3,68,187.8,153.1
153,154,154,Michael Connell,76,174.1,11664.0,67,190.2,148.6
154,T155,T155,Jason Bohn,74,174.0,11134.2,64,195.2,146.0
155,T155,T155,Dean Wilson,62,174.0,8004.4,46,187.5,151.4
156,T155,T155,Mark Wilson,89,174.0,12877.6,74,185.1,159.0
157,158,158,Jason Dufner,78,173.8,9907.9,57,187.8,153.1
158,159,159,Colt Knost,80,172.7,9668.8,56,186.2,159.4
159,160,160,Tim Petrovic,88,172.2,11536.5,67,187.2,141.1
160,161,161,Jim Furyk,87,172.1,10672.5,62,191.9,144.6
161,162,162,Alex Cejka,59,171.9,7048.6,41,181.1,154.9
162,163,163,Aron Price,58,171.8,7041.9,41,182.8,157.2
163,164,164,Matt McQuillan,59,171.7,6009.3,35,186.1,138.2
164,165,165,Nate Smith,66,171.6,7723.6,45,182.6,147.3
165,166,166,Justin Leonard,82,171.5,9430.7,55,189.0,139.7
166,T167,T167,Ben Curtis,66,171.4,9599.8,56,184.5,153.1
167,T167,T167,Steve Elkington,50,171.4,5826.0,34,184.0,147.6
168,169,169,Steve Flesch,88,171.0,10257.5,60,192.1,146.0
169,T170,T170,Justin Hicks,60,170.9,6492.5,38,187.7,153.8
170,T170,T170,Rocco Mediate,53,170.9,7176.3,42,199.6,155.4
171,172,172,Chris DiMarco,93,170.7,12119.0,71,188.4,137.6
172,173,173,Brian Davis,105,170.4,14140.1,83,182.1,153.1
173,T174,T174,Richard Johnson,64,170.3,7834.1,46,192.8,151.6
174,T174,T174,Chris Riley,76,170.3,9193.6,54,186.6,143.5
175,176,176,Heath Slocum,89,169.8,12056.4,71,186.1,149.7
176,177,177,Arjun Atwal,91,169.4,11689.6,69,187.1,143.5
177,178,178,Garrett Willis,71,169.3,7280.2,43,183.5,152.8
178,179,179,Jerry Kelly,85,168.3,10941.7,65,179.2,151.9
179,180,180,Zach Johnson,79,168.2,10930.6,65,181.6,142.6
180,181,181,J.P. Hayes,56,167.5,6533.2,39,185.7,133.5
181,182,182,Paul Goydos,81,165.6,10100.9,61,178.9,148.4
182,183,183,David Toms,78,164.0,9181.3,56,176.7,149.7
183,184,184,Shane Bertsch,62,162.2,6811.8,42,177.2,139.1
184,185,185,Nick O'Hern,89,161.9,9552.2,59,182.8,133.6
185,186,186,Brian Gay,90,160.3,11057.7,69,178.0,142.8
