,Right_Rough_Tendency_RANK THIS WEEK,Right_Rough_Tendency_RANK LAST WEEK,Right_Rough_Tendency_PLAYER NAME,Right_Rough_Tendency_ROUNDS,Right_Rough_Tendency_%,Right_Rough_Tendency_TOTAL RIGHT ROUGH,Right_Rough_Tendency_POSSIBLE FWYS,Right_Rough_Tendency_RELATIVE TO PAR
0,1,1,Ben Curtis,66,7.75,67,865,+0.07
1,2,2,Billy Horschel,75,9.64,83,861,+0.19
2,3,3,Jason Bohn,74,9.83,92,936,+0.25
3,4,4,Joe Durant,71,10.08,89,883,+0.13
4,5,5,Garrett Willis,71,10.16,90,886,+0.20
5,6,6,Heath Slocum,89,10.17,105,1032,+0.15
6,7,7,Michael Connell,76,10.36,104,1004,+0.27
7,8,8,Paul Goydos,81,10.41,107,1028,+0.22
8,9,9,Nick O'Hern,89,10.43,110,1055,+0.14
9,10,10,Justin Hicks,60,10.6,65,613,+0.37
10,11,11,Chris Riley,76,10.72,101,942,+0.12
11,12,12,Kevin Stadler,88,10.77,108,1003,+0.01
12,13,13,Graeme McDowell,50,11.24,58,516,-0.09
13,14,14,Luke Donald,73,11.4,82,719,-0.05
14,15,15,Jerry Kelly,85,11.44,108,944,+0.28
15,16,16,Zach Johnson,79,11.56,103,891,+0.10
16,17,17,Rod Pampling,72,11.62,97,835,+0.11
17,18,18,Brian Gay,90,11.63,119,1023,+0.20
18,19,19,Davis Love III,70,11.67,84,720,+0.04
19,20,20,Jim Furyk,87,11.79,115,975,+0.12
20,21,21,Adam Scott,60,11.9,75,630,+0.05
21,22,22,Ian Poulter,52,11.93,65,545,-0.03
22,23,23,Rich Beem,53,12.06,76,630,+0.21
23,24,24,J.J. Henry,96,12.14,133,1096,+0.16
24,25,25,Vaughn Taylor,89,12.18,140,1149,+0.04
25,26,26,Bill Haas,93,12.22,122,998,+0.02
26,27,27,Billy Mayfair,94,12.28,145,1181,+0.08
27,28,28,Steve Elkington,50,12.52,73,583,+0.25
28,29,29,Lucas Glover,74,12.56,106,844,+0.19
29,30,30,Alex Cejka,59,12.58,81,644,-0.04
30,31,31,Woody Austin,59,12.61,87,690,+0.05
31,32,32,J.P. Hayes,56,12.65,84,664,+0.11
32,33,33,John Senden,94,12.69,142,1119,+0.14
33,34,34,Ben Crane,76,12.73,110,864,+0.07
34,T35,T35,Arjun Atwal,91,12.74,145,1138,+0.17
35,T35,T35,Shane Bertsch,62,12.74,92,722,+0.10
36,37,37,Richard Johnson,64,12.75,96,753,+0.22
37,T38,T38,Dean Wilson,62,12.8,100,781,+0.13
38,T38,T38,Y.E. Yang,63,12.8,74,578,+0.11
39,40,40,Brandt Snedeker,85,12.9,120,930,-0.02
40,41,41,Matt Kuchar,94,12.92,128,991,+0.16
41,42,42,Scott McCarron,65,12.95,97,749,+0.25
42,43,43,Rocco Mediate,53,12.97,87,671,+0.15
43,44,44,D.A. Points,89,12.98,133,1025,+0.03
44,45,45,Colt Knost,80,13.1,122,931,+0.20
45,46,46,Aron Price,58,13.13,89,678,+0.16
46,47,47,Stephen Ames,69,13.19,110,834,+0.05
47,48,48,Spencer Levin,113,13.22,172,1301,+0.06
48,49,49,Justin Leonard,82,13.32,136,1021,+0.11
49,50,50,Mark Wilson,89,13.33,129,968,+0.06
50,51,51,Tim Petrovic,88,13.34,141,1057,+0.14
51,52,52,Briny Baird,60,13.38,91,680,+0.12
52,53,53,Robert Allenby,84,13.4,130,970,+0.14
53,54,54,Webb Simpson,98,13.41,154,1148,+0.08
54,T55,T55,Lee Janzen,62,13.46,93,691,+0.18
55,T55,T55,Johnson Wagner,81,13.46,131,973,+0.15
56,57,57,Chris DiMarco,93,13.47,153,1136,+0.12
57,58,58,Hunter Mahan,92,13.49,143,1060,+0.08
58,59,59,Steve Stricker,70,13.51,100,740,-0.03
59,60,60,Brendan Steele,89,13.53,144,1064,+0.25
60,61,61,David Toms,78,13.55,111,819,-0.01
61,T62,T62,Brendon de Jonge,105,13.58,173,1274,+0.03
62,T62,T62,Chez Reavie,92,13.58,155,1141,+0.15
63,64,64,Kent Jones,76,13.7,127,927,+0.19
64,65,65,Carl Pettersson,95,13.78,172,1248,+0.08
65,66,66,Padraig Harrington,60,13.79,84,609,-0.06
66,T67,T67,Chad Campbell,99,13.84,166,1199,+0.08
67,T67,T67,Hunter Haas,96,13.84,163,1178,+0.07
