,Rough_Tendency_RANK THIS WEEK,Rough_Tendency_RANK LAST WEEK,Rough_Tendency_PLAYER NAME,Rough_Tendency_ROUNDS,Rough_Tendency_%,Rough_Tendency_TOTAL ROUGH,Rough_Tendency_POSSIBLE FWYS,Rough_Tendency_RELATIVE TO PAR
0,1,1,Joe Durant,71,18.91,167,883,+2.04
1,2,2,Ben Curtis,66,20.12,174,865,+0.92
2,3,3,Heath Slocum,89,20.16,208,1032,+1.44
3,4,4,Steve Elkington,50,20.58,120,583,+1.83
4,5,5,Brian Gay,90,21.21,217,1023,+1.24
5,6,6,Jerry Kelly,85,21.5,203,944,+1.82
6,7,7,Nick O'Hern,89,21.52,227,1055,+1.41
7,8,8,Chris Riley,76,21.66,204,942,+1.67
8,9,9,Brian Davis,105,22.5,286,1271,+1.22
9,10,10,Zach Johnson,79,22.56,201,891,+0.95
10,11,11,Ben Crane,76,22.57,195,864,+0.51
11,12,12,David Toms,78,22.71,186,819,+0.22
12,13,13,Rod Pampling,72,23.35,195,835,+1.28
13,14,14,Aron Price,58,23.45,159,678,+1.95
14,T15,T15,Justin Hicks,60,23.49,144,613,+2.85
15,T15,T15,Ian Poulter,52,23.49,128,545,+0.39
16,17,17,Paul Goydos,81,23.54,242,1028,+1.49
17,18,18,Billy Mayfair,94,23.79,281,1181,+0.82
18,19,19,Graeme McDowell,50,23.84,123,516,+0.16
19,20,20,Rocco Mediate,53,23.85,160,671,+1.88
20,21,21,Mark Wilson,89,23.86,231,968,+1.00
21,22,22,Billy Horschel,75,24.04,207,861,+1.45
22,23,23,Adam Scott,60,24.29,153,630,+0.65
23,24,24,Chris DiMarco,93,24.38,277,1136,+1.12
24,25,25,Bryce Molder,82,24.46,239,977,+0.67
25,26,26,Jim Furyk,87,24.51,239,975,+1.63
26,27,27,Alex Cejka,59,24.53,158,644,+0.06
27,28,28,John Senden,94,24.58,275,1119,+1.20
28,29,29,Michael Connell,76,24.6,247,1004,+1.70
29,30,30,Brendan Steele,89,24.72,263,1064,+1.94
30,31,31,John Rollins,85,24.75,245,990,+0.90
31,32,32,Shane Bertsch,62,24.79,179,722,+0.89
32,33,33,Briny Baird,60,24.85,169,680,+0.89
33,34,34,Chad Campbell,99,25.02,300,1199,+1.07
34,35,35,John Merrick,71,25.06,209,834,+1.77
35,36,36,Woody Austin,59,25.07,173,690,+1.04
36,T37,T37,Jason Bohn,74,25.11,235,936,+1.66
37,T37,T37,Chris Couch,73,25.11,233,928,-0.30
38,39,39,Kent Jones,76,25.13,233,927,+1.85
39,40,40,David Mathis,83,25.18,245,973,+0.90
40,41,41,Blake Adams,116,25.24,367,1454,+1.23
41,42,42,Stephen Ames,69,25.3,211,834,+0.57
42,43,43,Rich Beem,53,25.4,160,630,+2.00
43,44,44,Garrett Willis,71,25.51,226,886,+1.86
44,45,45,Luke Donald,73,25.59,184,719,+0.11
45,46,46,J.P. Hayes,56,25.6,170,664,+0.76
46,47,47,Chez Reavie,92,25.68,293,1141,+1.37
47,48,48,Ben Martin,74,25.72,231,898,+1.69
48,49,49,Colt Knost,80,25.89,241,931,+1.99
49,50,50,Justin Leonard,82,25.95,265,1021,+1.32
50,51,51,Brandt Jobe,100,25.96,291,1121,+0.65
51,52,52,J.J. Henry,96,26.09,286,1096,+1.15
52,53,53,Boo Weekley,66,26.14,207,792,+1.35
53,54,54,Tim Petrovic,88,26.21,277,1057,+1.52
54,55,55,Jason Dufner,78,26.5,239,902,+0.92
55,56,56,Brendon de Jonge,105,26.53,338,1274,+0.47
56,57,57,D.A. Points,89,26.54,272,1025,+1.21
57,58,58,Hunter Mahan,92,26.6,282,1060,+0.64
58,59,59,Kris Blanks,92,26.67,304,1140,+1.15
59,60,60,Kevin Stadler,88,26.72,268,1003,+1.23
60,61,61,Andres Gonzales,60,26.78,169,631,+1.36
61,62,62,Davis Love III,70,26.81,193,720,+0.10
62,63,63,Kevin Streelman,90,27.02,267,988,+0.71
63,64,64,Johnson Wagner,81,27.03,263,973,+1.48
64,65,65,Hunter Haas,96,27.16,320,1178,+0.97
65,66,66,Justin Rose,79,27.22,239,878,+0.67
66,67,67,Vaughn Taylor,89,27.24,313,1149,+0.93
67,68,68,Robert Allenby,84,27.42,266,970,+0.90
68,69,69,Bill Haas,93,27.56,275,998,+0.40
69,70,70,Matt McQuillan,59,27.59,184,667,+1.68
70,71,71,Bo Van Pelt,92,27.6,273,989,+0.88
71,72,72,Matt Kuchar,94,27.65,274,991,+0.88
72,73,73,Daniel Summerhays,75,27.7,251,906,+2.63
73,74,74,Josh Teater,104,27.99,356,1272,+1.32
74,75,75,Richard Johnson,64,28.02,211,753,+1.71
75,76,76,Dean Wilson,62,28.04,219,781,+1.64
76,77,77,Pat Perez,76,28.13,272,967,+0.88
77,78,78,Brandt Snedeker,85,28.17,262,930,-0.08
78,79,79,Tom Gillis,55,28.18,197,699,+1.98
79,80,80,Freddie Jacobson,92,28.22,274,971,+0.99
80,81,81,Charley Hoffman,93,28.46,290,1019,+0.24
81,82,82,David Hearn,88,28.49,300,1053,+1.37
82,83,83,Will Strickler,51,28.52,168,589,+2.26
83,T84,T84,Ryan Moore,79,28.55,237,830,+1.65
84,T84,T84,Alexandre Rocha,65,28.55,195,683,+2.26
85,T86,T86,Scott McCarron,65,28.57,214,749,+1.40
86,T86,T86,Nate Smith,66,28.57,210,735,+2.52
87,88,88,Troy Merritt,63,28.61,224,783,+2.28
88,89,89,Cameron Tringale,110,28.68,384,1339,+0.89
89,90,90,Webb Simpson,98,28.75,330,1148,+0.64
90,91,91,Carl Pettersson,95,28.77,359,1248,+0.78
91,92,92,Lucas Glover,74,28.79,243,844,+1.48
92,93,93,Cameron Beckman,71,28.8,252,875,+0.99
93,94,94,Spencer Levin,113,28.9,376,1301,+0.69
94,T95,T95,Trevor Immelman,84,28.96,267,922,+0.11
95,T95,T95,Marc Turnesa,54,28.96,183,632,+0.98
96,T97,T97,K.J. Choi,77,29.07,234,805,+1.20
97,T97,T97,Y.E. Yang,63,29.07,168,578,+0.65
98,99,99,Lee Janzen,62,29.09,201,691,+2.14
99,100,100,Geoff Ogilvy,69,29.26,218,745,+0.37
100,101,101,Michael Thompson,79,29.28,277,946,+1.16
101,102,102,Charlie Wi,83,29.31,311,1061,+0.93
102,103,103,Sung Kang,63,29.36,207,705,+1.40
103,104,104,Fabián Gómez,84,29.39,278,946,+1.40
104,105,105,Steve Stricker,70,29.46,218,740,-0.55
105,106,106,Andres Romero,77,29.47,275,933,+1.53
106,107,107,Jeff Overton,92,29.52,297,1006,+1.35
107,108,108,Greg Chalmers,88,29.53,321,1087,+0.93
108,109,109,Steve Flesch,88,29.56,319,1079,+1.41
109,110,110,Kyle Stanley,98,29.57,325,1099,+0.25
110,111,111,Ernie Els,71,29.61,244,824,+1.39
111,112,112,Bill Lunde,92,29.68,317,1068,+1.29
112,113,113,Steve Marino,76,29.79,255,856,+0.31
113,114,114,William McGirt,103,29.82,379,1271,+0.69
114,115,115,Sergio Garcia,61,30.0,186,620,+0.86
115,116,116,Roland Thatcher,67,30.07,252,838,+1.27
116,117,117,Tommy Gainey,104,30.1,378,1256,+0.63
117,118,118,Keegan Bradley,91,30.15,319,1058,+1.91
118,119,119,Vijay Singh,79,30.18,297,984,+0.57
119,120,120,Jonathan Byrd,83,30.26,302,998,+0.63
120,121,121,Stewart Cink,72,30.37,215,708,-0.09
121,122,122,Jim Renner,65,30.41,222,730,+1.40
122,T123,T123,Retief Goosen,50,30.42,167,549,+1.38
123,T123,T123,Kevin Kisner,70,30.42,240,789,+1.54
124,125,125,Ryuji Imada,83,30.43,321,1055,+1.25
