,Back_9_Scoring_Average_RANK THIS WEEK,Back_9_Scoring_Average_RANK LAST WEEK,Back_9_Scoring_Average_PLAYER NAME,Back_9_Scoring_Average_ROUNDS,Back_9_Scoring_Average_AVG,Back_9_Scoring_Average_TOTAL STROKES,Back_9_Scoring_Average_TOTAL HOLES
0,1,1,Steve Stricker,73,34.94,2516,72
1,2,2,Matt Kuchar,97,34.95,3320,95
2,3,3,Paul Stankowski,62,34.97,2168,62
3,4,4,Dustin Johnson,83,35.0,2870,82
4,5,5,Charley Hoffman,85,35.02,2977,85
5,6,6,Jim Furyk,76,35.05,2594,74
6,T7,T7,Joe Durant,67,35.06,2349,67
7,T7,T7,Justin Rose,78,35.06,2735,78
8,9,9,Charles Howell III,103,35.07,3612,103
9,10,10,Charlie Wi,95,35.08,3333,95
10,11,11,Aron Price,70,35.13,2459,70
11,12,12,Bubba Watson,77,35.14,2706,77
12,13,13,Matt Every,60,35.15,2109,60
13,14,14,Webb Simpson,98,35.19,3449,98
14,15,15,Chris Riley,73,35.21,2570,73
15,T16,T16,Luke Donald,71,35.22,2395,68
16,T16,T16,Spencer Levin,110,35.22,3874,110
17,18,18,Bo Van Pelt,104,35.23,3664,104
18,19,19,Kevin Na,94,35.24,3277,93
19,20,20,Brendon de Jonge,114,35.25,4019,114
20,21,21,J.B. Holmes,100,35.26,3526,100
21,T22,T22,Shaun Micheel,70,35.27,2469,70
22,T22,T22,Bryce Molder,84,35.27,2963,84
23,T24,T24,Steve Elkington,74,35.28,2611,74
24,T24,T24,John Rollins,81,35.28,2858,81
25,T26,T26,Jason Day,82,35.3,2895,82
26,T26,T26,Bill Haas,87,35.3,3071,87
27,T26,T26,Freddie Jacobson,83,35.3,2930,83
28,T26,T26,Troy Matteson,84,35.3,2965,84
29,T30,T30,Jonathan Byrd,85,35.31,3001,85
30,T30,T30,Chad Campbell,94,35.31,3284,93
31,T30,T30,Kevin Sutherland,86,35.31,3037,86
32,T30,T30,David Toms,86,35.31,3001,85
33,T30,T30,Dean Wilson,54,35.31,1907,54
34,35,35,Retief Goosen,75,35.32,2508,71
35,36,36,D.J. Trahan,92,35.33,3250,92
36,T37,T37,K.J. Choi,82,35.34,2898,82
37,T37,T37,Chris DiMarco,88,35.34,3110,88
38,T37,T37,Rickie Fowler,98,35.34,3463,98
39,T37,T37,Tom Gillis,97,35.34,3428,97
40,T37,T37,J.P. Hayes,79,35.34,2792,79
41,T37,T37,Ryuji Imada,90,35.34,3181,90
42,T43,T43,Tim Clark,88,35.35,3005,85
43,T43,T43,Michael Letzig,84,35.35,2969,84
44,T45,T45,Robert Allenby,76,35.36,2617,74
45,T45,T45,Pat Perez,90,35.36,3182,90
46,T45,T45,Kevin Streelman,90,35.36,3182,90
47,T48,T48,Matt Jones,89,35.37,3148,89
48,T48,T48,Brandt Snedeker,89,35.37,3148,89
49,T50,T50,Ricky Barnes,103,35.38,3644,103
50,T50,T50,Michael Connell,89,35.38,3149,89
51,T50,T50,James Driscoll,78,35.38,2760,78
52,T50,T50,Nick Watney,91,35.38,3113,88
53,T54,T54,Stephen Ames,75,35.39,2619,74
54,T54,T54,Ben Crane,85,35.39,2902,82
55,T54,T54,John Senden,103,35.39,3645,103
56,T57,T57,Graham DeLaet,88,35.4,3115,88
57,T57,T57,Carl Pettersson,99,35.4,3505,99
58,T57,T57,Alex Prugh,88,35.4,3115,88
59,T57,T57,Jeff Quinney,91,35.4,3221,91
60,T61,T61,Ryan Moore,80,35.41,2797,79
61,T61,T61,Heath Slocum,97,35.41,3435,97
62,T61,T61,Jay Williamson,76,35.41,2691,76
63,64,64,Johnson Wagner,85,35.42,3011,85
64,T65,T65,Briny Baird,87,35.43,3082,87
65,T65,T65,George McNeill,79,35.43,2799,79
66,T65,T65,Geoff Ogilvy,62,35.43,2126,60
67,68,68,Boo Weekley,88,35.44,3119,88
68,69,69,Mark Wilson,87,35.45,3084,87
69,T70,T70,Chad Collins,87,35.46,3085,87
70,T70,T70,Ernie Els,72,35.46,2482,70
71,T72,T72,Paul Casey,64,35.47,2057,58
72,T72,T72,Vijay Singh,75,35.47,2625,74
73,T72,T72,Vaughn Taylor,87,35.47,3086,87
74,T75,T75,Kris Blanks,91,35.48,3229,91
75,T75,T75,Robert Garrigus,71,35.48,2519,71
76,T75,T75,Jeff Overton,89,35.48,3158,89
77,78,78,Michael Sim,64,35.49,2236,63
78,T79,T79,Chris Couch,66,35.5,2343,66
79,T79,T79,Phil Mickelson,76,35.5,2698,76
80,T79,T79,Scott Piercy,88,35.5,3124,88
81,T82,T82,Aaron Baddeley,94,35.51,3338,94
82,T82,T82,Brian Gay,101,35.51,3480,98
83,T82,T82,Lee Janzen,77,35.51,2734,77
84,T82,T82,Andres Romero,73,35.51,2592,73
85,T86,T86,Justin Leonard,89,35.52,3126,88
86,T86,T86,Jarrod Lyle,54,35.52,1918,54
87,88,88,Woody Austin,93,35.53,3304,93
88,T89,T89,Ryan Palmer,84,35.54,2985,84
89,T89,T89,Jeev Milkha Singh,59,35.54,1990,56
90,T91,T91,Stewart Cink,84,35.55,2844,80
91,T91,T91,Martin Laird,91,35.55,3235,91
92,T93,T93,Billy Mayfair,78,35.56,2774,78
93,T93,T93,Chris Stroud,90,35.56,3200,90
94,T93,T93,Charles Warren,64,35.56,2276,64
95,T96,T96,Will MacKenzie,72,35.57,2561,72
96,T96,T96,Troy Merritt,86,35.57,3059,86
97,T96,T96,Brett Wetterich,54,35.57,1921,54
98,T99,T99,Sean O'Hair,84,35.59,2918,82
99,T99,T99,Tom Pernice Jr.,74,35.59,2634,74
100,T99,T99,Tim Petrovic,105,35.59,3737,105
101,T102,T102,Alex Cejka,81,35.6,2884,81
102,T102,T102,Scott McCarron,90,35.6,3204,90
103,T104,T104,Blake Adams,84,35.62,2992,84
104,T104,T104,Lucas Glover,75,35.62,2636,74
105,T104,T104,Josh Teater,101,35.62,3598,101
106,T104,T104,Cameron Tringale,55,35.62,1959,55
107,T108,T108,Padraig Harrington,57,35.63,1995,56
108,T108,T108,Kevin Stadler,86,35.63,3064,86
109,T108,T108,Camilo Villegas,78,35.63,2565,72
110,T111,T111,Trevor Immelman,55,35.65,1961,55
111,T111,T111,Jerry Kelly,99,35.65,3529,99
112,T111,T111,Hunter Mahan,85,35.65,2995,84
113,T111,T111,Brett Quigley,96,35.65,3422,96
114,T115,T115,Greg Chalmers,93,35.66,3316,93
115,T115,T115,Adam Scott,70,35.66,2425,68
116,T115,T115,Garrett Willis,82,35.66,2924,82
117,T118,T118,Zach Johnson,93,35.67,3246,91
118,T118,T118,Skip Kendall,58,35.67,2069,58
119,T120,T120,Jason Bohn,84,35.68,2997,84
120,T120,T120,D.A. Points,90,35.68,3211,90
121,T120,T120,Chris Tidland,77,35.68,2747,77
122,T123,T123,Rocco Mediate,71,35.69,2534,71
123,T123,T123,Omar Uresti,74,35.69,2641,74
124,T125,T125,Bob Estes,79,35.7,2820,79
125,T125,T125,Brenden Pappas,66,35.7,2356,66
126,T127,T127,Marc Leishman,87,35.71,3107,87
127,T127,T127,John Merrick,109,35.71,3892,109
128,T127,T127,James Nitties,92,35.71,3285,92
129,T127,T127,Joe Ogilvie,99,35.71,3535,99
130,T131,T131,Ben Curtis,78,35.72,2786,78
131,T131,T131,J.J. Henry,92,35.72,3286,92
132,T131,T131,Cliff Kresge,50,35.72,1786,50
133,T131,T131,Jimmy Walker,82,35.72,2929,82
134,T135,T135,Michael Bradley,77,35.73,2751,77
135,T135,T135,John Daly,63,35.73,2251,63
136,T137,T137,Richard Johnson,90,35.74,3217,90
137,T137,T137,Cameron Percy,73,35.74,2609,73
138,139,139,Cameron Beckman,68,35.75,2431,68
139,T140,T140,Mathew Goggin,85,35.76,3040,85
140,T140,T140,Davis Love III,79,35.76,2825,79
141,T140,T140,Jeff Maggert,76,35.76,2718,76
142,T143,T143,Jason Dufner,87,35.77,3112,87
143,T143,T143,Tim Herron,79,35.77,2826,79
144,T143,T143,Rory Sabbatini,79,35.77,2790,78
145,146,146,Henrik Bjornstad,72,35.79,2577,72
146,T147,T147,Stuart Appleby,101,35.81,3617,101
147,T147,T147,Paul Goydos,78,35.81,2793,78
148,T147,T147,Rod Pampling,77,35.81,2757,77
149,T150,T150,Brian Davis,101,35.87,3623,101
150,T150,T150,Kenny Perry,69,35.87,2439,68
151,152,152,Derek Lamely,81,35.88,2906,81
152,T153,T153,Rory McIlroy,54,35.9,1867,52
153,T153,T153,Brian Stuard,81,35.9,2908,81
154,T155,T155,Martin Flores,75,35.92,2694,75
155,T155,T155,Nathan Green,86,35.92,3089,86
156,T155,T155,John Mallinger,78,35.92,2802,78
157,T158,T158,Ángel Cabrera,64,35.94,2264,63
158,T158,T158,David Duval,71,35.94,2552,71
159,160,160,Nicholas Thompson,88,35.98,3166,88
160,T161,T161,Matt Bettencourt,91,35.99,3275,91
161,T161,T161,Ted Purdy,86,35.99,3095,86
162,163,163,Bill Lunde,79,36.03,2846,79
163,T164,T164,Brent Delahoussaye,57,36.04,2054,57
164,T164,T164,Sergio Garcia,58,36.04,1874,52
165,T164,T164,Steve Marino,81,36.04,2919,81
166,T164,T164,Scott Verplank,74,36.04,2631,73
167,T168,T168,Mark Calcavecchia,50,36.06,1803,50
168,T168,T168,Andrew McLardy,52,36.06,1875,52
169,T168,T168,Roland Thatcher,72,36.06,2596,72
170,T171,T171,Steve Lowery,67,36.07,2417,67
171,T171,T171,Vance Veazey,58,36.07,2092,58
172,T171,T171,Y.E. Yang,72,36.07,2525,70
173,T174,T174,Mathias Grönberg,61,36.08,2201,61
174,T174,T174,Garth Mulroy,53,36.08,1912,53
175,T176,T176,David Lutterus,69,36.09,2490,69
176,T176,T176,Roger Tambellini,77,36.09,2779,77
177,178,178,Greg Owen,69,36.1,2491,69
178,179,179,Steve Flesch,78,36.13,2818,78
179,180,180,Mike Weir,59,36.16,2061,57
180,181,181,Rich Barcelo,70,36.17,2532,70
181,182,182,Ian Poulter,55,36.2,1774,49
182,183,183,Chris Wilson,65,36.25,2356,65
183,T184,T184,Daniel Chopra,74,36.3,2686,74
184,T184,T184,Jerod Turner,54,36.3,1960,54
185,186,186,Steve Wheatcroft,74,36.36,2691,74
186,187,187,Greg Kraft,52,36.42,1894,52
187,188,188,Justin Bolli,55,36.45,2005,55
188,189,189,Jeff Gove,57,36.49,2080,57
189,190,190,Kevin Johnson,62,36.63,2271,62
190,T191,T191,Craig Bowden,56,36.64,2052,56
191,T191,T191,Brad Faxon,58,36.64,2125,58
