,Bogey_Average_RANK THIS WEEK,Bogey_Average_RANK LAST WEEK,Bogey_Average_PLAYER NAME,Bogey_Average_EVENTS,Bogey_Average_AVERAGE BOGEYS PER ROUND,Bogey_Average_TOTAL BOGEYS,Bogey_Average_ROUNDS PLAYED
0,1,1,Charles Howell III,28,1.94,200,103
1,2,2,Kevin Sutherland,25,2.01,173,86
2,3,3,Dean Wilson,18,2.02,109,54
3,4,4,Steve Elkington,22,2.08,154,74
4,5,5,Matt Kuchar,26,2.09,199,95
5,6,6,Retief Goosen,19,2.13,151,71
6,7,7,Charlie Wi,27,2.15,204,95
7,8,8,Brian Gay,30,2.17,213,98
8,9,9,Steve Stricker,19,2.18,157,72
9,T10,T10,Greg Chalmers,27,2.19,204,93
10,T10,T10,Luke Donald,20,2.19,149,68
11,T10,T10,Tom Pernice Jr.,22,2.19,162,74
12,T13,T13,Paul Casey,17,2.21,128,58
13,T13,T13,Mark Wilson,28,2.21,192,87
14,T15,T15,Jonathan Byrd,26,2.22,189,85
15,T15,T15,Chris Riley,24,2.22,162,73
16,T17,T17,Freddie Jacobson,24,2.25,187,83
17,T17,T17,Kevin Na,26,2.25,209,93
18,T19,T19,K.J. Choi,22,2.27,186,82
19,T19,T19,Tim Clark,24,2.27,193,85
20,T21,T21,Chad Collins,26,2.28,198,87
21,T21,T21,Chris DiMarco,25,2.28,201,88
22,T21,T21,Richard Johnson,27,2.28,205,90
23,T24,T24,Ernie Els,20,2.31,162,70
24,T24,T24,Jim Furyk,21,2.31,171,74
25,T24,T24,Pat Perez,27,2.31,208,90
26,T24,T24,Omar Uresti,27,2.31,171,74
27,T24,T24,Bo Van Pelt,28,2.31,240,104
28,T29,T29,Spencer Levin,31,2.32,255,110
29,T29,T29,Heath Slocum,25,2.32,225,97
30,T31,T31,Carl Pettersson,29,2.33,231,99
31,T31,T31,Boo Weekley,27,2.33,205,88
32,T33,T33,Joe Durant,19,2.34,157,67
33,T33,T33,J.J. Henry,27,2.34,215,92
34,T33,T33,Ryan Moore,24,2.34,185,79
35,T33,T33,John Senden,30,2.34,241,103
36,T37,T37,Jason Bohn,25,2.36,198,84
37,T37,T37,Rickie Fowler,28,2.36,231,98
38,T39,T39,Briny Baird,28,2.37,206,87
39,T39,T39,Matt Jones,27,2.37,211,89
40,T41,T41,Michael Bradley,24,2.38,183,77
41,T41,T41,Justin Rose,22,2.38,186,78
42,T41,T41,David Toms,25,2.38,202,85
43,44,44,Graham DeLaet,28,2.39,210,88
44,45,45,Will MacKenzie,23,2.4,173,72
45,T46,T46,Aron Price,22,2.41,169,70
46,T46,T46,Jeev Milkha Singh,19,2.41,135,56
47,T48,T48,Brendon de Jonge,32,2.42,276,114
48,T48,T48,Bob Estes,26,2.42,191,79
49,T48,T48,Brett Quigley,29,2.42,232,96
50,51,51,Vaughn Taylor,26,2.43,211,87
51,52,52,Chad Campbell,28,2.44,227,93
52,T53,T53,Stephen Ames,23,2.45,181,74
53,T53,T53,John Merrick,31,2.45,267,109
54,T53,T53,Kevin Stadler,28,2.45,211,86
55,56,56,Ben Curtis,24,2.46,192,78
56,57,57,Zach Johnson,25,2.47,225,91
57,T58,T58,Scott McCarron,29,2.48,223,90
58,T58,T58,James Nitties,30,2.48,228,92
59,T58,T58,Michael Sim,20,2.48,156,63
60,T61,T61,Charley Hoffman,24,2.49,212,85
61,T61,T61,Jay Williamson,24,2.49,189,76
62,T63,T63,Ricky Barnes,28,2.5,258,103
63,T63,T63,James Driscoll,26,2.5,195,78
