,First_Tee_Early_Round_5_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Round_5_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Round_5_Scoring_Average_PLAYER NAME,First_Tee_Early_Round_5_Scoring_Average_AVG,First_Tee_Early_Round_5_Scoring_Average_TOTAL STROKES,First_Tee_Early_Round_5_Scoring_Average_TOTAL ROUNDS
0,T1,T1,Matt Jones,66.0,66,1
1,T1,T1,Kevin Na,66.0,66,1
2,T1,T1,Kevin Sutherland,66.0,66,1
3,T4,T4,Graham DeLaet,67.0,67,1
4,T4,T4,Charles Howell III,67.0,67,1
5,T6,T6,Jason Bohn,68.0,68,1
6,T6,T6,Jason Dufner,68.0,68,1
7,T6,T6,George McNeill,68.0,68,1
8,T6,T6,Kevin Stadler,68.0,68,1
9,T10,T10,J.P. Hayes,69.0,69,1
10,T10,T10,Heath Slocum,69.0,69,1
11,T10,T10,Garrett Willis,69.0,69,1
12,T13,T13,Carl Pettersson,70.0,70,1
13,T13,T13,John Senden,70.0,70,1
14,T15,T15,Matt Bettencourt,71.0,71,1
15,T15,T15,Jeff Overton,71.0,71,1
16,T15,T15,Webb Simpson,71.0,71,1
17,T18,T18,Chris DiMarco,72.0,72,1
18,T18,T18,Ryan Palmer,72.0,72,1
19,20,20,Ben Crane,73.0,73,1
20,21,21,Paul Goydos,80.0,80,1
