,Early_Round_3_Scoring_Average_RANK THIS WEEK,Early_Round_3_Scoring_Average_RANK LAST WEEK,Early_Round_3_Scoring_Average_PLAYER NAME,Early_Round_3_Scoring_Average_AVG,Early_Round_3_Scoring_Average_TOTAL STROKES,Early_Round_3_Scoring_Average_TOTAL ROUNDS
0,1,1,Steve Elkington,67.17,403,6
1,2,2,Aron Price,67.67,203,3
2,3,3,Vijay Singh,67.71,474,7
3,4,4,Graham DeLaet,67.75,542,8
4,5,5,Michael Letzig,68.38,547,8
5,6,6,Charles Warren,68.4,342,5
6,7,7,Pat Perez,68.44,616,9
7,T8,T8,Greg Chalmers,68.5,411,6
8,T8,T8,Adam Scott,68.5,274,4
9,10,10,Rocco Mediate,68.57,480,7
10,11,11,Brandt Snedeker,68.6,686,10
11,12,12,Chris Riley,68.71,481,7
12,13,13,Alex Prugh,68.75,550,8
13,T14,T14,Joe Durant,68.83,413,6
14,T14,T14,Geoff Ogilvy,68.83,413,6
15,T14,T14,Cameron Percy,68.83,413,6
16,17,17,Mathew Goggin,68.89,620,9
17,T18,T18,Matt Kuchar,69.0,483,7
18,T18,T18,Brenden Pappas,69.0,414,6
19,T18,T18,Jeev Milkha Singh,69.0,483,7
20,T18,T18,Dean Wilson,69.0,276,4
21,22,22,Derek Lamely,69.1,691,10
22,23,23,Paul Stankowski,69.13,553,8
23,24,24,Brett Wetterich,69.17,415,6
24,T25,T25,Paul Casey,69.2,346,5
25,T25,T25,Roland Thatcher,69.2,346,5
26,27,27,Brendon de Jonge,69.21,969,14
27,28,28,Luke Donald,69.25,277,4
28,T29,T29,Dustin Johnson,69.33,416,6
29,T29,T29,Rory McIlroy,69.33,416,6
30,T31,T31,Rich Barcelo,69.4,347,5
31,T31,T31,Ángel Cabrera,69.4,347,5
32,33,33,Martin Flores,69.43,486,7
33,34,34,Boo Weekley,69.44,625,9
34,35,35,J.B. Holmes,69.46,903,13
35,T36,T36,Cameron Beckman,69.5,278,4
36,T36,T36,Mark Calcavecchia,69.5,417,6
37,T36,T36,Jason Day,69.5,556,8
38,T36,T36,Kevin Na,69.5,695,10
39,T36,T36,Charlie Wi,69.5,695,10
40,41,41,Chris DiMarco,69.54,904,13
41,42,42,Stewart Cink,69.55,765,11
42,43,43,Kevin Stadler,69.56,626,9
43,T44,T44,Will MacKenzie,69.63,557,8
44,T44,T44,Y.E. Yang,69.63,557,8
45,T46,T46,Carl Pettersson,69.67,627,9
46,T46,T46,Chris Tidland,69.67,627,9
47,T48,T48,Joe Ogilvie,69.7,697,10
48,T48,T48,Tom Pernice Jr.,69.7,697,10
49,50,50,Ricky Barnes,69.73,767,11
50,T51,T51,Chris Couch,69.75,279,4
51,T51,T51,Kevin Johnson,69.75,279,4
52,T51,T51,Garth Mulroy,69.75,279,4
53,T51,T51,John Rollins,69.75,558,8
54,T51,T51,Nick Watney,69.75,837,12
55,56,56,Freddie Jacobson,69.79,977,14
56,T57,T57,Michael Bradley,69.8,698,10
57,T57,T57,Justin Leonard,69.8,698,10
58,T57,T57,Jarrod Lyle,69.8,349,5
59,T57,T57,Bo Van Pelt,69.8,698,10
60,T61,T61,Bill Haas,69.83,419,6
61,T61,T61,Jeff Maggert,69.83,419,6
62,T63,T63,Scott McCarron,69.86,489,7
63,T63,T63,Brian Stuard,69.86,489,7
64,65,65,Steve Marino,69.88,559,8
65,66,66,Troy Merritt,69.91,769,11
66,T67,T67,Chad Collins,70.0,770,11
67,T67,T67,Jim Furyk,70.0,490,7
68,T67,T67,Charley Hoffman,70.0,420,6
69,T67,T67,Marc Leishman,70.0,630,9
70,T67,T67,George McNeill,70.0,210,3
71,T67,T67,Phil Mickelson,70.0,490,7
72,T67,T67,Jeff Quinney,70.0,630,9
73,T67,T67,Kevin Sutherland,70.0,700,10
74,T67,T67,Scott Verplank,70.0,770,11
