,Scoring_Average_Before_Cut_RANK THIS WEEK,Scoring_Average_Before_Cut_RANK LAST WEEK,Scoring_Average_Before_Cut_PLAYER NAME,Scoring_Average_Before_Cut_AVG,Scoring_Average_Before_Cut_TOTAL STROKES,Scoring_Average_Before_Cut_TOTAL ROUNDS
0,1,1,Joe Durant,69.48,2779,40
1,2,2,Matt Kuchar,69.5,3614,52
2,3,3,Charley Hoffman,69.53,3546,51
3,4,4,Steve Stricker,69.64,2507,36
4,5,5,Spencer Levin,69.71,4392,63
5,6,6,Chris DiMarco,69.72,3486,50
6,7,7,Charlie Wi,69.75,3836,55
7,8,8,Dustin Johnson,69.76,3139,45
8,9,9,Phil Mickelson,69.8,2862,41
9,10,10,Retief Goosen,69.84,2584,37
10,11,11,Steve Elkington,69.87,3214,46
11,12,12,Dean Wilson,69.89,2516,36
12,13,13,J.B. Holmes,69.94,3707,53
13,T14,T14,Tom Pernice Jr.,69.96,3148,45
14,T14,T14,Justin Rose,69.96,3218,46
15,T16,T16,K.J. Choi,69.98,3149,45
16,T16,T16,Charles Howell III,69.98,4059,58
17,T16,T16,Ryuji Imada,69.98,4129,59
18,19,19,Paul Casey,70.0,2240,32
19,20,20,Bo Van Pelt,70.02,4131,59
20,T21,T21,Jason Day,70.06,3293,47
21,T21,T21,Paul Stankowski,70.06,2522,36
22,23,23,Matt Jones,70.07,3994,57
23,24,24,Kevin Sutherland,70.08,3714,53
24,25,25,Tim Clark,70.1,3435,49
25,26,26,D.J. Trahan,70.11,3996,57
26,27,27,David Toms,70.12,3506,50
27,T28,T28,Chad Campbell,70.13,3857,55
28,T28,T28,Kevin Na,70.13,3717,53
29,T28,T28,Jeff Overton,70.13,3787,54
30,31,31,Brendon de Jonge,70.15,4700,67
31,T32,T32,Tom Gillis,70.16,3999,57
32,T32,T32,Garrett Willis,70.16,3578,51
33,34,34,Bubba Watson,70.17,3228,46
34,35,35,Pat Perez,70.18,3930,56
35,T36,T36,Jonathan Byrd,70.19,3720,53
36,T36,T36,Chad Collins,70.19,3790,54
37,T36,T36,Bill Haas,70.19,3650,52
38,T36,T36,J.P. Hayes,70.19,3720,53
39,40,40,Greg Chalmers,70.21,4002,57
40,T41,T41,Robert Allenby,70.23,2809,40
41,T41,T41,Zach Johnson,70.23,3371,48
42,43,43,Shaun Micheel,70.24,2950,42
43,T44,T44,Carl Pettersson,70.25,4215,60
44,T44,T44,Brett Quigley,70.25,4215,60
45,T44,T44,Brandt Snedeker,70.25,3864,55
46,47,47,Luke Donald,70.26,2740,39
47,T48,T48,Ricky Barnes,70.29,4147,59
48,T48,T48,Jim Furyk,70.29,2882,41
49,50,50,John Senden,70.3,4429,63
50,T51,T51,Matt Every,70.31,2742,39
51,T51,T51,Jay Williamson,70.31,3586,51
52,T53,T53,Graham DeLaet,70.32,4149,59
53,T53,T53,Bryce Molder,70.32,3727,53
54,T53,T53,Heath Slocum,70.32,3727,53
55,56,56,John Merrick,70.33,4501,64
56,57,57,Aron Price,70.34,3095,44
57,58,58,Rickie Fowler,70.39,4153,59
58,T59,T59,Michael Connell,70.41,3591,51
59,T59,T59,Kevin Streelman,70.41,4084,58
60,T61,T61,Freddie Jacobson,70.46,3523,50
61,T61,T61,Boo Weekley,70.46,3946,56
62,T63,T63,Ben Crane,70.47,3312,47
63,T63,T63,Tim Herron,70.47,3453,49
64,T65,T65,Brian Gay,70.48,4299,61
65,T65,T65,Ryan Moore,70.48,3383,48
66,67,67,Chris Riley,70.49,3454,49
67,68,68,Andres Romero,70.5,2961,42
68,T69,T69,Briny Baird,70.51,4019,57
69,T69,T69,Alex Prugh,70.51,4160,59
70,T71,T71,Aaron Baddeley,70.53,3738,53
71,T71,T71,Ernie Els,70.53,2680,38
72,T71,T71,Lee Janzen,70.53,3879,55
73,T71,T71,Michael Letzig,70.53,3738,53
74,T71,T71,Hunter Mahan,70.53,3456,49
75,T71,T71,Jeev Milkha Singh,70.53,2539,36
76,T71,T71,Camilo Villegas,70.53,2680,38
77,78,78,Webb Simpson,70.54,4585,65
78,79,79,Jason Bohn,70.55,3739,53
79,80,80,Cliff Kresge,70.56,2399,34
80,81,81,Jeff Quinney,70.57,4305,61
81,82,82,Robert Garrigus,70.59,3106,44
82,T83,T83,Stephen Ames,70.6,2965,42
83,T83,T83,J.J. Henry,70.6,3883,55
84,T83,T83,Jerry Kelly,70.6,4024,57
85,86,86,Nick Watney,70.62,3319,47
86,87,87,Justin Leonard,70.63,3814,54
87,T88,T88,Chris Couch,70.64,3320,47
88,T88,T88,Lucas Glover,70.64,3108,44
89,T88,T88,Jarrod Lyle,70.64,2543,36
90,T91,T91,John Rollins,70.65,3674,52
91,T91,T91,Vaughn Taylor,70.65,3886,55
92,93,93,Richard Johnson,70.66,3957,56
93,94,94,Chris Tidland,70.67,3463,49
94,95,95,Kevin Stadler,70.68,3958,56
95,T96,T96,Paul Goydos,70.69,3676,52
96,T96,T96,Padraig Harrington,70.69,2474,35
