,Total_Eagles_RANK THIS WEEK,Total_Eagles_RANK LAST WEEK,Total_Eagles_PLAYER NAME,Total_Eagles_ROUNDS,Total_Eagles_TOTAL
0,1,1,Matt Bettencourt,91,17.0
1,2,2,Dustin Johnson,83,16.0
2,T3,T3,J.B. Holmes,100,14.0
3,T3,T3,Martin Laird,91,14.0
4,T5,T5,Aaron Baddeley,94,13.0
5,T5,T5,Bubba Watson,77,13.0
6,T7,T7,Davis Love III,79,12.0
7,T7,T7,Phil Mickelson,76,12.0
8,T7,T7,Scott Piercy,88,12.0
9,T10,T10,Brendon de Jonge,114,11.0
10,T10,T10,Rickie Fowler,98,11.0
11,T10,T10,Adam Scott,70,11.0
12,T10,T10,D.J. Trahan,92,11.0
13,T14,T14,Ricky Barnes,103,10.0
14,T14,T14,Charley Hoffman,85,10.0
15,T14,T14,Richard Johnson,90,10.0
16,T14,T14,Matt Jones,89,10.0
17,T14,T14,Michael Letzig,84,10.0
18,T14,T14,Hunter Mahan,85,10.0
19,T14,T14,Alex Prugh,88,10.0
20,T14,T14,Andres Romero,73,10.0
21,T14,T14,Kevin Stadler,86,10.0
22,T14,T14,Kevin Sutherland,86,10.0
23,T14,T14,Josh Teater,101,10.0
24,T14,T14,Nick Watney,91,10.0
25,T26,T26,Robert Allenby,76,9.0
26,T26,T26,Woody Austin,93,9.0
27,T26,T26,John Daly,63,9.0
28,T26,T26,Jason Dufner,87,9.0
29,T26,T26,Tom Gillis,97,9.0
30,T26,T26,Bill Haas,87,9.0
31,T26,T26,Charles Howell III,103,9.0
32,T26,T26,Matt Kuchar,97,9.0
33,T26,T26,Derek Lamely,81,9.0
34,T26,T26,Bill Lunde,79,9.0
35,T26,T26,Billy Mayfair,78,9.0
36,T26,T26,Scott McCarron,90,9.0
37,T26,T26,Rocco Mediate,71,9.0
38,T26,T26,Sean O'Hair,84,9.0
39,T26,T26,Joe Ogilvie,99,9.0
40,T26,T26,Jeff Overton,89,9.0
41,T26,T26,Kenny Perry,69,9.0
42,T26,T26,Carl Pettersson,99,9.0
43,T26,T26,Charles Warren,64,9.0
44,T45,T45,Stewart Cink,84,8.0
45,T45,T45,Michael Connell,89,8.0
46,T45,T45,Ben Crane,85,8.0
47,T45,T45,Steve Flesch,78,8.0
48,T45,T45,George McNeill,79,8.0
49,T45,T45,James Nitties,92,8.0
50,T45,T45,Rod Pampling,77,8.0
51,T45,T45,John Rollins,81,8.0
52,T45,T45,Webb Simpson,98,8.0
53,T45,T45,Vijay Singh,75,8.0
54,T45,T45,Boo Weekley,88,8.0
55,T56,T56,Stuart Appleby,101,7.0
56,T56,T56,Rich Barcelo,70,7.0
57,T56,T56,Paul Casey,64,7.0
58,T56,T56,Alex Cejka,81,7.0
59,T56,T56,Chad Collins,87,7.0
60,T56,T56,Chris Couch,66,7.0
61,T56,T56,James Driscoll,78,7.0
62,T56,T56,Lucas Glover,75,7.0
63,T56,T56,Mathew Goggin,85,7.0
64,T56,T56,J.J. Henry,92,7.0
65,T56,T56,Jerry Kelly,99,7.0
66,T56,T56,Troy Merritt,86,7.0
67,T56,T56,Brandt Snedeker,89,7.0
68,T69,T69,Blake Adams,84,6.0
69,T69,T69,Jason Bohn,84,6.0
70,T69,T69,Jonathan Byrd,85,6.0
71,T69,T69,Greg Chalmers,93,6.0
72,T69,T69,K.J. Choi,82,6.0
73,T69,T69,Brian Davis,101,6.0
74,T69,T69,Joe Durant,67,6.0
75,T69,T69,J.P. Hayes,79,6.0
76,T69,T69,Lee Janzen,77,6.0
77,T69,T69,Steve Marino,81,6.0
78,T69,T69,Troy Matteson,84,6.0
79,T69,T69,Rory McIlroy,54,6.0
80,T69,T69,John Merrick,109,6.0
81,T69,T69,Ryan Moore,80,6.0
82,T69,T69,Garth Mulroy,53,6.0
83,T69,T69,Ryan Palmer,84,6.0
84,T69,T69,D.A. Points,90,6.0
85,T69,T69,Brett Quigley,96,6.0
86,T69,T69,Kevin Streelman,90,6.0
87,T69,T69,Vaughn Taylor,87,6.0
88,T69,T69,Nicholas Thompson,88,6.0
89,T69,T69,Bo Van Pelt,104,6.0
90,T69,T69,Camilo Villegas,78,6.0
91,T69,T69,Johnson Wagner,85,6.0
92,T69,T69,Mike Weir,59,6.0
93,T94,T94,Briny Baird,87,5.0
94,T94,T94,Chad Campbell,94,5.0
95,T94,T94,Daniel Chopra,74,5.0
96,T94,T94,Tim Clark,88,5.0
97,T94,T94,Jason Day,82,5.0
98,T94,T94,Graham DeLaet,88,5.0
99,T94,T94,Chris DiMarco,88,5.0
100,T94,T94,Steve Elkington,74,5.0
101,T94,T94,Martin Flores,75,5.0
102,T94,T94,Robert Garrigus,71,5.0
103,T94,T94,Nathan Green,86,5.0
104,T94,T94,Padraig Harrington,57,5.0
105,T94,T94,Justin Leonard,89,5.0
106,T94,T94,Will MacKenzie,72,5.0
107,T94,T94,Jeff Maggert,76,5.0
108,T94,T94,John Mallinger,78,5.0
109,T94,T94,Kevin Na,94,5.0
110,T94,T94,Tom Pernice Jr.,74,5.0
111,T94,T94,Aron Price,70,5.0
112,T94,T94,Chris Riley,73,5.0
113,T94,T94,Rory Sabbatini,79,5.0
114,T94,T94,John Senden,103,5.0
115,T94,T94,Steve Stricker,73,5.0
116,T94,T94,Cameron Tringale,55,5.0
117,T94,T94,Jimmy Walker,82,5.0
118,T94,T94,Charlie Wi,95,5.0
119,T94,T94,Jay Williamson,76,5.0
120,T94,T94,Garrett Willis,82,5.0
121,T122,T122,Stephen Ames,75,4.0
122,T122,T122,Henrik Bjornstad,72,4.0
123,T122,T122,Ángel Cabrera,64,4.0
124,T122,T122,Mark Calcavecchia,50,4.0
125,T122,T122,Brian Gay,101,4.0
126,T122,T122,Retief Goosen,75,4.0
127,T122,T122,Paul Goydos,78,4.0
128,T122,T122,Tim Herron,79,4.0
129,T122,T122,Ryuji Imada,90,4.0
130,T122,T122,Trevor Immelman,55,4.0
131,T122,T122,Kevin Johnson,62,4.0
132,T122,T122,Cliff Kresge,50,4.0
133,T122,T122,Marc Leishman,87,4.0
134,T122,T122,Steve Lowery,67,4.0
135,T122,T122,David Lutterus,69,4.0
