,Back_9_Round_3_Scoring_Average_RANK THIS WEEK,Back_9_Round_3_Scoring_Average_RANK LAST WEEK,Back_9_Round_3_Scoring_Average_PLAYER NAME,Back_9_Round_3_Scoring_Average_AVG,Back_9_Round_3_Scoring_Average_TOTAL STROKES,Back_9_Round_3_Scoring_Average_TOTAL ROUNDS
0,1,1,Boo Weekley,34.12,580,17
1,2,2,Bill Haas,34.17,615,18
2,3,3,Charles Warren,34.18,376,11
3,4,4,Aron Price,34.23,445,13
4,5,5,Brandt Snedeker,34.28,617,18
5,6,6,Jeev Milkha Singh,34.3,343,10
6,7,7,Paul Stankowski,34.31,446,13
7,8,8,Joe Durant,34.43,482,14
8,T9,T9,Graham DeLaet,34.44,551,16
9,T9,T9,Brenden Pappas,34.44,310,9
10,T11,T11,Blake Adams,34.5,552,16
11,T11,T11,John Daly,34.5,483,14
12,T11,T11,Andrew McLardy,34.5,207,6
13,14,14,Nick Watney,34.57,726,21
14,15,15,Luke Donald,34.6,519,15
15,16,16,Tim Clark,34.63,658,19
16,17,17,Brendon de Jonge,34.64,866,25
17,18,18,Jim Furyk,34.65,589,17
18,19,19,Troy Merritt,34.67,520,15
19,20,20,Dustin Johnson,34.68,659,19
20,21,21,Troy Matteson,34.71,486,14
21,22,22,Webb Simpson,34.72,625,18
22,T23,T23,Chris Couch,34.73,382,11
23,T23,T23,Steve Elkington,34.73,521,15
24,T25,T25,Jeff Maggert,34.75,417,12
25,T25,T25,Bryce Molder,34.75,556,16
26,27,27,Rickie Fowler,34.76,730,21
27,28,28,Will MacKenzie,34.79,487,14
28,T29,T29,Justin Bolli,34.8,174,5
29,T29,T29,Ryan Palmer,34.8,522,15
30,T31,T31,Scott McCarron,34.81,557,16
31,T31,T31,D.A. Points,34.81,557,16
32,T33,T33,Rocco Mediate,34.83,418,12
33,T33,T33,Cameron Percy,34.83,418,12
34,T33,T33,Cameron Tringale,34.83,209,6
35,T36,T36,Justin Rose,34.88,593,17
36,T36,T36,Bubba Watson,34.88,558,16
37,T38,T38,K.J. Choi,34.89,663,19
38,T38,T38,Justin Leonard,34.89,628,18
39,T38,T38,Steve Stricker,34.89,628,18
40,41,41,Michael Connell,34.9,698,20
41,42,42,Skip Kendall,34.91,384,11
42,43,43,Michael Sim,34.92,419,12
43,44,44,Derek Lamely,34.93,489,14
44,T45,T45,Chad Collins,34.94,629,18
45,T45,T45,Kevin Streelman,34.94,594,17
46,T45,T45,Kevin Sutherland,34.94,629,18
47,48,48,J.B. Holmes,34.96,839,24
48,T49,T49,Henrik Bjornstad,35.0,350,10
49,T49,T49,Lee Janzen,35.0,455,13
50,T49,T49,Michael Letzig,35.0,560,16
51,T49,T49,Tom Pernice Jr.,35.0,560,16
