,Late_Round_5_Scoring_Average_RANK THIS WEEK,Late_Round_5_Scoring_Average_RANK LAST WEEK,Late_Round_5_Scoring_Average_PLAYER NAME,Late_Round_5_Scoring_Average_AVG,Late_Round_5_Scoring_Average_TOTAL STROKES,Late_Round_5_Scoring_Average_TOTAL ROUNDS
0,1,1,Matt Kuchar,63.0,63,1
1,2,2,Bill Haas,64.0,64,1
2,3,3,Tim Clark,65.0,65,1
3,T4,T4,Chris Couch,66.0,66,1
4,T4,T4,Joe Durant,66.0,66,1
5,T4,T4,D.J. Trahan,66.0,66,1
6,T4,T4,Bubba Watson,66.0,66,1
7,T4,T4,Mike Weir,66.0,66,1
8,T9,T9,Alex Prugh,67.0,67,1
9,T9,T9,Vaughn Taylor,67.0,67,1
10,T11,T11,Chad Collins,68.0,68,1
11,T11,T11,Brian Davis,68.0,68,1
12,T11,T11,Brandt Snedeker,68.0,68,1
13,T11,T11,Josh Teater,68.0,68,1
14,T11,T11,Chris Wilson,68.0,68,1
15,T16,T16,Steve Elkington,69.0,69,1
16,T16,T16,Tom Gillis,69.0,69,1
17,T16,T16,Richard Johnson,69.0,69,1
18,T16,T16,Billy Mayfair,69.0,69,1
19,T16,T16,Ryan Moore,69.0,69,1
20,T21,T21,Bob Estes,70.0,70,1
21,T21,T21,Michael Sim,70.0,70,1
22,T21,T21,Kevin Streelman,70.0,70,1
23,T24,T24,John Merrick,71.0,71,1
24,T24,T24,Brenden Pappas,71.0,71,1
25,T24,T24,Omar Uresti,71.0,71,1
26,T27,T27,Martin Flores,72.0,72,1
27,T27,T27,Greg Owen,72.0,72,1
28,29,29,Joe Ogilvie,74.0,74,1
