,Birdie_or_Better_Percentage_RANK THIS WEEK,Birdie_or_Better_Percentage_RANK LAST WEEK,Birdie_or_Better_Percentage_PLAYER NAME,Birdie_or_Better_Percentage_ROUNDS,Birdie_or_Better_Percentage_%,Birdie_or_Better_Percentage_TOTAL BIRDIES,Birdie_or_Better_Percentage_TOTAL HOLES,Birdie_or_Better_Percentage_GIR RANK
0,1,1,Tom Gillis,97,23.08,403,1746,131
1,2,2,Dustin Johnson,83,22.97,339,1476,70
2,3,3,Nick Watney,91,22.92,363,1584,30
3,4,4,Chris Couch,66,22.9,272,1188,114
4,5,5,Bubba Watson,77,22.8,316,1386,55
5,6,6,Charley Hoffman,85,22.61,346,1530,112
6,7,7,Paul Stankowski,62,22.58,252,1116,9
7,8,8,Matt Kuchar,97,22.57,386,1710,34
8,9,9,Phil Mickelson,76,22.51,308,1368,155
9,10,10,Matt Every,60,22.5,243,1080,162
10,T11,T11,Paul Casey,64,22.22,232,1044,48
11,T11,T11,Kevin Streelman,90,22.22,360,1620,104
12,13,13,Ryan Palmer,84,22.16,335,1512,145
13,14,14,Rory Sabbatini,79,22.01,309,1404,101
14,15,15,Steve Stricker,73,21.99,285,1296,60
15,16,16,Scott Piercy,88,21.97,348,1584,82
16,17,17,J.B. Holmes,100,21.94,395,1800,144
17,18,18,Pat Perez,90,21.91,355,1620,43
18,19,19,Geoff Ogilvy,62,21.85,236,1080,83
19,20,20,D.J. Trahan,92,21.8,361,1656,7
20,21,21,Graham DeLaet,88,21.78,345,1584,6
21,22,22,Bo Van Pelt,104,21.74,407,1872,37
22,23,23,Charles Warren,64,21.7,250,1152,4
23,24,24,Brandt Snedeker,89,21.66,347,1602,182
24,25,25,Justin Rose,78,21.65,304,1404,119
25,26,26,Kevin Stadler,86,21.64,335,1548,70
26,27,27,Aaron Baddeley,94,21.63,366,1692,164
27,28,28,Ben Crane,85,21.61,319,1476,63
28,29,29,Robert Garrigus,71,21.6,276,1278,86
29,30,30,Jeff Overton,89,21.47,344,1602,96
30,31,31,Brendon de Jonge,114,21.44,440,2052,17
31,T32,T32,Robert Allenby,76,21.4,285,1332,67
32,T32,T32,John Rollins,81,21.4,312,1458,66
33,34,34,Steve Marino,81,21.33,311,1458,88
34,35,35,Troy Merritt,86,21.32,330,1548,145
35,36,36,George McNeill,79,21.31,303,1422,128
36,37,37,Ernie Els,72,21.27,268,1260,75
37,38,38,John Daly,63,21.25,241,1134,142
38,39,39,Matt Jones,89,21.22,340,1602,151
39,40,40,Alex Prugh,88,21.21,336,1584,53
40,41,41,Bill Haas,87,21.2,332,1566,21
41,42,42,Zach Johnson,93,21.18,347,1638,111
42,43,43,Lucas Glover,75,21.17,282,1332,90
43,44,44,Kevin Na,94,21.15,354,1674,137
44,45,45,Vaughn Taylor,87,21.14,331,1566,59
45,46,46,Retief Goosen,75,21.13,270,1278,133
46,47,47,Adam Scott,70,21.08,258,1224,31
47,48,48,Jeff Quinney,91,21.06,345,1638,148
48,49,49,David Toms,86,21.05,322,1530,87
49,T50,T50,J.P. Hayes,79,21.03,299,1422,130
50,T50,T50,Michael Letzig,84,21.03,318,1512,72
51,T52,T52,Aron Price,70,20.95,264,1260,10
52,T52,T52,Y.E. Yang,72,20.95,264,1260,134
53,54,54,Webb Simpson,98,20.92,369,1764,121
54,55,55,Garrett Willis,82,20.87,308,1476,24
55,56,56,Stewart Cink,84,20.83,300,1440,52
56,57,57,Ryan Moore,80,20.82,296,1422,104
57,58,58,Jason Day,82,20.73,306,1476,84
58,59,59,Jonathan Byrd,85,20.72,317,1530,20
59,60,60,Henrik Bjornstad,72,20.68,268,1296,38
60,T61,T61,Rickie Fowler,98,20.63,364,1764,22
61,T61,T61,Bryce Molder,84,20.63,312,1512,152
62,63,63,Spencer Levin,110,20.61,408,1980,23
63,64,64,Ricky Barnes,103,20.6,382,1854,62
64,65,65,Paul Goydos,78,20.58,289,1404,134
65,T66,T66,K.J. Choi,82,20.53,303,1476,56
66,T66,T66,James Nitties,92,20.53,340,1656,116
67,T66,T66,Jimmy Walker,82,20.53,303,1476,138
68,T69,T69,Jason Bohn,84,20.5,310,1512,79
69,T69,T69,Vijay Singh,75,20.5,273,1332,51
70,T71,T71,Joe Durant,67,20.48,247,1206,3
71,T71,T71,Freddie Jacobson,83,20.48,306,1494,78
72,73,73,Brett Wetterich,54,20.47,199,972,68
73,T74,T74,Mark Calcavecchia,50,20.44,184,900,145
74,T74,T74,Martin Flores,75,20.44,276,1350,161
75,76,76,Jim Furyk,76,20.42,272,1332,93
76,77,77,Chris Stroud,90,20.37,330,1620,36
77,78,78,Charlie Wi,95,20.35,348,1710,110
