,Late_Round_2_Scoring_Average_RANK THIS WEEK,Late_Round_2_Scoring_Average_RANK LAST WEEK,Late_Round_2_Scoring_Average_PLAYER NAME,Late_Round_2_Scoring_Average_AVG,Late_Round_2_Scoring_Average_TOTAL STROKES,Late_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Steve Stricker,68.4,342,5
1,T2,T2,Joe Durant,69.0,690,10
2,T2,T2,Steve Elkington,69.0,621,9
3,4,4,Spencer Levin,69.08,898,13
4,5,5,Ben Crane,69.14,484,7
5,6,6,Brendon de Jonge,69.22,1246,18
6,7,7,Shaun Micheel,69.3,693,10
7,8,8,Jason Bohn,69.36,763,11
8,T9,T9,Jonathan Byrd,69.58,835,12
9,T9,T9,Michael Connell,69.58,835,12
10,11,11,D.A. Points,69.64,975,14
11,12,12,Johnson Wagner,69.65,1184,17
12,T13,T13,Jason Day,69.67,836,12
13,T13,T13,Justin Rose,69.67,836,12
14,15,15,Billy Mayfair,69.71,976,14
15,T16,T16,Jeff Overton,69.73,767,11
16,T16,T16,Brandt Snedeker,69.73,767,11
17,T18,T18,Aaron Baddeley,69.75,837,12
18,T18,T18,Bill Haas,69.75,837,12
19,T20,T20,Phil Mickelson,69.8,698,10
20,T20,T20,Paul Stankowski,69.8,698,10
21,T22,T22,Ryuji Imada,69.85,908,13
22,T22,T22,John Rollins,69.85,908,13
23,24,24,Chad Campbell,69.86,978,14
24,25,25,J.J. Henry,69.91,769,11
25,26,26,Robert Garrigus,69.92,839,12
26,27,27,J.B. Holmes,69.93,979,14
27,T28,T28,Rickie Fowler,70.0,1120,16
28,T28,T28,J.P. Hayes,70.0,840,12
29,T28,T28,Dustin Johnson,70.0,560,8
30,T28,T28,Bill Lunde,70.0,700,10
31,T28,T28,Greg Owen,70.0,840,12
32,T28,T28,Scott Piercy,70.0,910,13
33,T28,T28,Kevin Sutherland,70.0,840,12
34,T28,T28,Chris Tidland,70.0,770,11
35,36,36,Matt Kuchar,70.06,1191,17
36,37,37,Ben Curtis,70.09,771,11
37,T38,T38,Charley Hoffman,70.1,701,10
38,T38,T38,Kevin Na,70.1,701,10
39,40,40,Cliff Kresge,70.13,561,8
40,41,41,Tom Pernice Jr.,70.15,912,13
41,T42,T42,Justin Leonard,70.2,1053,15
42,T42,T42,Kenny Perry,70.2,702,10
43,44,44,D.J. Trahan,70.21,983,14
44,45,45,Graham DeLaet,70.23,913,13
45,T46,T46,Jarrod Lyle,70.25,562,8
46,T46,T46,Brett Quigley,70.25,843,12
47,T46,T46,Dean Wilson,70.25,562,8
48,T49,T49,Charles Howell III,70.27,1054,15
49,T49,T49,Geoff Ogilvy,70.27,773,11
50,T51,T51,Chad Collins,70.29,1195,17
51,T51,T51,Troy Matteson,70.29,984,14
52,T53,T53,Greg Chalmers,70.33,844,12
53,T53,T53,Nathan Green,70.33,1055,15
54,T53,T53,Richard Johnson,70.33,1055,15
55,T53,T53,James Nitties,70.33,1055,15
56,T57,T57,Jerry Kelly,70.36,985,14
57,T57,T57,Andres Romero,70.36,774,11
58,T59,T59,Brenden Pappas,70.38,915,13
59,T59,T59,Pat Perez,70.38,915,13
60,61,61,Tom Gillis,70.42,845,12
61,T62,T62,David Duval,70.43,986,14
62,T62,T62,Tim Petrovic,70.43,986,14
63,T62,T62,Adam Scott,70.43,493,7
64,T65,T65,Brian Gay,70.44,1127,16
65,T65,T65,Retief Goosen,70.44,634,9
66,T65,T65,Charlie Wi,70.44,634,9
67,T68,T68,Chris Couch,70.45,775,11
68,T68,T68,Rocco Mediate,70.45,775,11
69,T68,T68,Bubba Watson,70.45,775,11
70,T71,T71,Robert Allenby,70.5,846,12
71,T71,T71,Omar Uresti,70.5,987,14
72,73,73,Jeev Milkha Singh,70.57,494,7
73,T74,T74,Ricky Barnes,70.58,847,12
74,T74,T74,Scott Verplank,70.58,847,12
75,76,76,James Driscoll,70.6,706,10
76,77,77,John Merrick,70.61,1271,18
77,78,78,Paul Goydos,70.62,918,13
78,79,79,Stewart Cink,70.64,777,11
79,T80,T80,Freddie Jacobson,70.67,848,12
80,T80,T80,Sean O'Hair,70.67,1060,15
81,T80,T80,Aron Price,70.67,636,9
82,T83,T83,Kevin Stadler,70.69,919,13
83,T83,T83,Vaughn Taylor,70.69,919,13
84,T85,T85,Bo Van Pelt,70.73,1061,15
85,T85,T85,Camilo Villegas,70.73,778,11
86,T85,T85,Jimmy Walker,70.73,778,11
87,T85,T85,Mark Wilson,70.73,1061,15
88,89,89,Zach Johnson,70.75,566,8
89,90,90,Martin Flores,70.76,1203,17
90,91,91,Carl Pettersson,70.77,920,13
91,92,92,Chris DiMarco,70.79,991,14
92,93,93,George McNeill,70.8,1062,15
93,T94,T94,Briny Baird,70.83,850,12
94,T94,T94,John Senden,70.83,850,12
95,96,96,Matt Every,70.89,638,9
96,97,97,Brett Wetterich,70.9,709,10
97,T98,T98,K.J. Choi,70.91,780,11
98,T98,T98,Luke Donald,70.91,780,11
99,T100,T100,Joe Ogilvie,70.93,993,14
100,T100,T100,Jay Williamson,70.93,993,14
101,102,102,Brian Davis,70.94,1135,16
102,T103,T103,Michael Bradley,71.0,710,10
103,T103,T103,Sergio Garcia,71.0,355,5
104,T103,T103,Lucas Glover,71.0,852,12
105,T103,T103,Chris Riley,71.0,1065,15
106,T103,T103,Vijay Singh,71.0,710,10
107,T103,T103,Boo Weekley,71.0,994,14
108,109,109,Stuart Appleby,71.05,1350,19
109,110,110,Bob Estes,71.07,995,14
110,T111,T111,Alex Cejka,71.08,853,12
111,T111,T111,Tim Clark,71.08,853,12
112,T111,T111,Alex Prugh,71.08,853,12
113,T111,T111,Nick Watney,71.08,924,13
114,T115,T115,Tim Herron,71.09,782,11
115,T115,T115,Jeff Maggert,71.09,782,11
116,T115,T115,Heath Slocum,71.09,782,11
117,T118,T118,Woody Austin,71.13,1138,16
118,T118,T118,Matt Jones,71.13,1067,15
119,T118,T118,Josh Teater,71.13,1138,16
120,121,121,Garrett Willis,71.18,783,11
121,122,122,Craig Bowden,71.2,712,10
122,123,123,Bryce Molder,71.21,997,14
123,124,124,Mathew Goggin,71.23,926,13
124,T125,T125,Will MacKenzie,71.25,855,12
125,T125,T125,Jeff Quinney,71.25,1140,16
126,127,127,Hunter Mahan,71.29,998,14
127,128,128,Trevor Immelman,71.3,713,10
128,T129,T129,David Lutterus,71.33,856,12
129,T129,T129,Kevin Streelman,71.33,856,12
130,T131,T131,Kris Blanks,71.44,643,9
131,T131,T131,Martin Laird,71.44,1143,16
132,T131,T131,Rod Pampling,71.44,1143,16
133,T134,T134,Rich Barcelo,71.5,715,10
134,T134,T134,Skip Kendall,71.5,572,8
135,136,136,Webb Simpson,71.53,1073,15
136,137,137,John Mallinger,71.54,930,13
137,T138,T138,Jim Furyk,71.55,787,11
138,T138,T138,Andrew McLardy,71.55,787,11
139,140,140,Marc Leishman,71.57,1002,14
140,141,141,Steve Flesch,71.58,859,12
141,142,142,Blake Adams,71.62,931,13
142,143,143,John Daly,71.63,573,8
143,T144,T144,Ryan Palmer,71.67,1075,15
144,T144,T144,Michael Sim,71.67,645,9
145,T146,T146,Cameron Beckman,71.69,932,13
146,T146,T146,Chris Stroud,71.69,932,13
147,148,148,Mathias Grönberg,71.7,717,10
148,149,149,Jeff Gove,71.73,789,11
149,150,150,Vance Veazey,71.75,861,12
