,First_Tee_Early_Round_3_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Round_3_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Round_3_Scoring_Average_PLAYER NAME,First_Tee_Early_Round_3_Scoring_Average_AVG,First_Tee_Early_Round_3_Scoring_Average_TOTAL STROKES,First_Tee_Early_Round_3_Scoring_Average_TOTAL ROUNDS
0,1,1,Joe Durant,66.33,199,3
1,2,2,Steve Elkington,67.17,403,6
2,3,3,Graham DeLaet,67.5,405,6
3,T4,T4,Rich Barcelo,67.67,203,3
4,T4,T4,Aron Price,67.67,203,3
5,T6,T6,J.P. Hayes,68.0,204,3
6,T6,T6,Vijay Singh,68.0,272,4
7,T6,T6,Paul Stankowski,68.0,340,5
8,9,9,Kevin Na,68.13,545,8
9,T10,T10,Geoff Ogilvy,68.2,341,5
10,T10,T10,Brenden Pappas,68.2,341,5
11,12,12,Chris Couch,68.33,205,3
12,T13,T13,Cameron Percy,68.4,342,5
13,T13,T13,Charles Warren,68.4,342,5
14,T15,T15,Greg Chalmers,68.5,411,6
15,T15,T15,Martin Flores,68.5,137,2
16,17,17,Rocco Mediate,68.57,480,7
17,T18,T18,Ricky Barnes,68.63,549,8
18,T18,T18,Pat Perez,68.63,549,8
19,20,20,Chris Riley,68.71,481,7
20,21,21,Bill Haas,68.75,275,4
21,22,22,Brandt Snedeker,68.78,619,9
22,23,23,Jeev Milkha Singh,68.8,344,5
23,24,24,Michael Letzig,68.83,413,6
24,25,25,Alex Prugh,68.86,482,7
25,26,26,Mathew Goggin,68.89,620,9
26,T27,T27,Paul Casey,69.0,276,4
27,T27,T27,Brendon de Jonge,69.0,897,13
28,T27,T27,Dean Wilson,69.0,276,4
29,30,30,J.B. Holmes,69.11,622,9
30,31,31,Johnson Wagner,69.14,484,7
31,T32,T32,Matt Kuchar,69.17,415,6
32,T32,T32,Kevin Sutherland,69.17,415,6
33,T32,T32,Brett Wetterich,69.17,415,6
34,T35,T35,Luke Donald,69.25,277,4
35,T35,T35,Boo Weekley,69.25,554,8
36,T37,T37,Dustin Johnson,69.33,416,6
37,T37,T37,Rory McIlroy,69.33,416,6
38,T37,T37,Nicholas Thompson,69.33,416,6
39,T40,T40,Ángel Cabrera,69.4,347,5
40,T40,T40,Jeff Maggert,69.4,347,5
41,T40,T40,Phil Mickelson,69.4,347,5
42,T43,T43,Kevin Streelman,69.43,486,7
43,T43,T43,Chris Tidland,69.43,486,7
44,45,45,Charlie Wi,69.44,625,9
45,T46,T46,Cameron Beckman,69.5,278,4
46,T46,T46,Jason Day,69.5,556,8
47,T46,T46,Joe Ogilvie,69.5,278,4
48,T46,T46,Carl Pettersson,69.5,556,8
49,T46,T46,Roland Thatcher,69.5,278,4
50,51,51,Chris DiMarco,69.54,904,13
51,52,52,Kevin Stadler,69.56,626,9
52,53,53,Y.E. Yang,69.57,487,7
53,54,54,Chad Collins,69.6,696,10
54,T55,T55,Marc Leishman,69.71,488,7
55,T55,T55,Will MacKenzie,69.71,488,7
56,T55,T55,Jeff Quinney,69.71,488,7
57,T55,T55,Justin Rose,69.71,488,7
58,T55,T55,Bo Van Pelt,69.71,488,7
59,60,60,Garth Mulroy,69.75,279,4
60,61,61,Scott Piercy,69.78,628,9
61,T62,T62,Michael Bradley,69.8,698,10
62,T62,T62,Stewart Cink,69.8,698,10
63,T62,T62,Tom Gillis,69.8,698,10
64,T62,T62,J.J. Henry,69.8,698,10
65,T62,T62,Jarrod Lyle,69.8,349,5
66,67,67,Derek Lamely,69.83,419,6
67,T68,T68,Briny Baird,69.86,489,7
68,T68,T68,Jerry Kelly,69.86,489,7
69,T68,T68,Scott McCarron,69.86,489,7
70,T68,T68,Brian Stuard,69.86,489,7
71,72,72,Rory Sabbatini,69.88,559,8
72,T73,T73,John Merrick,69.9,699,10
73,T73,T73,Heath Slocum,69.9,699,10
74,T73,T73,Nick Watney,69.9,699,10
75,T76,T76,Woody Austin,70.0,420,6
76,T76,T76,Craig Bowden,70.0,210,3
77,T76,T76,Rickie Fowler,70.0,490,7
78,T76,T76,Sergio Garcia,70.0,420,6
79,T76,T76,Charley Hoffman,70.0,210,3
80,T76,T76,Justin Leonard,70.0,630,9
81,T76,T76,Greg Owen,70.0,210,3
82,T76,T76,Tom Pernice Jr.,70.0,630,9
83,T84,T84,Ernie Els,70.13,561,8
84,T84,T84,Camilo Villegas,70.13,561,8
85,T86,T86,Henrik Bjornstad,70.14,491,7
86,T86,T86,James Nitties,70.14,491,7
87,88,88,Jim Furyk,70.17,421,6
88,T89,T89,Mark Calcavecchia,70.25,281,4
89,T89,T89,K.J. Choi,70.25,281,4
90,T89,T89,Spencer Levin,70.25,562,8
91,T89,T89,Omar Uresti,70.25,281,4
92,93,93,Freddie Jacobson,70.3,703,10
93,T94,T94,Cliff Kresge,70.33,211,3
94,T94,T94,Ryan Palmer,70.33,211,3
95,T94,T94,John Senden,70.33,422,6
96,T97,T97,Robert Garrigus,70.38,563,8
97,T97,T97,Vaughn Taylor,70.38,563,8
98,T99,T99,Tim Clark,70.4,704,10
99,T99,T99,Matt Every,70.4,352,5
100,T99,T99,Billy Mayfair,70.4,352,5
101,T99,T99,Jimmy Walker,70.4,352,5
102,T99,T99,Bubba Watson,70.4,352,5
103,T104,T104,Blake Adams,70.43,493,7
104,T104,T104,Steve Stricker,70.43,493,7
105,T106,T106,Kris Blanks,70.5,423,6
106,T106,T106,Lucas Glover,70.5,423,6
107,T106,T106,Troy Matteson,70.5,423,6
108,T106,T106,Ted Purdy,70.5,423,6
109,T106,T106,Cameron Tringale,70.5,141,2
110,111,111,Steve Marino,70.57,494,7
111,T112,T112,Jason Bohn,70.6,353,5
112,T112,T112,Paul Goydos,70.6,353,5
113,T112,T112,John Rollins,70.6,353,5
114,115,115,Jason Dufner,70.67,636,9
115,116,116,Stuart Appleby,70.7,707,10
116,T117,T117,Retief Goosen,70.71,495,7
117,T117,T117,Richard Johnson,70.71,495,7
118,119,119,Chad Campbell,70.75,849,12
119,T120,T120,Sean O'Hair,70.8,354,5
120,T120,T120,Webb Simpson,70.8,354,5
121,T122,T122,Charles Howell III,70.83,850,12
122,T122,T122,Bill Lunde,70.83,425,6
123,124,124,John Daly,70.86,496,7
124,125,125,Ryuji Imada,70.88,567,8
125,126,126,D.A. Points,70.89,638,9
126,127,127,Brian Gay,70.91,780,11
127,T128,T128,Matt Bettencourt,71.0,213,3
128,T128,T128,Steve Flesch,71.0,639,9
129,T128,T128,Jeff Gove,71.0,213,3
130,T128,T128,Padraig Harrington,71.0,213,3
131,T128,T128,Hunter Mahan,71.0,497,7
132,T128,T128,John Mallinger,71.0,213,3
133,T128,T128,Bryce Molder,71.0,284,4
134,T128,T128,Kenny Perry,71.0,497,7
135,T128,T128,Chris Stroud,71.0,426,6
136,T128,T128,Scott Verplank,71.0,568,8
137,T128,T128,Chris Wilson,71.0,71,1
138,139,139,Mark Wilson,71.11,640,9
139,T140,T140,Skip Kendall,71.14,498,7
140,T140,T140,Troy Merritt,71.14,498,7
141,T140,T140,Jay Williamson,71.14,498,7
142,T143,T143,Brian Davis,71.17,427,6
143,T143,T143,Bob Estes,71.17,427,6
144,T145,T145,Stephen Ames,71.2,356,5
145,T145,T145,Shaun Micheel,71.2,356,5
146,T147,T147,Mathias Grönberg,71.25,285,4
147,T147,T147,Lee Janzen,71.25,570,8
148,T147,T147,Rod Pampling,71.25,570,8
149,T147,T147,David Toms,71.25,570,8
150,151,151,Brett Quigley,71.3,713,10
151,T152,T152,David Duval,71.33,214,3
152,T152,T152,Kevin Johnson,71.33,214,3
153,T154,T154,Alex Cejka,71.4,357,5
154,T154,T154,Matt Jones,71.4,357,5
155,156,156,Martin Laird,71.43,500,7
156,T157,T157,James Driscoll,71.5,429,6
157,T157,T157,Davis Love III,71.5,429,6
158,T157,T157,Steve Lowery,71.5,286,4
159,T157,T157,George McNeill,71.5,143,2
160,T157,T157,Michael Sim,71.5,286,4
161,162,162,Michael Connell,71.56,644,9
162,T163,T163,Jonathan Byrd,71.6,358,5
163,T163,T163,Brent Delahoussaye,71.6,358,5
164,T163,T163,Zach Johnson,71.6,716,10
165,166,166,Jeff Overton,71.67,430,6
166,167,167,David Lutterus,71.71,502,7
167,168,168,Josh Teater,71.75,574,8
168,T169,T169,D.J. Trahan,71.8,359,5
169,T169,T169,Jerod Turner,71.8,359,5
170,171,171,Tim Petrovic,71.9,719,10
171,T172,T172,Brad Faxon,72.0,144,2
172,T172,T172,Greg Kraft,72.0,72,1
173,T172,T172,Andrew McLardy,72.0,144,2
174,T172,T172,Adam Scott,72.0,144,2
175,176,176,Ben Crane,72.17,433,6
176,177,177,Vance Veazey,72.2,361,5
177,178,178,Andres Romero,72.25,578,8
178,T179,T179,Daniel Chopra,72.33,217,3
179,T179,T179,Ryan Moore,72.33,434,6
180,181,181,Aaron Baddeley,72.44,652,9
181,182,182,Trevor Immelman,72.5,290,4
182,183,183,Ian Poulter,72.83,437,6
183,184,184,Garrett Willis,72.9,729,10
184,185,185,Robert Allenby,73.17,439,6
185,186,186,Ben Curtis,73.29,513,7
186,T187,T187,Tim Herron,73.33,440,6
187,T187,T187,Steve Wheatcroft,73.33,440,6
188,189,189,Roger Tambellini,73.67,221,3
189,190,190,Nathan Green,74.0,296,4
190,191,191,Mike Weir,74.33,223,3
