,Par_3_Scoring_Average_RANK THIS WEEK,Par_3_Scoring_Average_RANK LAST WEEK,Par_3_Scoring_Average_PLAYER NAME,Par_3_Scoring_Average_ROUNDS,Par_3_Scoring_Average_AVG,Par_3_Scoring_Average_TOTAL STROKES,Par_3_Scoring_Average_TOTAL HOLES
0,1,1,Paul Stankowski,62,2.94,736,250
1,T2,T2,Pat Perez,90,2.96,1074,363
2,T2,T2,Aron Price,70,2.96,835,282
3,T4,T4,David Duval,71,2.97,860,290
4,T4,T4,Michael Sim,64,2.97,743,250
5,T4,T4,David Toms,86,2.97,1026,346
6,T7,T7,Chad Campbell,94,2.98,1123,377
7,T7,T7,Spencer Levin,110,2.98,1340,449
8,T7,T7,Shaun Micheel,70,2.98,834,280
9,T7,T7,Jeff Overton,89,2.98,1050,352
10,T11,T11,Chad Collins,87,2.99,1058,354
11,T11,T11,Ryuji Imada,90,2.99,1092,365
12,T11,T11,Steve Stricker,73,2.99,837,280
13,T11,T11,Chris Tidland,77,2.99,924,309
14,T11,T11,Dean Wilson,54,2.99,658,220
15,T16,T16,Chris DiMarco,88,3.0,1089,363
16,T16,T16,Luke Donald,71,3.0,818,273
17,T16,T16,Tom Gillis,97,3.0,1184,395
18,T16,T16,Freddie Jacobson,83,3.0,1002,334
19,T16,T16,Zach Johnson,93,3.0,1065,355
20,T16,T16,Michael Letzig,84,3.0,1029,343
21,T16,T16,Heath Slocum,97,3.0,1144,381
22,T23,T23,Michael Bradley,77,3.01,926,308
23,T23,T23,Tim Clark,88,3.01,1034,343
24,T23,T23,Jason Day,82,3.01,977,325
25,T23,T23,Rickie Fowler,98,3.01,1174,390
26,T23,T23,John Mallinger,78,3.01,951,316
27,T23,T23,Kevin Na,94,3.01,1127,374
28,T23,T23,Mark Wilson,87,3.01,1055,351
29,T30,T30,Briny Baird,87,3.02,1071,355
30,T30,T30,Jason Bohn,84,3.02,1037,343
31,T30,T30,Greg Chalmers,93,3.02,1158,383
32,T30,T30,K.J. Choi,82,3.02,993,329
33,T30,T30,Brendon de Jonge,114,3.02,1412,467
34,T30,T30,Steve Elkington,74,3.02,928,307
35,T30,T30,Jim Furyk,76,3.02,898,297
36,T30,T30,J.P. Hayes,79,3.02,977,323
37,T30,T30,Matt Kuchar,97,3.02,1130,374
38,T30,T30,Derek Lamely,81,3.02,999,331
39,T30,T30,Marc Leishman,87,3.02,1030,341
40,T30,T30,John Senden,103,3.02,1242,411
41,T42,T42,Woody Austin,93,3.03,1150,380
42,T42,T42,Paul Casey,64,3.03,673,222
43,T42,T42,Nathan Green,86,3.03,1055,348
44,T42,T42,Bill Haas,87,3.03,1067,352
45,T42,T42,Charles Howell III,103,3.03,1279,422
46,T42,T42,Lee Janzen,77,3.03,957,316
47,T42,T42,Matt Jones,89,3.03,1105,365
48,T42,T42,Jerry Kelly,99,3.03,1195,394
49,T42,T42,Bill Lunde,79,3.03,985,325
50,T42,T42,Troy Merritt,86,3.03,1063,351
51,T42,T42,Sean O'Hair,84,3.03,973,321
52,T42,T42,Tom Pernice Jr.,74,3.03,883,291
53,T42,T42,Jeff Quinney,91,3.03,1136,375
54,T42,T42,Chris Riley,73,3.03,901,297
55,T42,T42,Justin Rose,78,3.03,947,313
56,T42,T42,Brandt Snedeker,89,3.03,1107,365
57,T42,T42,Garrett Willis,82,3.03,1011,334
58,T59,T59,Stephen Ames,75,3.04,912,300
59,T59,T59,Brian Davis,101,3.04,1251,412
60,T59,T59,Brian Gay,101,3.04,1187,391
61,T59,T59,Retief Goosen,75,3.04,855,281
62,T59,T59,Charley Hoffman,85,3.04,1052,346
63,T59,T59,Davis Love III,79,3.04,950,313
64,T59,T59,Jeff Maggert,76,3.04,941,310
65,T59,T59,Hunter Mahan,85,3.04,1012,333
66,T59,T59,Scott Piercy,88,3.04,1082,356
67,T59,T59,Josh Teater,101,3.04,1255,413
68,T59,T59,Jerod Turner,54,3.04,671,221
69,T59,T59,Jay Williamson,76,3.04,941,310
70,T71,T71,Ricky Barnes,103,3.05,1265,415
71,T71,T71,Kris Blanks,91,3.05,1130,370
72,T71,T71,Jonathan Byrd,85,3.05,1060,347
73,T71,T71,Brad Faxon,58,3.05,727,238
74,T71,T71,Dustin Johnson,83,3.05,972,319
75,T71,T71,George McNeill,79,3.05,964,316
76,T71,T71,Phil Mickelson,76,3.05,905,297
77,T71,T71,Bryce Molder,84,3.05,1045,343
78,T71,T71,Brenden Pappas,66,3.05,826,271
79,T71,T71,Alex Prugh,88,3.05,1096,359
80,T71,T71,Brett Quigley,96,3.05,1197,393
81,T71,T71,Webb Simpson,98,3.05,1231,403
82,T71,T71,Jeev Milkha Singh,59,3.05,701,230
83,T71,T71,Kevin Streelman,90,3.05,1112,365
84,T71,T71,Vaughn Taylor,87,3.05,1076,353
85,T71,T71,Charles Warren,64,3.05,787,258
86,T71,T71,Boo Weekley,88,3.05,1083,355
87,T71,T71,Charlie Wi,95,3.05,1186,389
