,Scoring_Average_Actual_RANK THIS WEEK,Scoring_Average_Actual_RANK LAST WEEK,Scoring_Average_Actual_PLAYER NAME,Scoring_Average_Actual_ROUNDS,Scoring_Average_Actual_AVG,Scoring_Average_Actual_TOTAL STROKES,Scoring_Average_Actual_TOTAL ROUNDS
0,1,1,Matt Kuchar,97,69.43,6596,95
1,2,2,Dean Wilson,54,69.69,3763,54
2,3,3,Steve Stricker,73,69.78,5024,72
3,4,4,Paul Stankowski,62,69.79,4327,62
4,5,5,Joe Durant,67,69.81,4677,67
5,6,6,Justin Rose,78,69.92,5454,78
6,T7,T7,Paul Casey,64,69.93,4056,58
7,T7,T7,Charley Hoffman,85,69.93,5944,85
8,T9,T9,Retief Goosen,75,69.96,4967,71
9,T9,T9,Charles Howell III,103,69.96,7206,103
10,11,11,Steve Elkington,74,70.03,5182,74
11,T12,T12,Kevin Na,94,70.04,6514,93
12,T12,T12,Pat Perez,90,70.04,6304,90
13,T12,T12,Chris Riley,73,70.04,5113,73
14,15,15,Charlie Wi,95,70.05,6655,95
15,T16,T16,Chad Collins,87,70.07,6096,87
16,T16,T16,Bo Van Pelt,104,70.07,7287,104
17,18,18,Spencer Levin,110,70.09,7710,110
18,19,19,Graham DeLaet,88,70.1,6169,88
19,20,20,Tom Gillis,97,70.12,6802,97
20,21,21,Jonathan Byrd,85,70.13,5961,85
21,22,22,Brendon de Jonge,114,70.14,7996,114
22,23,23,Kevin Sutherland,86,70.16,6034,86
23,T24,T24,Freddie Jacobson,83,70.18,5825,83
24,T24,T24,David Toms,86,70.18,5965,85
25,26,26,Bubba Watson,77,70.21,5406,77
26,T27,T27,Bill Haas,87,70.22,6109,87
27,T27,T27,J.B. Holmes,100,70.22,7022,100
28,29,29,Jim Furyk,76,70.23,5197,74
29,30,30,Webb Simpson,98,70.24,6884,98
30,31,31,Luke Donald,71,70.25,4777,68
31,T32,T32,Briny Baird,87,70.26,6113,87
32,T32,T32,Aron Price,70,70.26,4918,70
33,34,34,Greg Chalmers,93,70.27,6535,93
34,35,35,Brandt Snedeker,89,70.28,6255,89
35,36,36,Ben Crane,85,70.3,5765,82
36,37,37,Tim Clark,88,70.31,5976,85
37,38,38,Carl Pettersson,99,70.33,6963,99
38,T39,T39,Phil Mickelson,76,70.34,5346,76
39,T39,T39,Jeff Overton,89,70.34,6260,89
40,T39,T39,Jeev Milkha Singh,59,70.34,3939,56
41,T42,T42,Rickie Fowler,98,70.35,6894,98
42,T42,T42,Bryce Molder,84,70.35,5909,84
43,T44,T44,Chris Couch,66,70.36,4644,66
44,T44,T44,Chris DiMarco,88,70.36,6192,88
45,T44,T44,Matt Jones,89,70.36,6262,89
