,First_Tee_Early_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Scoring_Average_PLAYER NAME,First_Tee_Early_Scoring_Average_ROUNDS,First_Tee_Early_Scoring_Average_AVG,First_Tee_Early_Scoring_Average_TOTAL STROKES,First_Tee_Early_Scoring_Average_TOT. EARLY RDS.(1ST TEE)
0,1,1,Dean Wilson,54,68.53,1165,17
1,2,2,Charley Hoffman,85,69.08,1658,24
2,3,3,Kevin Sutherland,86,69.09,1589,23
3,4,4,Chris Riley,73,69.22,1592,23
4,5,5,Michael Letzig,84,69.29,2148,31
5,6,6,Pat Perez,90,69.33,2288,33
6,7,7,Jeev Milkha Singh,59,69.42,1319,19
7,8,8,Paul Stankowski,62,69.43,1458,21
8,9,9,Matt Kuchar,97,69.52,1877,27
9,10,10,Chad Collins,87,69.57,1948,28
10,11,11,Tom Gillis,97,69.61,2645,38
11,T12,T12,Graham DeLaet,88,69.62,2019,29
12,T12,T12,Bryce Molder,84,69.62,1462,21
13,T12,T12,Justin Rose,78,69.62,1810,26
14,T15,T15,Paul Casey,64,69.63,1114,16
15,T15,T15,Charles Warren,64,69.63,1323,19
16,17,17,Webb Simpson,98,69.69,1812,26
17,18,18,Boo Weekley,88,69.72,2022,29
18,19,19,Bubba Watson,77,69.73,1534,22
19,20,20,Chris Stroud,90,69.74,1883,27
20,21,21,Joe Durant,67,69.82,1536,22
21,22,22,Kevin Na,94,69.86,2026,29
22,23,23,Brian Stuard,81,69.9,1468,21
23,24,24,David Toms,86,69.93,1888,27
24,T25,T25,Steve Elkington,74,69.96,1609,23
25,T25,T25,Charlie Wi,95,69.96,1959,28
26,27,27,Greg Chalmers,93,69.97,2099,30
27,T28,T28,Briny Baird,87,70.0,2240,32
28,T28,T28,Ben Crane,85,70.0,2520,36
29,T28,T28,Matt Jones,89,70.0,1960,28
30,T28,T28,Cameron Percy,73,70.0,1470,21
31,T28,T28,John Rollins,81,70.0,1750,25
32,T28,T28,Vijay Singh,75,70.0,1610,23
33,34,34,J.J. Henry,92,70.03,2661,38
34,T35,T35,K.J. Choi,82,70.04,1821,26
35,T35,T35,Retief Goosen,75,70.04,1681,24
36,T35,T35,Dustin Johnson,83,70.04,1611,23
37,T35,T35,James Nitties,92,70.04,1961,28
38,39,39,Brett Wetterich,54,70.05,1331,19
39,T40,T40,J.B. Holmes,100,70.09,2313,33
40,T40,T40,Freddie Jacobson,83,70.09,2313,33
41,42,42,Stephen Ames,75,70.1,2033,29
42,T43,T43,Stewart Cink,84,70.11,1893,27
43,T43,T43,Nick Watney,91,70.11,1963,28
44,45,45,Brian Gay,101,70.12,2875,41
45,T46,T46,Bill Haas,87,70.13,1683,24
46,T46,T46,Kevin Streelman,90,70.13,2174,31
47,48,48,Phil Mickelson,76,70.14,982,14
48,49,49,Ángel Cabrera,64,70.15,912,13
49,T50,T50,Chris DiMarco,88,70.16,2596,37
50,T50,T50,Rickie Fowler,98,70.16,1754,25
51,T50,T50,Bo Van Pelt,104,70.16,2175,31
52,T53,T53,Aron Price,70,70.19,1123,16
53,T53,T53,Heath Slocum,97,70.19,2176,31
54,T55,T55,Scott McCarron,90,70.2,2106,30
55,T55,T55,Jeff Quinney,91,70.2,2106,30
56,T57,T57,Joe Ogilvie,99,70.22,1896,27
