,Front_9_Round_1_Scoring_Average_RANK THIS WEEK,Front_9_Round_1_Scoring_Average_RANK LAST WEEK,Front_9_Round_1_Scoring_Average_PLAYER NAME,Front_9_Round_1_Scoring_Average_AVG,Front_9_Round_1_Scoring_Average_TOTAL STROKES,Front_9_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,Paul Casey,34.06,545,16
1,2,2,Matt Kuchar,34.08,852,25
2,3,3,Kenny Perry,34.26,651,19
3,4,4,Chad Collins,34.27,891,26
4,5,5,Dean Wilson,34.33,618,18
5,T6,T6,Ricky Barnes,34.39,963,28
6,T6,T6,Ben Crane,34.39,791,23
7,T8,T8,Phil Mickelson,34.45,689,20
8,T8,T8,Tom Pernice Jr.,34.45,758,22
9,10,10,Charley Hoffman,34.46,827,24
10,11,11,Joe Durant,34.47,655,19
11,T12,T12,Jonathan Byrd,34.5,897,26
12,T12,T12,Garrett Willis,34.5,828,24
13,14,14,J.J. Henry,34.52,932,27
14,15,15,Rickie Fowler,34.57,968,28
15,16,16,Pat Perez,34.59,934,27
16,T17,T17,Tim Clark,34.61,796,23
17,T17,T17,Bo Van Pelt,34.61,969,28
18,19,19,Greg Chalmers,34.63,935,27
19,20,20,Ryuji Imada,34.64,970,28
20,T21,T21,Retief Goosen,34.67,624,18
21,T21,T21,David Toms,34.67,832,24
22,23,23,Ernie Els,34.68,659,19
23,T24,T24,Tim Herron,34.71,833,24
24,T24,T24,Ian Poulter,34.71,486,14
25,26,26,Jeev Milkha Singh,34.72,625,18
26,27,27,Kevin Sutherland,34.76,869,25
27,28,28,Steve Elkington,34.77,765,22
28,T29,T29,Paul Stankowski,34.78,626,18
29,T29,T29,Steve Stricker,34.78,626,18
30,T29,T29,Boo Weekley,34.78,939,27
31,T32,T32,Woody Austin,34.79,1009,29
32,T32,T32,Davis Love III,34.79,835,24
33,34,34,J.B. Holmes,34.81,905,26
34,T35,T35,K.J. Choi,34.82,766,22
35,T35,T35,Aron Price,34.82,766,22
36,37,37,Jason Day,34.83,801,23
37,38,38,Cameron Percy,34.84,871,25
38,T39,T39,Tom Gillis,34.85,941,27
39,T39,T39,Matt Jones,34.85,941,27
40,41,41,Vijay Singh,34.86,767,22
41,T42,T42,Chris Couch,34.87,802,23
42,T42,T42,John Merrick,34.87,1081,31
43,T44,T44,Bill Haas,34.88,872,25
44,T44,T44,Steve Marino,34.88,837,24
45,T44,T44,Jeff Overton,34.88,907,26
46,47,47,Matt Every,34.89,628,18
47,T48,T48,Jim Furyk,34.9,698,20
48,T48,T48,Troy Merritt,34.9,1012,29
49,T50,T50,Hunter Mahan,34.92,838,24
50,T50,T50,Brandt Snedeker,34.92,908,26
51,52,52,D.J. Trahan,34.93,943,27
52,53,53,John Daly,34.95,699,20
53,54,54,Michael Letzig,34.96,909,26
