,First_Tee_Late_Par_5_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Par_5_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Par_5_Scoring_Average_PLAYER NAME,First_Tee_Late_Par_5_Scoring_Average_ROUNDS,First_Tee_Late_Par_5_Scoring_Average_AVG,First_Tee_Late_Par_5_Scoring_Average_TOTAL STROKES,First_Tee_Late_Par_5_Scoring_Average_TOTAL HOLES
0,1,1,Vaughn Taylor,87,4.5,288,64
1,T2,T2,Martin Flores,75,4.51,325,72
2,T2,T2,J.B. Holmes,100,4.51,424,94
3,T2,T2,John Merrick,109,4.51,406,90
4,T5,T5,Ernie Els,72,4.55,487,107
5,T5,T5,Lucas Glover,75,4.55,419,92
6,T5,T5,Martin Laird,91,4.55,378,83
7,T5,T5,Kevin Sutherland,86,4.55,469,103
8,T5,T5,Mark Wilson,87,4.55,378,83
9,10,10,Nick Watney,91,4.56,543,119
10,T11,T11,Retief Goosen,75,4.57,398,87
11,T11,T11,Dustin Johnson,83,4.57,580,127
12,T13,T13,Jonathan Byrd,85,4.58,307,67
13,T13,T13,Tom Gillis,97,4.58,339,74
14,T13,T13,Davis Love III,79,4.58,449,98
15,T13,T13,Brandt Snedeker,89,4.58,421,92
16,T17,T17,Matt Bettencourt,91,4.59,376,82
17,T17,T17,Steve Elkington,74,4.59,363,79
18,T17,T17,Steve Stricker,73,4.59,560,122
19,T17,T17,Chris Tidland,77,4.59,321,70
20,T21,T21,Robert Allenby,76,4.6,446,97
21,T21,T21,Briny Baird,87,4.6,322,70
22,T21,T21,Ángel Cabrera,64,4.6,460,100
23,T21,T21,Bill Haas,87,4.6,515,112
24,T21,T21,Matt Kuchar,97,4.6,662,144
25,T21,T21,James Nitties,92,4.6,396,86
26,T21,T21,Kevin Stadler,86,4.6,345,75
27,T21,T21,Bo Van Pelt,104,4.6,589,128
28,T29,T29,Woody Austin,93,4.61,424,92
29,T29,T29,Aaron Baddeley,94,4.61,355,77
30,T29,T29,Phil Mickelson,76,4.61,632,137
31,T29,T29,Garth Mulroy,53,4.61,258,56
32,T29,T29,D.A. Points,90,4.61,369,80
33,T29,T29,Michael Sim,64,4.61,295,64
34,T35,T35,Paul Casey,64,4.62,374,81
35,T35,T35,Troy Matteson,84,4.62,291,63
36,T35,T35,Rod Pampling,77,4.62,277,60
37,T35,T35,Cameron Tringale,55,4.62,268,58
38,T35,T35,Scott Verplank,74,4.62,217,47
39,T40,T40,K.J. Choi,82,4.63,481,104
40,T40,T40,Graham DeLaet,88,4.63,407,88
41,T40,T40,J.J. Henry,92,4.63,264,57
42,T40,T40,Matt Jones,89,4.63,361,78
43,T40,T40,Kevin Na,94,4.63,468,101
44,T40,T40,Geoff Ogilvy,62,4.63,384,83
45,T40,T40,Webb Simpson,98,4.63,468,101
46,T47,T47,Brendon de Jonge,114,4.64,641,138
47,T47,T47,Sergio Garcia,58,4.64,246,53
48,T47,T47,Michael Letzig,84,4.64,255,55
49,T47,T47,Brett Quigley,96,4.64,390,84
50,T47,T47,Vijay Singh,75,4.64,404,87
51,T47,T47,Boo Weekley,88,4.64,343,74
52,T47,T47,Garrett Willis,82,4.64,320,69
53,T54,T54,Michael Connell,89,4.65,377,81
54,T54,T54,Rickie Fowler,98,4.65,623,134
55,T54,T54,Ryan Moore,80,4.65,479,103
56,T54,T54,Scott Piercy,88,4.65,279,60
57,T54,T54,Justin Rose,78,4.65,386,83
58,T54,T54,Paul Stankowski,62,4.65,242,52
59,T54,T54,D.J. Trahan,92,4.65,423,91
60,T54,T54,Bubba Watson,77,4.65,432,93
61,T54,T54,Brett Wetterich,54,4.65,223,48
62,T63,T63,Greg Chalmers,93,4.66,433,93
63,T63,T63,James Driscoll,78,4.66,317,68
64,T63,T63,Charles Howell III,103,4.66,405,87
65,T63,T63,Bill Lunde,79,4.66,317,68
66,T63,T63,Brenden Pappas,66,4.66,247,53
67,T68,T68,Michael Bradley,77,4.67,243,52
68,T68,T68,Ben Crane,85,4.67,308,66
69,T68,T68,Charley Hoffman,85,4.67,444,95
70,T68,T68,Derek Lamely,81,4.67,313,67
71,T68,T68,Scott McCarron,90,4.67,336,72
72,T68,T68,Rory McIlroy,54,4.67,238,51
73,T68,T68,Andrew McLardy,52,4.67,140,30
74,T68,T68,Greg Owen,69,4.67,313,67
75,T76,T76,Stuart Appleby,101,4.68,342,73
76,T76,T76,Stewart Cink,84,4.68,449,96
77,T76,T76,J.P. Hayes,79,4.68,445,95
78,T76,T76,Jerry Kelly,99,4.68,520,111
79,T76,T76,Joe Ogilvie,99,4.68,440,94
80,T76,T76,Tom Pernice Jr.,74,4.68,267,57
81,T76,T76,Adam Scott,70,4.68,482,103
82,T76,T76,Heath Slocum,97,4.68,510,109
83,T76,T76,Camilo Villegas,78,4.68,454,97
84,T76,T76,Steve Wheatcroft,74,4.68,309,66
85,T86,T86,Jason Bohn,84,4.69,375,80
86,T86,T86,Luke Donald,71,4.69,483,103
87,T86,T86,Trevor Immelman,55,4.69,291,62
88,T86,T86,Hunter Mahan,85,4.69,497,106
89,T86,T86,Aron Price,70,4.69,389,83
90,T86,T86,Chris Riley,73,4.69,338,72
91,T86,T86,John Rollins,81,4.69,375,80
92,T86,T86,Kevin Streelman,90,4.69,319,68
93,T86,T86,Josh Teater,101,4.69,408,87
94,T95,T95,Blake Adams,84,4.7,296,63
95,T95,T95,Chad Collins,87,4.7,390,83
96,T95,T95,Steve Flesch,78,4.7,221,47
97,T95,T95,Tim Herron,79,4.7,296,63
98,T95,T95,Lee Janzen,77,4.7,287,61
99,T95,T95,Spencer Levin,110,4.7,517,110
100,T95,T95,Jarrod Lyle,54,4.7,263,56
101,T95,T95,Rory Sabbatini,79,4.7,343,73
102,T103,T103,Ricky Barnes,103,4.71,410,87
103,T103,T103,Padraig Harrington,57,4.71,396,84
104,T103,T103,Ryuji Imada,90,4.71,297,63
105,T103,T103,Jeff Maggert,76,4.71,372,79
106,T103,T103,Sean O'Hair,84,4.71,504,107
107,T103,T103,Chris Stroud,90,4.71,424,90
108,T103,T103,Roger Tambellini,77,4.71,245,52
109,T103,T103,Nicholas Thompson,88,4.71,377,80
110,T111,T111,Cameron Beckman,68,4.72,274,58
111,T111,T111,Daniel Chopra,74,4.72,288,61
112,T111,T111,Joe Durant,67,4.72,236,50
113,T111,T111,Jeff Gove,57,4.72,170,36
114,T111,T111,Richard Johnson,90,4.72,349,74
115,T111,T111,Marc Leishman,87,4.72,401,85
116,T111,T111,Justin Leonard,89,4.72,382,81
117,T111,T111,Will MacKenzie,72,4.72,326,69
118,T111,T111,Billy Mayfair,78,4.72,274,58
119,T111,T111,Shaun Micheel,70,4.72,373,79
120,T111,T111,Kenny Perry,69,4.72,434,92
121,T111,T111,Alex Prugh,88,4.72,453,96
122,T111,T111,Vance Veazey,58,4.72,250,53
123,T111,T111,Johnson Wagner,85,4.72,359,76
124,T111,T111,Charlie Wi,95,4.72,496,105
125,T126,T126,Robert Garrigus,71,4.73,298,63
126,T126,T126,George McNeill,79,4.73,402,85
127,T126,T126,Cameron Percy,73,4.73,336,71
128,T126,T126,Roland Thatcher,72,4.73,241,51
129,T130,T130,Mathias Grönberg,61,4.74,223,47
130,T130,T130,Freddie Jacobson,83,4.74,256,54
131,T130,T130,Cliff Kresge,50,4.74,185,39
132,T130,T130,Jeff Overton,89,4.74,460,97
133,T130,T130,Jeff Quinney,91,4.74,346,73
134,T130,T130,Jeev Milkha Singh,59,4.74,180,38
135,T130,T130,Dean Wilson,54,4.74,275,58
