,Tenth_Tee_Early_Round_1_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Round_1_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Round_1_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Round_1_Scoring_Average_AVG,Tenth_Tee_Early_Round_1_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,Jason Day,66.5,266,4
1,2,2,Mike Weir,67.0,201,3
2,3,3,Ryuji Imada,67.2,336,5
3,4,4,John Senden,67.5,135,2
4,T5,T5,Matt Jones,68.0,136,2
5,T5,T5,Bubba Watson,68.0,204,3
6,T7,T7,Mathias Grönberg,68.2,341,5
7,T7,T7,Steve Stricker,68.2,341,5
8,9,9,Matt Kuchar,68.22,614,9
9,T10,T10,Jeff Overton,68.25,273,4
10,T10,T10,Rory Sabbatini,68.25,273,4
11,T12,T12,Tim Clark,68.33,205,3
12,T12,T12,Zach Johnson,68.33,205,3
13,T14,T14,James Driscoll,68.5,274,4
14,T14,T14,Ryan Moore,68.5,274,4
15,T14,T14,Justin Rose,68.5,411,6
16,17,17,Garrett Willis,68.57,480,7
17,18,18,Paul Goydos,68.71,481,7
18,19,19,Freddie Jacobson,68.75,275,4
19,20,20,Ricky Barnes,68.86,482,7
20,T21,T21,Chris DiMarco,69.0,276,4
21,T21,T21,Robert Garrigus,69.0,483,7
22,T21,T21,Dustin Johnson,69.0,207,3
23,T21,T21,Tom Pernice Jr.,69.0,345,5
24,T25,T25,Charles Howell III,69.13,553,8
25,T25,T25,Heath Slocum,69.13,553,8
26,T27,T27,Charley Hoffman,69.17,415,6
27,T27,T27,Vijay Singh,69.17,415,6
28,T29,T29,Chris Couch,69.25,277,4
29,T29,T29,John Merrick,69.25,554,8
30,T29,T29,Paul Stankowski,69.25,277,4
31,32,32,D.J. Trahan,69.29,485,7
32,T33,T33,Martin Laird,69.33,416,6
33,T33,T33,Jarrod Lyle,69.33,416,6
34,T33,T33,Cameron Percy,69.33,416,6
35,T36,T36,Brent Delahoussaye,69.5,417,6
36,T36,T36,Jim Furyk,69.5,556,8
37,T36,T36,Chris Tidland,69.5,417,6
38,T39,T39,Woody Austin,69.67,627,9
39,T39,T39,Michael Connell,69.67,418,6
40,T39,T39,Matt Every,69.67,418,6
41,T39,T39,Phil Mickelson,69.67,418,6
42,43,43,Ryan Palmer,69.75,558,8
43,44,44,Brendon de Jonge,69.78,628,9
44,45,45,K.J. Choi,69.8,349,5
45,46,46,Scott McCarron,69.83,419,6
46,T47,T47,Padraig Harrington,69.86,489,7
47,T47,T47,Steve Marino,69.86,489,7
48,T47,T47,Brett Quigley,69.86,489,7
49,T50,T50,J.P. Hayes,69.88,559,8
50,T50,T50,J.B. Holmes,69.88,559,8
