,Tenth_Tee_Early_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Scoring_Average_ROUNDS,Tenth_Tee_Early_Scoring_Average_AVG,Tenth_Tee_Early_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Scoring_Average_TOTAL 10TH TEE EARLY RDS.
0,1,1,Matt Kuchar,97,67.86,950,14
1,2,2,Zach Johnson,93,68.45,753,11
2,3,3,Jim Furyk,76,68.59,1166,17
3,4,4,Tom Pernice Jr.,74,68.75,550,8
4,5,5,Paul Casey,64,68.8,344,5
5,6,6,Tim Clark,88,69.0,828,12
6,7,7,Michael Connell,89,69.06,1105,16
7,8,8,Steve Stricker,73,69.14,968,14
8,9,9,Steve Marino,81,69.15,899,13
9,10,10,Charles Howell III,103,69.19,1107,16
10,11,11,Phil Mickelson,76,69.29,1178,17
11,12,12,Graham DeLaet,88,69.33,1040,15
12,13,13,Dustin Johnson,83,69.36,763,11
13,14,14,Luke Donald,71,69.38,555,8
14,15,15,D.J. Trahan,92,69.4,1041,15
15,T16,T16,Lucas Glover,75,69.45,764,11
16,T16,T16,Padraig Harrington,57,69.45,764,11
17,18,18,Stephen Ames,75,69.56,626,9
18,19,19,Justin Leonard,89,69.64,975,14
19,20,20,Chad Campbell,94,69.67,1045,15
20,T21,T21,Steve Elkington,74,69.69,906,13
21,T21,T21,Ryan Moore,80,69.69,906,13
22,T23,T23,Jason Day,82,69.73,767,11
23,T23,T23,Mike Weir,59,69.73,767,11
24,25,25,Freddie Jacobson,83,69.75,1116,16
25,26,26,Greg Chalmers,93,69.78,1256,18
26,27,27,Ryuji Imada,90,69.8,698,10
27,T28,T28,Brent Delahoussaye,57,69.83,838,12
28,T28,T28,Brian Gay,101,69.83,838,12
29,T30,T30,Paul Goydos,78,69.87,1048,15
30,T30,T30,Justin Rose,78,69.87,1048,15
31,T30,T30,Vijay Singh,75,69.87,1048,15
32,33,33,Robert Allenby,76,69.88,559,8
33,34,34,Aaron Baddeley,94,69.89,1258,18
34,T35,T35,Matt Every,60,69.9,699,10
35,T35,T35,J.B. Holmes,100,69.9,1398,20
36,37,37,Paul Stankowski,62,69.93,979,14
37,T38,T38,Michael Bradley,77,70.0,1050,15
38,T38,T38,Ben Curtis,78,70.0,1120,16
