,Front_9_Round_3_Scoring_Average_RANK THIS WEEK,Front_9_Round_3_Scoring_Average_RANK LAST WEEK,Front_9_Round_3_Scoring_Average_PLAYER NAME,Front_9_Round_3_Scoring_Average_AVG,Front_9_Round_3_Scoring_Average_TOTAL STROKES,Front_9_Round_3_Scoring_Average_TOTAL ROUNDS
0,1,1,Dean Wilson,33.89,305,9
1,2,2,Rory McIlroy,33.91,373,11
2,3,3,Chris Riley,33.92,441,13
3,4,4,Brett Wetterich,34.0,374,11
4,5,5,Greg Chalmers,34.05,647,19
5,6,6,Alex Prugh,34.06,545,16
6,7,7,Briny Baird,34.19,547,16
7,8,8,Justin Bolli,34.2,171,5
8,9,9,Bob Estes,34.21,479,14
9,10,10,Matt Jones,34.24,582,17
10,T11,T11,Davis Love III,34.25,548,16
11,T11,T11,Cameron Percy,34.25,411,12
12,13,13,Matt Kuchar,34.27,754,22
13,14,14,Chad Collins,34.28,617,18
14,15,15,Scott Piercy,34.29,583,17
15,T16,T16,Paul Casey,34.31,446,13
16,T16,T16,Scott McCarron,34.31,549,16
17,T16,T16,Scott Verplank,34.31,549,16
18,19,19,Kevin Na,34.32,755,22
19,T20,T20,Chris DiMarco,34.33,721,21
20,T20,T20,Ryan Palmer,34.33,515,15
21,T20,T20,Vijay Singh,34.33,515,15
22,T20,T20,Brandt Snedeker,34.33,618,18
23,24,24,Chris Couch,34.36,378,11
24,T25,T25,Tom Gillis,34.38,722,21
25,T25,T25,Paul Stankowski,34.38,447,13
26,T25,T25,Charlie Wi,34.38,722,21
27,28,28,Richard Johnson,34.39,619,18
28,29,29,Brendon de Jonge,34.4,860,25
29,T30,T30,Jason Bohn,34.41,585,17
30,T30,T30,Steve Marino,34.41,585,17
31,32,32,Geoff Ogilvy,34.42,413,12
32,33,33,Heath Slocum,34.43,792,23
33,T34,T34,Cameron Beckman,34.5,345,10
34,T34,T34,Michael Bradley,34.5,483,14
35,T34,T34,Stewart Cink,34.5,621,18
36,T34,T34,Robert Garrigus,34.5,483,14
37,T34,T34,Garth Mulroy,34.5,276,8
38,T34,T34,Pat Perez,34.5,621,18
39,T34,T34,Carl Pettersson,34.5,690,20
40,41,41,Spencer Levin,34.58,830,24
41,42,42,David Toms,34.61,623,18
42,T43,T43,Joe Durant,34.64,485,14
43,T43,T43,Martin Flores,34.64,381,11
44,T43,T43,John Mallinger,34.64,381,11
45,46,46,Vaughn Taylor,34.65,589,17
46,T47,T47,Woody Austin,34.67,624,18
47,T47,T47,Freddie Jacobson,34.67,624,18
48,T47,T47,Jeff Maggert,34.67,416,12
49,T47,T47,John Rollins,34.67,520,15
50,T47,T47,Roger Tambellini,34.67,416,12
51,T47,T47,Jimmy Walker,34.67,520,15
52,T53,T53,Graham DeLaet,34.69,555,16
53,T53,T53,Michael Letzig,34.69,555,16
54,T55,T55,Justin Leonard,34.72,625,18
55,T55,T55,Steve Stricker,34.72,625,18
56,57,57,Jeff Overton,34.74,660,19
57,58,58,Cliff Kresge,34.75,278,8
58,T59,T59,John Senden,34.76,730,21
59,T59,T59,Camilo Villegas,34.76,591,17
60,61,61,Bill Haas,34.78,626,18
61,62,62,Adam Scott,34.8,522,15
62,63,63,James Nitties,34.81,557,16
63,64,64,Jim Furyk,34.82,592,17
64,T65,T65,Jason Day,34.83,627,18
65,T65,T65,Kevin Johnson,34.83,209,6
66,T65,T65,Rocco Mediate,34.83,418,12
67,T65,T65,Bo Van Pelt,34.83,836,24
68,69,69,Chris Stroud,34.84,662,19
69,T70,T70,Zach Johnson,34.86,767,22
70,T70,T70,Brian Stuard,34.86,488,14
71,T72,T72,Steve Elkington,34.87,523,15
72,T72,T72,Charles Howell III,34.87,802,23
73,T72,T72,John Merrick,34.87,802,23
74,T72,T72,Y.E. Yang,34.87,523,15
75,T76,T76,Ernie Els,34.88,558,16
76,T76,T76,Mark Wilson,34.88,558,16
77,78,78,Charles Warren,34.91,384,11
78,T79,T79,Steve Flesch,34.93,489,14
79,T79,T79,Kenny Perry,34.93,524,15
80,T81,T81,Kris Blanks,34.94,559,16
81,T81,T81,Tom Pernice Jr.,34.94,559,16
82,T81,T81,Kevin Sutherland,34.94,629,18
83,84,84,Nick Watney,34.95,734,21
84,T85,T85,Stuart Appleby,35.0,700,20
85,T85,T85,Luke Donald,35.0,525,15
86,T85,T85,Brian Gay,35.0,700,20
87,T85,T85,Will MacKenzie,35.0,490,14
88,T85,T85,Rod Pampling,35.0,420,12
89,T85,T85,Justin Rose,35.0,595,17
90,T85,T85,Cameron Tringale,35.0,210,6
91,92,92,J.B. Holmes,35.04,841,24
92,93,93,Martin Laird,35.05,701,20
93,94,94,Jonathan Byrd,35.06,596,17
94,T95,T95,Marc Leishman,35.11,632,18
95,T95,T95,Brenden Pappas,35.11,316,9
96,97,97,Ryan Moore,35.12,597,17
97,T98,T98,Stephen Ames,35.13,562,16
98,T98,T98,Brent Delahoussaye,35.13,281,8
99,T98,T98,Tim Herron,35.13,562,16
100,T98,T98,Troy Merritt,35.13,527,15
101,T98,T98,Chris Tidland,35.13,527,15
102,103,103,J.P. Hayes,35.14,492,14
103,104,104,J.J. Henry,35.15,703,20
104,105,105,Charley Hoffman,35.16,668,19
105,T106,T106,David Duval,35.17,422,12
106,T106,T106,Sergio Garcia,35.17,422,12
107,T106,T106,Retief Goosen,35.17,633,18
108,T106,T106,Phil Mickelson,35.17,633,18
109,T106,T106,Webb Simpson,35.17,633,18
110,T111,T111,Padraig Harrington,35.18,387,11
111,T111,T111,Roland Thatcher,35.18,387,11
112,T111,T111,Boo Weekley,35.18,598,17
113,T114,T114,Chad Campbell,35.19,739,21
114,T114,T114,Jerry Kelly,35.19,739,21
115,116,116,Rory Sabbatini,35.2,528,15
116,T117,T117,Ángel Cabrera,35.21,493,14
117,T117,T117,Paul Goydos,35.21,493,14
118,T117,T117,Brett Quigley,35.21,669,19
119,120,120,Hunter Mahan,35.22,634,18
120,121,121,Billy Mayfair,35.23,458,13
121,T122,T122,Matt Every,35.25,423,12
122,T122,T122,Nathan Green,35.25,564,16
123,T122,T122,D.A. Points,35.25,564,16
124,125,125,Sean O'Hair,35.28,635,18
125,T126,T126,Robert Allenby,35.29,600,17
126,T126,T126,Derek Lamely,35.29,494,14
127,T126,T126,Jay Williamson,35.29,494,14
128,T129,T129,Ted Purdy,35.31,459,13
129,T129,T129,Bubba Watson,35.31,565,16
130,T131,T131,Ricky Barnes,35.33,848,24
131,T131,T131,Mathew Goggin,35.33,530,15
132,T131,T131,Jarrod Lyle,35.33,318,9
133,T131,T131,Michael Sim,35.33,424,12
134,T135,T135,Rich Barcelo,35.36,389,11
135,T135,T135,Skip Kendall,35.36,389,11
136,T137,T137,Brian Davis,35.37,672,19
137,T137,T137,D.J. Trahan,35.37,672,19
138,139,139,Jeff Quinney,35.38,566,16
139,T140,T140,Henrik Bjornstad,35.4,354,10
140,T140,T140,Greg Owen,35.4,354,10
141,T140,T140,Jeev Milkha Singh,35.4,354,10
142,143,143,Dustin Johnson,35.42,673,19
143,144,144,Rickie Fowler,35.43,744,21
144,T145,T145,Blake Adams,35.44,567,16
145,T145,T145,Mathias Grönberg,35.44,319,9
146,147,147,Aron Price,35.46,461,13
147,T148,T148,Matt Bettencourt,35.47,532,15
148,T148,T148,Tim Clark,35.47,674,19
149,T150,T150,Ben Curtis,35.5,568,16
150,T150,T150,James Driscoll,35.5,497,14
151,T150,T150,Jason Dufner,35.5,639,18
152,T150,T150,Troy Matteson,35.5,497,14
153,T150,T150,George McNeill,35.5,426,12
154,T150,T150,Shaun Micheel,35.5,497,14
155,T150,T150,Andres Romero,35.5,568,16
156,157,157,Josh Teater,35.53,675,19
157,158,158,Aaron Baddeley,35.55,782,22
158,T159,T159,Jeff Gove,35.57,249,7
159,T159,T159,Tim Petrovic,35.57,747,21
160,161,161,Ryuji Imada,35.59,605,17
161,T162,T162,Michael Connell,35.6,712,20
162,T162,T162,Omar Uresti,35.6,356,10
163,T164,T164,K.J. Choi,35.63,677,19
164,T164,T164,Bryce Molder,35.63,570,16
165,T164,T164,Johnson Wagner,35.63,570,16
166,167,167,Craig Bowden,35.67,321,9
167,168,168,Bill Lunde,35.69,464,13
168,169,169,Daniel Chopra,35.7,357,10
169,170,170,Kevin Streelman,35.71,607,17
170,T171,T171,Ben Crane,35.72,643,18
171,T171,T171,Joe Ogilvie,35.72,643,18
172,173,173,Nicholas Thompson,35.75,572,16
173,174,174,Lee Janzen,35.77,465,13
174,175,175,Greg Kraft,35.83,215,6
175,176,176,Chris Wilson,35.86,251,7
176,177,177,Lucas Glover,35.87,538,15
177,178,178,Trevor Immelman,35.89,323,9
178,179,179,David Lutterus,35.9,359,10
179,180,180,Kevin Stadler,35.94,575,16
180,T181,T181,Mark Calcavecchia,36.0,324,9
181,T181,T181,Andrew McLardy,36.0,216,6
182,183,183,Garrett Willis,36.06,649,18
183,184,184,Alex Cejka,36.07,505,14
184,185,185,Steve Wheatcroft,36.09,397,11
185,186,186,Jerod Turner,36.22,326,9
186,187,187,Steve Lowery,36.3,363,10
187,188,188,John Daly,36.36,509,14
188,189,189,Vance Veazey,36.43,255,7
189,190,190,Mike Weir,36.5,365,10
190,191,191,Ian Poulter,36.82,405,11
191,192,192,Brad Faxon,37.14,260,7
