,Bogey_Avoidance_RANK THIS WEEK,Bogey_Avoidance_RANK LAST WEEK,Bogey_Avoidance_PLAYER NAME,Bogey_Avoidance_ROUNDS,Bogey_Avoidance_% MAKES BOGEY,Bogey_Avoidance_BOGEYS,Bogey_Avoidance_HOLES PLAYED
0,1,1,Dean Wilson,54,12.14,118,972
1,2,2,Charles Howell III,103,12.41,230,1854
2,T3,T3,Steve Elkington,74,12.46,166,1332
3,T3,T3,Matt Kuchar,97,12.46,213,1710
4,5,5,Kevin Sutherland,86,12.98,201,1548
5,6,6,Steve Stricker,73,13.12,170,1296
6,7,7,Retief Goosen,75,13.38,171,1278
7,8,8,Chris Riley,73,13.47,177,1314
8,9,9,Luke Donald,71,13.48,165,1224
9,10,10,Charlie Wi,95,13.74,235,1710
10,11,11,Brian Gay,101,13.83,244,1764
11,12,12,Chad Collins,87,13.86,217,1566
12,13,13,Greg Chalmers,93,13.92,233,1674
13,14,14,Joe Durant,67,13.93,168,1206
14,15,15,Chris DiMarco,88,13.95,221,1584
15,16,16,Tom Pernice Jr.,74,13.96,186,1332
16,17,17,Kevin Na,94,14.04,235,1674
17,18,18,Mark Wilson,87,14.05,220,1566
18,19,19,Freddie Jacobson,83,14.06,210,1494
19,20,20,Paul Casey,64,14.08,147,1044
20,T21,T21,Briny Baird,87,14.11,221,1566
21,T21,T21,Jim Furyk,76,14.11,188,1332
22,23,23,Tim Clark,88,14.12,216,1530
23,24,24,Heath Slocum,97,14.15,247,1746
24,25,25,Spencer Levin,110,14.19,281,1980
25,26,26,John Senden,103,14.29,265,1854
26,27,27,Jonathan Byrd,85,14.31,219,1530
27,28,28,Pat Perez,90,14.32,232,1620
28,29,29,Justin Rose,78,14.39,202,1404
29,30,30,Bo Van Pelt,104,14.42,270,1872
30,T31,T31,K.J. Choi,82,14.43,213,1476
31,T31,T31,J.J. Henry,92,14.43,239,1656
32,33,33,Omar Uresti,74,14.56,194,1332
33,T34,T34,Jeev Milkha Singh,59,14.58,147,1008
34,T34,T34,Boo Weekley,88,14.58,231,1584
35,36,36,Ernie Els,72,14.6,184,1260
36,37,37,Richard Johnson,90,14.69,238,1620
37,38,38,Rickie Fowler,98,14.74,260,1764
38,39,39,Carl Pettersson,99,14.76,263,1782
39,40,40,David Toms,86,14.77,226,1530
40,41,41,Michael Bradley,77,14.79,205,1386
41,42,42,Graham DeLaet,88,14.84,235,1584
42,43,43,Paul Stankowski,62,14.87,166,1116
43,44,44,Michael Sim,64,14.9,169,1134
44,45,45,Brendon de Jonge,114,14.91,306,2052
45,46,46,Chad Campbell,94,15.05,252,1674
46,47,47,Aron Price,70,15.08,190,1260
47,48,48,Ryuji Imada,90,15.12,245,1620
48,49,49,Ben Curtis,78,15.17,213,1404
49,50,50,Charley Hoffman,85,15.23,233,1530
50,51,51,Stephen Ames,75,15.24,203,1332
51,52,52,Scott McCarron,90,15.25,247,1620
52,53,53,Bill Haas,87,15.26,239,1566
53,T54,T54,Troy Matteson,84,15.28,231,1512
54,T54,T54,Brett Quigley,96,15.28,264,1728
55,56,56,Sean O'Hair,84,15.31,226,1476
56,57,57,Ryan Moore,80,15.33,218,1422
57,58,58,Bryce Molder,84,15.34,232,1512
58,59,59,Matt Jones,89,15.36,246,1602
59,60,60,Shaun Micheel,70,15.4,194,1260
60,61,61,Bob Estes,79,15.47,220,1422
61,62,62,Jason Bohn,84,15.48,234,1512
62,63,63,Tim Petrovic,105,15.5,293,1890
63,64,64,Will MacKenzie,72,15.51,201,1296
64,65,65,Vaughn Taylor,87,15.58,244,1566
65,66,66,Ricky Barnes,103,15.59,289,1854
66,67,67,J.B. Holmes,100,15.61,281,1800
67,68,68,Zach Johnson,93,15.63,256,1638
68,69,69,Phil Mickelson,76,15.64,214,1368
69,70,70,Webb Simpson,98,15.65,276,1764
70,71,71,Kenny Perry,69,15.69,192,1224
71,72,72,John Merrick,109,15.7,308,1962
72,73,73,Jay Williamson,76,15.72,215,1368
73,74,74,Brett Wetterich,54,15.74,153,972
74,T75,T75,Padraig Harrington,57,15.87,160,1008
75,T75,T75,Jeff Quinney,91,15.87,260,1638
76,T77,T77,Michael Connell,89,15.92,255,1602
77,T77,T77,Ben Crane,85,15.92,235,1476
78,T77,T77,Jason Day,82,15.92,235,1476
79,80,80,Woody Austin,93,15.95,267,1674
80,81,81,Jeff Overton,89,15.98,256,1602
81,82,82,James Driscoll,78,16.03,225,1404
82,83,83,Stewart Cink,84,16.04,231,1440
83,84,84,Hunter Mahan,85,16.07,243,1512
84,T85,T85,Brandt Snedeker,89,16.1,258,1602
85,T85,T85,Nick Watney,91,16.1,255,1584
86,87,87,Cliff Kresge,50,16.11,145,900
87,88,88,D.J. Trahan,92,16.12,267,1656
88,T89,T89,Rod Pampling,77,16.16,224,1386
89,T89,T89,Bubba Watson,77,16.16,224,1386
90,91,91,John Mallinger,78,16.17,227,1404
91,92,92,Jerry Kelly,99,16.22,289,1782
92,93,93,Chris Stroud,90,16.23,263,1620
93,94,94,J.P. Hayes,79,16.24,231,1422
94,95,95,Kevin Stadler,86,16.28,252,1548
95,96,96,Tim Herron,79,16.32,232,1422
96,T97,T97,Kevin Streelman,90,16.36,265,1620
97,T97,T97,Cameron Tringale,55,16.36,162,990
98,99,99,Tom Gillis,97,16.38,286,1746
99,T100,T100,John Rollins,81,16.39,239,1458
100,T100,T100,Josh Teater,101,16.39,298,1818
101,102,102,Cameron Beckman,68,16.42,201,1224
102,103,103,Andres Romero,73,16.44,216,1314
103,104,104,Rory McIlroy,54,16.45,154,936
104,T105,T105,Jimmy Walker,82,16.46,243,1476
105,T105,T105,Garrett Willis,82,16.46,243,1476
106,T107,T107,Blake Adams,84,16.47,249,1512
107,T107,T107,Mathew Goggin,85,16.47,252,1530
108,T107,T107,Johnson Wagner,85,16.47,252,1530
109,T110,T110,Kris Blanks,91,16.48,270,1638
110,T110,T110,Alex Prugh,88,16.48,261,1584
111,112,112,James Nitties,92,16.49,273,1656
112,113,113,D.A. Points,90,16.6,269,1620
