,Tenth_Tee_Late_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Scoring_Average_ROUNDS,Tenth_Tee_Late_Scoring_Average_AVG,Tenth_Tee_Late_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Scoring_Average_TOTAL 10TH TEE LATE RNDS.
0,1,1,Joe Durant,67,68.63,1098,16
1,2,2,Phil Mickelson,76,68.67,206,3
2,3,3,Charley Hoffman,85,68.85,895,13
3,4,4,Retief Goosen,75,68.86,482,7
4,5,5,J.P. Hayes,79,68.88,551,8
5,6,6,Nick Watney,91,68.9,689,10
6,7,7,Paul Casey,64,69.0,483,7
7,T8,T8,George McNeill,79,69.09,760,11
8,T8,T8,Bo Van Pelt,104,69.09,760,11
9,10,10,Charles Howell III,103,69.27,1039,15
10,11,11,Brendon de Jonge,114,69.28,1247,18
11,T12,T12,Jason Day,82,69.38,902,13
12,T12,T12,Kenny Perry,69,69.38,555,8
13,14,14,Brandt Snedeker,89,69.43,972,14
14,15,15,Robert Allenby,76,69.44,625,9
15,16,16,Chris Couch,66,69.53,1182,17
16,17,17,Bill Haas,87,69.56,1113,16
17,18,18,Jason Bohn,84,69.57,974,14
18,T19,T19,Michael Connell,89,69.63,1114,16
19,T19,T19,Marc Leishman,87,69.63,557,8
20,21,21,Ben Crane,85,69.71,976,14
21,22,22,Blake Adams,84,69.72,1255,18
22,23,23,John Rollins,81,69.73,1046,15
23,24,24,Ernie Els,72,69.75,279,4
24,25,25,Steve Elkington,74,69.77,907,13
25,26,26,Charlie Wi,95,69.82,768,11
26,T27,T27,Spencer Levin,110,69.83,1257,18
27,T27,T27,Shaun Micheel,70,69.83,838,12
28,29,29,Pat Perez,90,69.87,1048,15
29,30,30,John Daly,63,69.9,699,10
30,31,31,Bryce Molder,84,69.93,1049,15
31,T32,T32,D.A. Points,90,70.0,910,13
32,T32,T32,Justin Rose,78,70.0,630,9
33,T32,T32,Paul Stankowski,62,70.0,630,9
34,35,35,Ben Curtis,78,70.07,1051,15
35,36,36,Ryuji Imada,90,70.1,1402,20
36,37,37,Johnson Wagner,85,70.16,1333,19
37,T38,T38,Tom Gillis,97,70.17,1614,23
38,T38,T38,Dean Wilson,54,70.17,421,6
39,40,40,Chad Collins,87,70.2,1053,15
40,41,41,Brett Quigley,96,70.21,983,14
41,42,42,Adam Scott,70,70.22,632,9
42,T43,T43,Alex Prugh,88,70.23,913,13
43,T43,T43,John Senden,103,70.23,1545,22
44,45,45,Heath Slocum,97,70.25,843,12
45,T46,T46,Ricky Barnes,103,70.27,1546,22
46,T46,T46,Chad Campbell,94,70.27,1054,15
47,T46,T46,J.B. Holmes,100,70.27,1054,15
48,T46,T46,Billy Mayfair,78,70.27,1546,22
49,50,50,Kevin Na,94,70.29,984,14
50,51,51,Andres Romero,73,70.3,703,10
51,52,52,Y.E. Yang,72,70.31,914,13
52,T53,T53,Brian Gay,101,70.35,1407,20
53,T53,T53,Tim Petrovic,105,70.35,1407,20
