,Round_1_Scoring_Average_RANK THIS WEEK,Round_1_Scoring_Average_RANK LAST WEEK,Round_1_Scoring_Average_PLAYER NAME,Round_1_Scoring_Average_AVG,Round_1_Scoring_Average_TOTAL STROKES,Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,Matt Kuchar,69.28,1732,25
1,2,2,Charley Hoffman,69.29,1663,24
2,3,3,K.J. Choi,69.36,1526,22
3,4,4,Joe Durant,69.53,1321,19
4,T5,T5,Ryan Moore,69.61,1601,23
5,T5,T5,Steve Stricker,69.61,1253,18
6,7,7,David Toms,69.63,1671,24
7,8,8,Jason Day,69.65,1602,23
8,T9,T9,Ricky Barnes,69.71,1952,28
9,T9,T9,Chris DiMarco,69.71,1673,24
10,T9,T9,Garrett Willis,69.71,1673,24
11,T12,T12,Jonathan Byrd,69.77,1814,26
12,T12,T12,Michael Letzig,69.77,1814,26
13,T12,T12,Bubba Watson,69.77,1535,22
14,15,15,Paul Casey,69.81,1117,16
15,T16,T16,Matt Every,69.94,1259,18
16,T16,T16,Dean Wilson,69.94,1259,18
17,T18,T18,Matt Jones,69.96,1889,27
18,T18,T18,Bo Van Pelt,69.96,1959,28
19,T20,T20,Luke Donald,70.0,1330,19
20,T20,T20,Charlie Wi,70.0,1890,27
21,22,22,Chad Collins,70.04,1821,26
22,T23,T23,Tom Pernice Jr.,70.05,1541,22
23,T23,T23,Justin Rose,70.05,1541,22
24,25,25,Ryuji Imada,70.07,1962,28
25,26,26,Dustin Johnson,70.09,1542,22
26,27,27,J.B. Holmes,70.12,1823,26
27,28,28,Tim Clark,70.13,1613,23
28,29,29,Charles Howell III,70.14,1964,28
29,30,30,Phil Mickelson,70.15,1403,20
30,31,31,Jeff Quinney,70.17,2035,29
31,32,32,Vijay Singh,70.18,1544,22
32,33,33,Tom Gillis,70.19,1895,27
33,34,34,Rickie Fowler,70.21,1966,28
34,T35,T35,Pat Perez,70.22,1896,27
35,T35,T35,Paul Stankowski,70.22,1264,18
36,T37,T37,Steve Elkington,70.23,1545,22
37,T37,T37,Spencer Levin,70.23,2177,31
38,T39,T39,Zach Johnson,70.25,1686,24
39,T39,T39,Chris Riley,70.25,1686,24
40,T41,T41,Chris Couch,70.26,1616,23
41,T41,T41,Kenny Perry,70.26,1335,19
42,43,43,Aron Price,70.27,1546,22
43,44,44,Heath Slocum,70.28,1757,25
44,45,45,Jay Williamson,70.29,1687,24
45,46,46,John Senden,70.3,2109,30
46,47,47,Woody Austin,70.31,2039,29
47,48,48,Bill Haas,70.32,1758,25
48,49,49,Retief Goosen,70.33,1266,18
49,50,50,Robert Allenby,70.35,1407,20
50,T51,T51,Briny Baird,70.39,1971,28
51,T51,T51,Nick Watney,70.39,1619,23
52,T53,T53,Ernie Els,70.42,1338,19
53,T53,T53,Jeff Overton,70.42,1831,26
54,55,55,Ian Poulter,70.43,986,14
55,56,56,Carl Pettersson,70.45,2043,29
56,T57,T57,J.P. Hayes,70.48,1762,25
57,T57,T57,J.J. Henry,70.48,1903,27
58,T57,T57,Scott McCarron,70.48,2044,29
59,60,60,Jarrod Lyle,70.5,1269,18
60,T61,T61,Jason Bohn,70.52,1763,25
61,T61,T61,Ben Crane,70.52,1622,23
62,T61,T61,John Merrick,70.52,2186,31
63,T64,T64,Tim Herron,70.54,1693,24
64,T64,T64,Hunter Mahan,70.54,1693,24
65,T64,T64,Sean O'Hair,70.54,1693,24
66,T64,T64,Vaughn Taylor,70.54,1834,26
67,T68,T68,Brendon de Jonge,70.56,2258,32
68,T68,T68,Jeev Milkha Singh,70.56,1270,18
69,T68,T68,D.J. Trahan,70.56,1905,27
70,71,71,Brett Quigley,70.59,2047,29
71,72,72,Jim Furyk,70.6,1412,20
72,73,73,Martin Laird,70.62,1836,26
73,74,74,George McNeill,70.63,1907,27
74,T75,T75,John Daly,70.65,1413,20
75,T75,T75,James Driscoll,70.65,1837,26
76,T75,T75,Padraig Harrington,70.65,1201,17
77,T78,T78,Nathan Green,70.67,1908,27
