,Eagles_Holes_per_RANK THIS WEEK,Eagles_Holes_per_RANK LAST WEEK,Eagles_Holes_per_PLAYER NAME,Eagles_Holes_per_ROUNDS,Eagles_Holes_per_FREQUENCY,Eagles_Holes_per_# OF HOLES,Eagles_Holes_per_# OF EAGLES
0,1,1,Dustin Johnson,83,92.3,1476,16
1,2,2,Matt Bettencourt,91,96.4,1638,17
2,3,3,Bubba Watson,77,106.6,1386,13
3,4,4,Adam Scott,70,111.3,1224,11
4,5,5,Phil Mickelson,76,114.0,1368,12
5,6,6,Martin Laird,91,117.0,1638,14
6,7,7,Davis Love III,79,118.5,1422,12
7,8,8,John Daly,63,126.0,1134,9
8,9,9,Charles Warren,64,128.0,1152,9
9,10,10,J.B. Holmes,100,128.6,1800,14
10,11,11,Aaron Baddeley,94,130.2,1692,13
11,12,12,Andres Romero,73,131.4,1314,10
12,13,13,Scott Piercy,88,132.0,1584,12
13,14,14,Kenny Perry,69,136.0,1224,9
14,15,15,Rocco Mediate,71,142.0,1278,9
15,16,16,Robert Allenby,76,148.0,1332,9
16,17,17,Paul Casey,64,149.1,1044,7
17,18,18,D.J. Trahan,92,150.5,1656,11
18,T19,T19,Michael Letzig,84,151.2,1512,10
19,T19,T19,Hunter Mahan,85,151.2,1512,10
20,21,21,Charley Hoffman,85,153.0,1530,10
21,T22,T22,Kevin Stadler,86,154.8,1548,10
22,T22,T22,Kevin Sutherland,86,154.8,1548,10
23,T24,T24,Billy Mayfair,78,156.0,1404,9
24,T24,T24,Rory McIlroy,54,156.0,936,6
25,26,26,Bill Lunde,79,158.0,1422,9
26,T27,T27,Alex Prugh,88,158.4,1584,10
27,T27,T27,Nick Watney,91,158.4,1584,10
28,29,29,Garth Mulroy,53,159.0,954,6
29,30,30,Matt Jones,89,160.2,1602,10
30,31,31,Rickie Fowler,98,160.4,1764,11
31,T32,T32,Richard Johnson,90,162.0,1620,10
32,T32,T32,Derek Lamely,81,162.0,1458,9
33,34,34,Sean O'Hair,84,164.0,1476,9
34,35,35,Vijay Singh,75,166.5,1332,8
35,36,36,Chris Couch,66,169.7,1188,7
36,37,37,Mike Weir,59,171.0,1026,6
37,38,38,Rod Pampling,77,173.3,1386,8
38,T39,T39,Jason Dufner,87,174.0,1566,9
39,T39,T39,Bill Haas,87,174.0,1566,9
40,41,41,Steve Flesch,78,175.5,1404,8
41,42,42,George McNeill,79,177.8,1422,8
42,43,43,Jeff Overton,89,178.0,1602,9
43,T44,T44,Rich Barcelo,70,180.0,1260,7
44,T44,T44,Stewart Cink,84,180.0,1440,8
