,Birdie_or_Better_Percentage_-_Right_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Right_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Right_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Right_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Right_Rough_%,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL HOLES
0,1,1,Andrew McLardy,52,25.71,18,70
1,2,2,Brett Wetterich,54,25.45,28,110
2,3,3,Justin Rose,78,25.0,30,120
3,4,4,Bubba Watson,77,24.11,34,141
4,5,5,Woody Austin,93,23.02,32,139
5,6,6,Ángel Cabrera,64,22.06,30,136
6,7,7,John Daly,63,21.74,25,115
7,8,8,Y.E. Yang,72,21.7,23,106
8,9,9,Steve Stricker,73,21.43,21,98
9,10,10,Billy Mayfair,78,21.36,22,103
10,11,11,Ernie Els,72,21.21,28,132
11,12,12,Retief Goosen,75,20.99,17,81
12,13,13,Robert Allenby,76,20.79,21,101
13,14,14,Michael Sim,64,20.65,19,92
14,15,15,George McNeill,79,20.63,39,189
15,16,16,Scott Piercy,88,20.39,42,206
16,17,17,Jeff Overton,89,20.37,33,162
17,18,18,Rory Sabbatini,79,20.13,30,149
18,19,19,Jimmy Walker,82,20.1,40,199
19,20,20,Justin Leonard,89,19.8,20,101
20,21,21,David Duval,71,19.77,17,86
21,22,22,Ben Crane,85,19.47,22,113
22,23,23,Chad Campbell,95,19.38,25,129
23,24,24,Padraig Harrington,57,19.35,18,93
24,25,25,Bill Haas,87,19.17,23,120
25,26,26,Sean O'Hair,84,19.08,25,131
26,27,27,Martin Laird,91,18.97,33,174
27,28,28,Ricky Barnes,103,18.87,30,159
28,T29,T29,Steve Flesch,78,18.75,18,96
29,T29,T29,Chris Tidland,77,18.75,24,128
30,31,31,Spencer Levin,110,18.71,29,155
31,32,32,John Rollins,81,18.59,29,156
32,T33,T33,Dustin Johnson,83,18.57,26,140
33,T33,T33,Cliff Kresge,50,18.57,13,70
34,35,35,Aaron Baddeley,94,18.52,40,216
35,36,36,Kevin Sutherland,86,18.26,21,115
36,37,37,Marc Leishman,87,18.23,33,181
37,38,38,Chris Stroud,90,18.05,24,133
38,T39,T39,Chris Couch,66,17.98,16,89
39,T39,T39,Charles Warren,64,17.98,16,89
40,41,41,Roland Thatcher,72,17.97,23,128
41,42,42,Bob Estes,79,17.9,29,162
42,43,43,Geoff Ogilvy,62,17.86,20,112
43,44,44,John Mallinger,78,17.71,17,96
44,T45,T45,Henrik Bjornstad,72,17.65,18,102
45,T45,T45,Robert Garrigus,71,17.65,27,153
46,47,47,Kevin Streelman,90,17.53,27,154
47,48,48,Alex Prugh,88,17.5,28,160
48,49,49,Sergio Garcia,58,17.46,11,63
49,50,50,Nick Watney,91,17.33,26,150
50,51,51,J.J. Henry,92,17.19,22,128
51,52,52,Martin Flores,75,17.09,27,158
52,53,53,Andres Romero,73,17.07,28,164
53,T54,T54,Alex Cejka,81,17.05,15,88
54,T54,T54,Scott Verplank,74,17.05,15,88
55,56,56,Cameron Percy,73,17.04,23,135
56,57,57,D.J. Trahan,92,16.97,28,165
57,58,58,Ryan Palmer,84,16.88,27,160
58,59,59,Troy Merritt,86,16.86,29,172
59,60,60,Blake Adams,84,16.8,21,125
60,T61,T61,Justin Bolli,55,16.67,7,42
61,T61,T61,Phil Mickelson,76,16.67,22,132
62,63,63,Daniel Chopra,74,16.57,28,169
63,64,64,D.A. Points,90,16.55,24,145
64,65,65,Zach Johnson,93,16.53,20,121
65,66,66,Matt Kuchar,97,16.49,16,97
66,67,67,Jarrod Lyle,54,16.46,13,79
67,68,68,Kevin Stadler,86,16.41,21,128
68,69,69,Dean Wilson,54,16.39,10,61
69,T70,T70,Lucas Glover,75,16.33,16,98
70,T70,T70,Charley Hoffman,85,16.33,24,147
71,T70,T70,Bill Lunde,79,16.33,24,147
72,73,73,Stephen Ames,75,16.22,18,111
