,Tenth_Tee_Late_Round_2_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Round_2_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Round_2_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Round_2_Scoring_Average_AVG,Tenth_Tee_Late_Round_2_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Kenny Perry,66.0,132,2
1,2,2,Bill Haas,66.5,266,4
2,3,3,Phil Mickelson,67.0,134,2
3,4,4,Nick Watney,67.75,271,4
4,T5,T5,Joe Durant,68.0,408,6
5,T5,T5,Charley Hoffman,68.0,340,5
6,T5,T5,Charlie Wi,68.0,136,2
7,T8,T8,Chad Collins,68.33,410,6
8,T8,T8,Michael Connell,68.33,410,6
9,T8,T8,Brandt Snedeker,68.33,205,3
10,T11,T11,Jason Bohn,68.5,411,6
11,T11,T11,Johnson Wagner,68.5,548,8
12,13,13,Billy Mayfair,68.71,481,7
13,T14,T14,Greg Chalmers,69.0,483,7
14,T14,T14,Ben Curtis,69.0,483,7
15,T14,T14,Steve Elkington,69.0,414,6
16,T14,T14,Padraig Harrington,69.0,69,1
17,18,18,Brendon de Jonge,69.13,553,8
18,19,19,Ben Crane,69.17,415,6
19,20,20,Chad Campbell,69.29,485,7
20,T21,T21,Dustin Johnson,69.33,208,3
21,T21,T21,Jeff Overton,69.33,416,6
22,23,23,Troy Matteson,69.38,555,8
23,T24,T24,Kevin Na,69.4,347,5
24,T24,T24,Scott Piercy,69.4,694,10
25,T24,T24,Alex Prugh,69.4,347,5
26,T24,T24,Paul Stankowski,69.4,347,5
27,28,28,Aaron Baddeley,69.43,486,7
28,T29,T29,Craig Bowden,69.5,139,2
29,T29,T29,Jason Day,69.5,417,6
30,T29,T29,Charles Howell III,69.5,417,6
31,T29,T29,Bill Lunde,69.5,278,4
32,T29,T29,Pat Perez,69.5,556,8
33,T34,T34,Zach Johnson,69.6,348,5
34,T34,T34,Richard Johnson,69.6,696,10
35,T34,T34,Shaun Micheel,69.6,348,5
36,T34,T34,D.A. Points,69.6,348,5
37,T34,T34,Bo Van Pelt,69.6,348,5
38,T39,T39,Ryuji Imada,69.63,557,8
39,T39,T39,John Senden,69.63,557,8
40,T41,T41,Retief Goosen,69.67,209,3
41,T41,T41,Spencer Levin,69.67,418,6
42,T41,T41,Justin Rose,69.67,418,6
43,44,44,Brian Gay,69.7,697,10
44,45,45,Jerry Kelly,69.71,488,7
45,T46,T46,Luke Donald,69.75,279,4
46,T46,T46,Aron Price,69.75,279,4
47,T46,T46,Chris Stroud,69.75,279,4
48,49,49,Brenden Pappas,69.88,559,8
49,T50,T50,Kris Blanks,70.0,280,4
50,T50,T50,John Daly,70.0,280,4
51,T50,T50,Brent Delahoussaye,70.0,140,2
52,T50,T50,Bob Estes,70.0,560,8
53,T50,T50,Sergio Garcia,70.0,70,1
54,T50,T50,Davis Love III,70.0,140,2
55,T50,T50,Jarrod Lyle,70.0,70,1
56,T50,T50,George McNeill,70.0,490,7
57,T50,T50,Tom Pernice Jr.,70.0,420,6
58,T50,T50,Tim Petrovic,70.0,420,6
59,T50,T50,Kevin Stadler,70.0,420,6
60,T50,T50,Kevin Sutherland,70.0,420,6
61,T50,T50,Nicholas Thompson,70.0,420,6
62,T50,T50,Brett Wetterich,70.0,490,7
63,T64,T64,Tom Gillis,70.14,491,7
64,T64,T64,Marc Leishman,70.14,491,7
65,T66,T66,Justin Leonard,70.17,421,6
66,T66,T66,Ryan Moore,70.17,421,6
67,T66,T66,Brett Quigley,70.17,421,6
68,69,69,Stuart Appleby,70.18,772,11
69,T70,T70,Rocco Mediate,70.2,351,5
70,T70,T70,Andres Romero,70.2,351,5
71,72,72,Chris Couch,70.29,492,7
72,T73,T73,Robert Allenby,70.33,422,6
73,T73,T73,John Rollins,70.33,633,9
74,T75,T75,James Driscoll,70.4,352,5
75,T75,T75,Steve Flesch,70.4,352,5
76,T75,T75,J.P. Hayes,70.4,352,5
77,T78,T78,Jonathan Byrd,70.5,423,6
78,T78,T78,Brian Davis,70.5,423,6
79,T78,T78,John Mallinger,70.5,282,4
80,T78,T78,Chris Riley,70.5,423,6
81,T78,T78,Adam Scott,70.5,282,4
82,T78,T78,Mark Wilson,70.5,282,4
83,84,84,Freddie Jacobson,70.56,635,9
84,85,85,Nathan Green,70.57,494,7
85,86,86,Robert Garrigus,70.6,353,5
86,T87,T87,Blake Adams,70.63,565,8
87,T87,T87,Vaughn Taylor,70.63,565,8
88,89,89,Heath Slocum,70.67,212,3
89,T90,T90,Stewart Cink,70.75,283,4
90,T90,T90,Tim Herron,70.75,283,4
91,92,92,John Merrick,70.78,637,9
92,93,93,Scott Verplank,70.83,425,6
93,T94,T94,Rickie Fowler,70.86,496,7
94,T94,T94,Paul Goydos,70.86,496,7
95,T94,T94,Ryan Palmer,70.86,496,7
96,T94,T94,Y.E. Yang,70.86,496,7
97,98,98,Jay Williamson,70.88,567,8
98,99,99,Jeff Quinney,70.91,780,11
99,T100,T100,Ángel Cabrera,71.0,71,1
100,T100,T100,Paul Casey,71.0,142,2
101,T100,T100,Ernie Els,71.0,142,2
102,T100,T100,Hunter Mahan,71.0,284,4
103,T100,T100,Sean O'Hair,71.0,497,7
104,T100,T100,Joe Ogilvie,71.0,355,5
105,T100,T100,Geoff Ogilvy,71.0,284,4
106,T100,T100,Jimmy Walker,71.0,284,4
107,108,108,Woody Austin,71.13,569,8
108,T109,T109,J.J. Henry,71.14,498,7
109,T109,T109,Derek Lamely,71.14,498,7
110,111,111,J.B. Holmes,71.17,427,6
