,Par_4_Birdie_or_Better_Leaders_RANK THIS WEEK,Par_4_Birdie_or_Better_Leaders_RANK LAST WEEK,Par_4_Birdie_or_Better_Leaders_PLAYER NAME,Par_4_Birdie_or_Better_Leaders_ROUNDS,Par_4_Birdie_or_Better_Leaders_%,Par_4_Birdie_or_Better_Leaders_PAR 4 BIRDIES OR BETTER,Par_4_Birdie_or_Better_Leaders_PAR 4 HOLES
0,1,1,Ryan Palmer,84,19.93,179,898
1,2,2,Ben Crane,85,19.73,177,897
2,3,3,Chris Couch,66,19.6,138,704
3,T4,T4,Joe Durant,67,19.4,142,732
4,T4,T4,Carl Pettersson,99,19.4,206,1062
5,6,6,Geoff Ogilvy,62,19.29,125,648
6,7,7,Matt Every,60,19.06,122,640
7,8,8,John Rollins,81,19.03,168,883
8,9,9,Matt Kuchar,97,18.98,197,1038
9,10,10,Rory McIlroy,54,18.82,108,574
10,11,11,Aaron Baddeley,94,18.79,190,1011
11,12,12,Nick Watney,91,18.76,179,954
12,13,13,Bubba Watson,77,18.67,155,830
13,14,14,Jeff Overton,89,18.59,182,979
14,15,15,Robert Garrigus,71,18.56,144,776
15,16,16,Ernie Els,72,18.55,141,760
16,T17,T17,Charley Hoffman,85,18.49,169,914
17,T17,T17,Jimmy Walker,82,18.49,162,876
18,19,19,J.B. Holmes,100,18.46,202,1094
19,20,20,Charlie Wi,95,18.33,189,1031
20,21,21,George McNeill,79,18.3,157,858
21,22,22,Paul Goydos,78,18.26,153,838
22,23,23,Y.E. Yang,72,18.25,142,778
23,24,24,Dustin Johnson,83,18.23,163,894
24,T25,T25,Bryce Molder,84,18.22,164,900
25,T25,T25,Garrett Willis,82,18.22,160,878
26,27,27,Brandt Snedeker,89,18.16,174,958
27,T28,T28,Ricky Barnes,103,18.13,202,1114
28,T28,T28,Adam Scott,70,18.13,132,728
29,30,30,Kevin Streelman,90,18.08,175,968
30,31,31,Scott Piercy,88,18.06,171,947
31,32,32,Nicholas Thompson,88,18.02,169,938
32,T33,T33,Justin Rose,78,17.99,154,856
33,T33,T33,Chris Stroud,90,17.99,174,967
34,T35,T35,Michael Connell,89,17.98,174,968
35,T35,T35,Bo Van Pelt,104,17.98,205,1140
36,37,37,Jeff Quinney,91,17.96,176,980
37,T38,T38,Brendon de Jonge,114,17.93,218,1216
38,T38,T38,Rory Sabbatini,79,17.93,149,831
39,T38,T38,D.J. Trahan,92,17.93,177,987
40,41,41,Graham DeLaet,88,17.89,171,956
41,T42,T42,Justin Leonard,89,17.73,173,976
42,T42,T42,Pat Perez,90,17.73,172,970
43,44,44,Paul Stankowski,62,17.7,120,678
44,45,45,Zach Johnson,93,17.65,177,1003
45,T46,T46,Paul Casey,64,17.64,115,652
46,T46,T46,Kevin Na,94,17.64,179,1015
47,T48,T48,Jim Furyk,76,17.63,141,800
48,T48,T48,Tom Gillis,97,17.63,183,1038
49,50,50,Michael Sim,64,17.59,121,688
50,51,51,Freddie Jacobson,83,17.57,159,905
51,52,52,Andres Romero,73,17.53,138,787
52,53,53,Steve Marino,81,17.51,153,874
53,54,54,Stephen Ames,75,17.46,140,802
54,55,55,Charles Warren,64,17.44,121,694
55,56,56,David Toms,86,17.43,160,918
56,T57,T57,Rickie Fowler,98,17.42,185,1062
57,T57,T57,J.P. Hayes,79,17.42,146,838
58,59,59,Lucas Glover,75,17.41,141,810
59,T60,T60,Robert Allenby,76,17.36,142,818
60,T60,T60,Phil Mickelson,76,17.36,142,818
61,62,62,Retief Goosen,75,17.26,135,782
62,T63,T63,Jay Williamson,76,17.23,142,824
63,T63,T63,Dean Wilson,54,17.23,102,592
64,65,65,Camilo Villegas,78,17.17,136,792
65,66,66,Ángel Cabrera,64,17.15,119,694
66,67,67,Blake Adams,84,17.14,157,916
67,T68,T68,Stewart Cink,84,17.12,151,882
68,T68,T68,Luke Donald,71,17.12,126,736
69,70,70,Troy Merritt,86,17.06,158,926
70,71,71,Jason Bohn,84,17.04,153,898
71,72,72,Vaughn Taylor,87,17.03,158,928
72,73,73,Kevin Stadler,86,16.96,155,914
73,74,74,Webb Simpson,98,16.95,180,1062
74,75,75,John Daly,63,16.93,118,697
75,76,76,Jonathan Byrd,85,16.88,156,924
76,77,77,Heath Slocum,97,16.86,177,1050
77,78,78,Henrik Bjornstad,72,16.8,129,768
78,79,79,Steve Stricker,73,16.79,133,792
79,80,80,Will MacKenzie,72,16.77,131,781
80,81,81,Vijay Singh,75,16.75,138,824
81,82,82,Spencer Levin,110,16.72,199,1190
82,T83,T83,Matt Jones,89,16.67,159,954
83,T83,T83,Shaun Micheel,70,16.67,127,762
84,T83,T83,Chris Riley,73,16.67,134,804
85,T83,T83,Steve Wheatcroft,74,16.67,132,792
86,87,87,Tim Clark,88,16.63,153,920
87,88,88,Cameron Percy,73,16.6,130,783
88,89,89,Greg Chalmers,93,16.57,165,996
89,90,90,Chad Campbell,94,16.47,166,1008
90,T91,T91,Michael Letzig,84,16.45,150,912
91,T91,T91,Kevin Sutherland,86,16.45,150,912
92,T91,T91,Johnson Wagner,85,16.45,150,912
93,94,94,Cliff Kresge,50,16.42,89,542
94,T95,T95,K.J. Choi,82,16.4,145,884
