,Bounce_Back_RANK THIS WEEK,Bounce_Back_RANK LAST WEEK,Bounce_Back_PLAYER NAME,Bounce_Back_ROUNDS,Bounce_Back_%
0,1,1,Charley Hoffman,85,27.78
1,2,2,Aaron Baddeley,94,27.72
2,3,3,Sergio Garcia,58,26.79
3,4,4,Steve Marino,81,26.75
4,5,5,Robert Garrigus,71,25.46
5,T6,T6,John Daly,63,25.0
6,T6,T6,Padraig Harrington,57,25.0
7,T6,T6,Aron Price,70,25.0
8,T6,T6,Paul Stankowski,62,25.0
9,T6,T6,Charles Warren,64,25.0
10,11,11,D.J. Trahan,92,24.9
11,12,12,J.B. Holmes,100,24.63
12,13,13,Tom Gillis,97,24.53
13,14,14,Cameron Percy,73,24.52
14,15,15,Woody Austin,93,24.5
15,16,16,James Nitties,92,24.23
16,17,17,Jonathan Byrd,85,24.14
17,18,18,Garth Mulroy,53,23.9
18,19,19,Brandt Snedeker,89,23.83
19,20,20,Ben Crane,85,23.81
20,21,21,Mark Calcavecchia,50,23.56
21,T22,T22,Chris DiMarco,88,23.53
22,T22,T22,Will MacKenzie,72,23.53
23,24,24,John Merrick,109,23.43
24,25,25,Jason Day,82,23.18
25,26,26,Joe Ogilvie,99,23.16
26,T27,T27,Michael Letzig,84,23.08
27,T27,T27,Vijay Singh,75,23.08
28,29,29,Jeff Quinney,91,22.98
29,30,30,Stewart Cink,84,22.94
30,T31,T31,Matt Jones,89,22.91
31,T31,T31,Kevin Sutherland,86,22.91
32,33,33,Chris Stroud,90,22.86
33,34,34,Bubba Watson,77,22.75
34,35,35,Chad Campbell,94,22.69
35,T36,T36,John Rollins,81,22.67
36,T36,T36,Garrett Willis,82,22.67
37,38,38,Graham DeLaet,88,22.61
38,39,39,Ángel Cabrera,64,22.56
39,T40,T40,Jim Furyk,76,22.54
40,T40,T40,Steve Wheatcroft,74,22.54
41,42,42,Lucas Glover,75,22.52
42,43,43,Nicholas Thompson,88,22.46
43,T44,T44,David Duval,71,22.44
44,T44,T44,Scott Piercy,88,22.44
45,46,46,Lee Janzen,77,22.43
46,47,47,Andrew McLardy,52,22.36
47,T48,T48,Chris Couch,66,22.35
48,T48,T48,Jeff Gove,57,22.35
49,T48,T48,Spencer Levin,110,22.35
50,51,51,Ryan Moore,80,22.33
51,T52,T52,Davis Love III,79,22.32
52,T52,T52,Dean Wilson,54,22.32
53,54,54,Steve Flesch,78,22.31
54,55,55,Tim Petrovic,105,22.3
55,56,56,Justin Rose,78,22.28
56,57,57,Jimmy Walker,82,22.27
57,T58,T58,Billy Mayfair,78,22.22
58,T58,T58,Brett Quigley,96,22.22
59,60,60,J.J. Henry,92,22.17
60,61,61,Jerry Kelly,99,22.14
61,62,62,Brian Stuard,81,22.04
62,63,63,James Driscoll,78,22.01
63,64,64,Matt Every,60,21.98
64,65,65,Adam Scott,70,21.94
65,66,66,Troy Matteson,84,21.92
66,67,67,Greg Chalmers,93,21.8
67,68,68,Zach Johnson,93,21.79
68,69,69,Jeff Maggert,76,21.76
69,70,70,Joe Durant,67,21.74
70,T71,T71,Robert Allenby,76,21.67
71,T71,T71,Matt Kuchar,97,21.67
72,73,73,Jeff Overton,89,21.61
73,74,74,Charles Howell III,103,21.56
74,75,75,Martin Flores,75,21.43
75,T76,T76,Dustin Johnson,83,21.37
76,T76,T76,John Senden,103,21.37
77,78,78,Steve Elkington,74,21.33
78,79,79,George McNeill,79,21.25
79,80,80,Jay Williamson,76,21.08
80,81,81,Webb Simpson,98,21.01
81,82,82,Matt Bettencourt,91,20.98
82,83,83,Nick Watney,91,20.94
83,84,84,Kevin Na,94,20.91
84,85,85,Martin Laird,91,20.88
85,86,86,Bill Lunde,79,20.81
86,87,87,Ryuji Imada,90,20.78
87,88,88,Roger Tambellini,77,20.7
88,89,89,Tom Pernice Jr.,74,20.69
89,T90,T90,Retief Goosen,75,20.63
90,T90,T90,Chris Riley,73,20.63
91,92,92,Daniel Chopra,74,20.6
92,93,93,Ted Purdy,86,20.56
93,94,94,Justin Leonard,89,20.53
94,95,95,Henrik Bjornstad,72,20.44
95,96,96,Brett Wetterich,54,20.41
96,97,97,Nathan Green,86,20.4
97,98,98,Cameron Tringale,55,20.38
98,99,99,Scott McCarron,90,20.35
99,100,100,Y.E. Yang,72,20.2
100,101,101,Rory Sabbatini,79,20.18
101,102,102,Michael Connell,89,20.17
102,T103,T103,Kris Blanks,91,20.16
103,T103,T103,Carl Pettersson,99,20.16
104,105,105,Brian Davis,101,20.14
105,T106,T106,Blake Adams,84,20.09
106,T106,T106,Chris Tidland,77,20.09
107,T106,T106,Boo Weekley,88,20.09
108,T109,T109,Ricky Barnes,103,20.0
109,T109,T109,Chad Collins,87,20.0
110,T109,T109,Rickie Fowler,98,20.0
111,T109,T109,Andres Romero,73,20.0
112,T109,T109,David Toms,86,20.0
113,T109,T109,Bo Van Pelt,104,20.0
114,115,115,Alex Cejka,81,19.92
115,116,116,Brendon de Jonge,114,19.86
116,117,117,J.P. Hayes,79,19.81
117,118,118,Stuart Appleby,101,19.8
118,119,119,Jason Dufner,87,19.77
119,120,120,Johnson Wagner,85,19.75
120,121,121,Phil Mickelson,76,19.7
121,122,122,Alex Prugh,88,19.67
122,123,123,Rod Pampling,77,19.63
123,124,124,Jarrod Lyle,54,19.61
124,125,125,Kevin Streelman,90,19.59
125,126,126,Pat Perez,90,19.53
126,127,127,K.J. Choi,82,19.5
127,128,128,Freddie Jacobson,83,19.49
128,129,129,Kevin Stadler,86,19.4
129,130,130,Vaughn Taylor,87,19.3
130,131,131,Kevin Johnson,62,19.25
131,132,132,Cliff Kresge,50,19.12
132,T133,T133,Ernie Els,72,19.08
133,T133,T133,Geoff Ogilvy,62,19.08
134,135,135,Derek Lamely,81,19.05
135,136,136,Tim Herron,79,18.98
136,137,137,Heath Slocum,97,18.94
137,138,138,Briny Baird,87,18.84
138,139,139,Vance Veazey,58,18.75
139,140,140,Paul Casey,64,18.66
140,141,141,Bob Estes,79,18.63
141,142,142,Michael Bradley,77,18.56
142,143,143,Sean O'Hair,84,18.54
143,144,144,Jeev Milkha Singh,59,18.44
144,145,145,Jason Bohn,84,18.41
145,146,146,Tim Clark,88,18.32
146,147,147,Marc Leishman,87,18.29
147,148,148,Brian Gay,101,18.14
148,149,149,Mark Wilson,87,18.09
149,150,150,Shaun Micheel,70,18.08
150,151,151,Brad Faxon,58,18.06
151,152,152,Paul Goydos,78,17.99
152,153,153,Ryan Palmer,84,17.89
153,154,154,D.A. Points,90,17.81
154,155,155,Steve Stricker,73,17.72
155,156,156,Ben Curtis,78,17.65
156,157,157,Trevor Immelman,55,17.61
157,158,158,Luke Donald,71,17.53
158,T159,T159,Cameron Beckman,68,17.46
159,T159,T159,Brenden Pappas,66,17.46
160,161,161,Hunter Mahan,85,17.39
161,162,162,Mathew Goggin,85,17.37
162,T163,T163,Rich Barcelo,70,17.27
