,Stroke_Differential_Field_Average_RANK THIS WEEK,Stroke_Differential_Field_Average_RANK LAST WEEK,Stroke_Differential_Field_Average_PLAYER NAME,Stroke_Differential_Field_Average_ROUNDS,Stroke_Differential_Field_Average_STROKE DIFFERENTIAL,Stroke_Differential_Field_Average_PLAYER'S SCORE,Stroke_Differential_Field_Average_FIELD AVERAGE SCORE
0,1,1,Matt Kuchar,97,+1.59,69.43,71.02
1,2,2,Steve Stricker,73,+1.56,69.78,71.34
2,3,3,Phil Mickelson,76,+1.46,70.34,71.8
3,4,4,Ernie Els,72,+1.42,70.37,71.79
4,5,5,Paul Casey,64,+1.38,69.93,71.31
5,6,6,Retief Goosen,75,+1.35,69.96,71.31
6,7,7,Jim Furyk,76,+1.33,70.23,71.56
7,8,8,Luke Donald,71,+1.30,70.25,71.55
8,9,9,Dustin Johnson,83,+1.19,70.46,71.65
9,10,10,Bo Van Pelt,104,+1.18,70.07,71.25
10,11,11,Justin Rose,78,+1.12,69.92,71.04
11,12,12,K.J. Choi,82,+1.10,70.39,71.49
12,T13,T13,Robert Allenby,76,+1.03,70.53,71.56
13,T13,T13,J.B. Holmes,100,+1.03,70.22,71.25
14,T13,T13,Nick Watney,91,+1.03,70.41,71.44
15,16,16,Bubba Watson,77,+.94,70.21,71.15
16,17,17,Padraig Harrington,57,+.93,70.79,71.72
17,18,18,Rory McIlroy,54,+.92,70.94,71.86
18,19,19,Adam Scott,70,+.91,70.84,71.75
19,20,20,Bill Haas,87,+.89,70.22,71.11
20,21,21,Ben Crane,85,+.88,70.3,71.18
21,22,22,Tim Clark,88,+.86,70.31,71.17
22,23,23,Charley Hoffman,85,+.85,69.93,70.78
23,24,24,Steve Elkington,74,+.84,70.03,70.87
24,25,25,Charles Howell III,103,+.82,69.96,70.78
25,26,26,Brendon de Jonge,114,+.80,70.14,70.94
26,27,27,Stewart Cink,84,+.79,70.55,71.34
27,28,28,Brandt Snedeker,89,+.78,70.28,71.06
28,T29,T29,Jason Day,82,+.77,70.43,71.2
29,T29,T29,Rickie Fowler,98,+.77,70.35,71.12
30,31,31,Hunter Mahan,85,+.74,70.64,71.38
31,32,32,Kevin Na,94,+.73,70.04,70.77
32,T33,T33,Sean O'Hair,84,+.72,70.79,71.51
33,T33,T33,David Toms,86,+.72,70.18,70.9
34,T35,T35,Bryce Molder,84,+.71,70.35,71.06
35,T35,T35,Vijay Singh,75,+.71,70.69,71.4
36,37,37,Camilo Villegas,78,+.69,70.9,71.59
37,T38,T38,Freddie Jacobson,83,+.68,70.18,70.86
38,T38,T38,Charlie Wi,95,+.68,70.05,70.73
39,40,40,Dean Wilson,54,+.66,69.69,70.35
40,T41,T41,Ricky Barnes,103,+.65,70.47,71.12
41,T41,T41,Zach Johnson,93,+.65,70.59,71.24
42,T41,T41,Paul Stankowski,62,+.65,69.79,70.44
43,T44,T44,Tom Gillis,97,+.64,70.12,70.76
44,T44,T44,Heath Slocum,97,+.64,70.54,71.18
45,46,46,Spencer Levin,110,+.63,70.09,70.72
46,T47,T47,Shaun Micheel,70,+.62,70.57,71.19
47,T47,T47,Ryan Moore,80,+.62,70.68,71.3
48,49,49,Jeff Overton,89,+.59,70.34,70.93
49,50,50,John Senden,103,+.58,70.38,70.96
50,T51,T51,Geoff Ogilvy,62,+.57,70.8,71.37
51,T51,T51,Pat Perez,90,+.57,70.04,70.61
52,53,53,D.J. Trahan,92,+.55,70.37,70.92
53,54,54,Kevin Sutherland,86,+.54,70.16,70.7
54,T55,T55,Jonathan Byrd,85,+.53,70.13,70.66
55,T55,T55,Joe Durant,67,+.53,69.81,70.34
56,57,57,Carl Pettersson,99,+.52,70.33,70.85
57,T58,T58,Steve Marino,81,+.51,70.99,71.5
58,T58,T58,Chris Riley,73,+.51,70.04,70.55
59,T60,T60,Matt Jones,89,+.47,70.36,70.83
60,T60,T60,Justin Leonard,89,+.47,70.61,71.08
61,62,62,Chad Campbell,94,+.46,70.46,70.92
62,63,63,Vaughn Taylor,87,+.43,70.56,70.99
63,64,64,Stephen Ames,75,+.42,70.51,70.93
64,T65,T65,Kenny Perry,69,+.40,70.88,71.28
65,T65,T65,John Rollins,81,+.40,70.43,70.83
66,T65,T65,Kevin Streelman,90,+.40,70.48,70.88
67,T68,T68,Chad Collins,87,+.38,70.07,70.45
68,T68,T68,Graham DeLaet,88,+.38,70.1,70.48
69,T68,T68,Brian Gay,101,+.38,70.49,70.87
70,T68,T68,Tom Pernice Jr.,74,+.38,70.43,70.81
71,T72,T72,Ángel Cabrera,64,+.32,71.17,71.49
72,T72,T72,Greg Chalmers,93,+.32,70.27,70.59
73,T72,T72,Lucas Glover,75,+.32,71.03,71.35
74,T72,T72,Ryan Palmer,84,+.32,70.56,70.88
75,T76,T76,Jason Bohn,84,+.29,70.64,70.93
76,T76,T76,Ryuji Imada,90,+.29,70.43,70.72
77,T76,T76,Marc Leishman,87,+.29,70.83,71.12
78,79,79,Chris Couch,66,+.27,70.36,70.63
79,T80,T80,Briny Baird,87,+.26,70.26,70.52
80,T80,T80,J.J. Henry,92,+.26,70.48,70.74
81,T80,T80,Jerry Kelly,99,+.26,70.8,71.06
82,T80,T80,Webb Simpson,98,+.26,70.24,70.5
83,84,84,Scott Verplank,74,+.25,71.04,71.29
84,85,85,Michael Sim,64,+.24,70.48,70.72
85,T86,T86,Sergio Garcia,58,+.23,71.54,71.77
86,T86,T86,J.P. Hayes,79,+.23,70.52,70.75
87,T86,T86,Davis Love III,79,+.23,70.81,71.04
88,T89,T89,Ben Curtis,78,+.22,70.97,71.19
89,T89,T89,Jason Dufner,87,+.22,71.22,71.44
90,T91,T91,Jarrod Lyle,54,+.21,70.7,70.91
91,T91,T91,Alex Prugh,88,+.21,70.51,70.72
92,T93,T93,D.A. Points,90,+.20,70.79,70.99
93,T93,T93,Aron Price,70,+.20,70.26,70.46
94,T93,T93,Y.E. Yang,72,+.20,71.17,71.37
95,96,96,Jeev Milkha Singh,59,+.19,70.34,70.53
96,97,97,Charles Warren,64,+.18,70.53,70.71
97,98,98,Tim Petrovic,105,+.17,70.72,70.89
98,99,99,Brett Wetterich,54,+.16,70.44,70.6
99,T100,T100,Michael Connell,89,+.15,70.51,70.66
100,T100,T100,Scott McCarron,90,+.15,70.53,70.68
101,T100,T100,Andres Romero,73,+.15,70.75,70.9
102,T100,T100,Boo Weekley,88,+.15,70.48,70.63
103,104,104,Jeff Quinney,91,+.14,70.44,70.58
104,T105,T105,Will MacKenzie,72,+.13,70.72,70.85
105,T105,T105,Kevin Stadler,86,+.13,70.76,70.89
106,107,107,Jimmy Walker,82,+.12,70.77,70.89
107,108,108,Chris Stroud,90,+.11,70.67,70.78
108,T109,T109,Aaron Baddeley,94,+.08,70.61,70.69
109,T109,T109,Matt Every,60,+.08,70.68,70.76
110,T109,T109,Brett Quigley,96,+.08,70.69,70.77
111,T112,T112,Chris DiMarco,88,+.05,70.36,70.41
112,T112,T112,Mark Wilson,87,+.05,70.63,70.68
113,T114,T114,James Driscoll,78,+.03,70.64,70.67
114,T114,T114,Michael Letzig,84,+.03,70.5,70.53
115,T114,T114,John Merrick,109,+.03,70.72,70.75
116,T117,T117,Stuart Appleby,101,+.01,71.17,71.18
117,T117,T117,Martin Laird,91,+.01,70.82,70.83
118,T117,T117,Josh Teater,101,+.01,70.86,70.87
119,T117,T117,Johnson Wagner,85,+.01,70.92,70.93
120,121,121,Rory Sabbatini,79,E,71.17,71.17
121,122,122,Chris Tidland,77,-.01,70.91,70.9
122,123,123,Garrett Willis,82,-.02,70.7,70.68
123,124,124,Woody Austin,93,-.03,70.67,70.64
124,125,125,Alex Cejka,81,-.04,71.31,71.27
125,126,126,Scott Piercy,88,-.05,70.65,70.6
126,T127,T127,George McNeill,79,-.07,71.0,70.93
127,T127,T127,Ian Poulter,55,-.07,71.53,71.46
128,129,129,Trevor Immelman,55,-.09,71.36,71.27
129,130,130,Richard Johnson,90,-.10,70.68,70.58
130,131,131,John Mallinger,78,-.11,71.01,70.9
131,132,132,Troy Matteson,84,-.12,70.83,70.71
132,T133,T133,Bob Estes,79,-.13,70.75,70.62
133,T133,T133,Tim Herron,79,-.13,70.91,70.78
134,135,135,Kris Blanks,91,-.14,71.03,70.89
135,136,136,Blake Adams,84,-.17,70.69,70.52
136,T137,T137,Lee Janzen,77,-.19,70.81,70.62
137,T137,T137,James Nitties,92,-.19,70.83,70.64
138,T139,T139,Brian Davis,101,-.21,71.15,70.94
139,T139,T139,Joe Ogilvie,99,-.21,70.96,70.75
140,141,141,Robert Garrigus,71,-.25,70.82,70.57
141,T142,T142,Rocco Mediate,71,-.29,71.08,70.79
142,T142,T142,Jay Williamson,76,-.29,70.62,70.33
143,T144,T144,Michael Bradley,77,-.30,70.69,70.39
