,Par_4_Eagle_Leaders_RANK THIS WEEK,Par_4_Eagle_Leaders_RANK LAST WEEK,Par_4_Eagle_Leaders_PLAYER NAME,Par_4_Eagle_Leaders_ROUNDS,Par_4_Eagle_Leaders_TOTAL,Par_4_Eagle_Leaders_TOTAL PAR 4 HOLES,Par_4_Eagle_Leaders_TOTAL HOLE OUTS
0,T1,T1,Brendon de Jonge,114,4,1216,1.0
1,T1,T1,Lee Janzen,77,4,830,3.0
2,T1,T1,Adam Scott,70,4,728,1.0
3,T4,T4,Blake Adams,84,3,916,3.0
4,T4,T4,Aaron Baddeley,94,3,1011,3.0
5,T4,T4,Tim Clark,88,3,920,3.0
6,T4,T4,Billy Mayfair,78,3,841,1.0
7,T4,T4,Rory McIlroy,54,3,574,1.0
8,T4,T4,Rocco Mediate,71,3,762,3.0
9,T4,T4,Phil Mickelson,76,3,818,2.0
10,T4,T4,Jeff Overton,89,3,979,2.0
11,T4,T4,Alex Prugh,88,3,946,
12,T4,T4,John Rollins,81,3,883,2.0
13,T4,T4,Webb Simpson,98,3,1062,3.0
14,T15,T15,Robert Allenby,76,2,818,2.0
15,T15,T15,Alex Cejka,81,2,860,2.0
16,T15,T15,Stewart Cink,84,2,882,1.0
17,T15,T15,Chris DiMarco,88,2,943,1.0
18,T15,T15,Steve Flesch,78,2,822,1.0
19,T15,T15,Rickie Fowler,98,2,1062,2.0
20,T15,T15,Tom Gillis,97,2,1038,2.0
21,T15,T15,Paul Goydos,78,2,838,2.0
22,T15,T15,J.B. Holmes,100,2,1094,1.0
23,T15,T15,Ryuji Imada,90,2,976,2.0
24,T15,T15,Richard Johnson,90,2,993,2.0
25,T15,T15,Dustin Johnson,83,2,894,
26,T15,T15,Cliff Kresge,50,2,542,1.0
27,T15,T15,Matt Kuchar,97,2,1038,1.0
28,T15,T15,Martin Laird,91,2,990,1.0
29,T15,T15,Davis Love III,79,2,866,1.0
30,T15,T15,Steve Lowery,67,2,717,2.0
31,T15,T15,Will MacKenzie,72,2,781,1.0
32,T15,T15,Scott McCarron,90,2,962,2.0
33,T15,T15,George McNeill,79,2,858,2.0
34,T15,T15,Bryce Molder,84,2,900,1.0
35,T15,T15,Tom Pernice Jr.,74,2,814,
36,T15,T15,Kenny Perry,69,2,740,2.0
37,T15,T15,Carl Pettersson,99,2,1062,1.0
38,T15,T15,Scott Piercy,88,2,947,1.0
39,T15,T15,Brandt Snedeker,89,2,958,2.0
40,T15,T15,Josh Teater,101,2,1080,1.0
41,T15,T15,Mike Weir,59,2,612,1.0
42,T43,T43,Briny Baird,87,1,952,1.0
43,T43,T43,Kris Blanks,91,1,968,
44,T43,T43,Justin Bolli,55,1,588,1.0
45,T43,T43,Michael Bradley,77,1,832,1.0
46,T43,T43,Ángel Cabrera,64,1,694,
47,T43,T43,Mark Calcavecchia,50,1,544,1.0
48,T43,T43,Chad Campbell,94,1,1008,1.0
49,T43,T43,Paul Casey,64,1,652,
50,T43,T43,K.J. Choi,82,1,884,1.0
51,T43,T43,Chad Collins,87,1,947,1.0
52,T43,T43,Ben Crane,85,1,897,1.0
53,T43,T43,Brian Davis,101,1,1078,1.0
54,T43,T43,Jason Day,82,1,904,1.0
55,T43,T43,Graham DeLaet,88,1,956,1.0
56,T43,T43,Luke Donald,71,1,736,
57,T43,T43,James Driscoll,78,1,845,
58,T43,T43,Jason Dufner,87,1,932,1.0
59,T43,T43,Joe Durant,67,1,732,1.0
60,T43,T43,David Duval,71,1,751,
61,T43,T43,Ernie Els,72,1,760,1.0
62,T43,T43,Matt Every,60,1,640,
63,T43,T43,Robert Garrigus,71,1,776,1.0
64,T43,T43,Brian Gay,101,1,1067,1.0
65,T43,T43,Retief Goosen,75,1,782,
66,T43,T43,Tim Herron,79,1,856,1.0
67,T43,T43,Charles Howell III,103,1,1102,
68,T43,T43,Matt Jones,89,1,954,
69,T43,T43,Jerry Kelly,99,1,1072,1.0
70,T43,T43,Skip Kendall,58,1,626,
71,T43,T43,Justin Leonard,89,1,976,1.0
72,T43,T43,Michael Letzig,84,1,912,1.0
73,T43,T43,Bill Lunde,79,1,829,1.0
74,T43,T43,Jarrod Lyle,54,1,588,1.0
75,T43,T43,Jeff Maggert,76,1,823,1.0
76,T43,T43,Hunter Mahan,85,1,912,1.0
77,T43,T43,Steve Marino,81,1,874,1.0
78,T43,T43,Troy Matteson,84,1,912,1.0
79,T43,T43,Troy Merritt,86,1,926,1.0
80,T43,T43,Sean O'Hair,84,1,890,
81,T43,T43,Greg Owen,69,1,734,
82,T43,T43,Rod Pampling,77,1,818,1.0
83,T43,T43,Tim Petrovic,105,1,1134,
84,T43,T43,D.A. Points,90,1,970,1.0
85,T43,T43,Chris Riley,73,1,804,1.0
86,T43,T43,Andres Romero,73,1,787,
87,T43,T43,Vijay Singh,75,1,824,
88,T43,T43,Jeev Milkha Singh,59,1,614,
89,T43,T43,Brian Stuard,81,1,878,
90,T43,T43,Kevin Sutherland,86,1,912,1.0
91,T43,T43,Vaughn Taylor,87,1,928,1.0
92,T43,T43,Nicholas Thompson,88,1,938,
93,T43,T43,D.J. Trahan,92,1,987,1.0
94,T43,T43,Cameron Tringale,55,1,588,1.0
95,T43,T43,Vance Veazey,58,1,622,1.0
96,T43,T43,Scott Verplank,74,1,807,1.0
97,T43,T43,Camilo Villegas,78,1,792,
98,T43,T43,Charles Warren,64,1,694,
99,T43,T43,Nick Watney,91,1,954,1.0
100,T43,T43,Bubba Watson,77,1,830,
101,T43,T43,Boo Weekley,88,1,962,
102,T43,T43,Charlie Wi,95,1,1031,1.0
103,T43,T43,Jay Williamson,76,1,824,1.0
104,T43,T43,Garrett Willis,82,1,878,1.0
105,T43,T43,Chris Wilson,65,1,692,1.0
106,T43,T43,Y.E. Yang,72,1,778,1.0
