,Par_4_Scoring_Average_RANK THIS WEEK,Par_4_Scoring_Average_RANK LAST WEEK,Par_4_Scoring_Average_PLAYER NAME,Par_4_Scoring_Average_ROUNDS,Par_4_Scoring_Average_AVG,Par_4_Scoring_Average_TOTAL STROKES,Par_4_Scoring_Average_TOTAL HOLES
0,1,1,Joe Durant,67,3.95,2894,732
1,2,2,Matt Kuchar,97,3.96,4106,1038
2,T3,T3,Carl Pettersson,99,3.97,4212,1062
3,T3,T3,Dean Wilson,54,3.97,2350,592
4,T5,T5,Paul Casey,64,3.98,2595,652
5,T5,T5,Ernie Els,72,3.98,3024,760
6,T5,T5,Charlie Wi,95,3.98,4106,1031
7,T8,T8,Chris Couch,66,3.99,2812,704
8,T8,T8,Graham DeLaet,88,3.99,3810,956
9,T8,T8,Jim Furyk,76,3.99,3194,800
10,T8,T8,Retief Goosen,75,3.99,3123,782
11,T8,T8,Freddie Jacobson,83,3.99,3608,905
12,T8,T8,Rory McIlroy,54,3.99,2289,574
13,T8,T8,Bryce Molder,84,3.99,3589,900
14,T8,T8,Pat Perez,90,3.99,3875,970
15,T8,T8,Chris Riley,73,3.99,3209,804
16,T8,T8,Steve Stricker,73,3.99,3160,792
17,T8,T8,Bo Van Pelt,104,3.99,4549,1140
18,T19,T19,Ricky Barnes,103,4.0,4457,1114
19,T19,T19,Ben Crane,85,4.0,3584,897
20,T19,T19,Brendon de Jonge,114,4.0,4868,1216
21,T19,T19,Luke Donald,71,4.0,2947,736
22,T19,T19,Steve Elkington,74,4.0,3119,780
23,T19,T19,Charley Hoffman,85,4.0,3658,914
24,T19,T19,Charles Howell III,103,4.0,4408,1102
25,T19,T19,Kevin Na,94,4.0,4059,1015
26,T19,T19,Ryan Palmer,84,4.0,3591,898
27,T19,T19,John Rollins,81,4.0,3528,883
28,T19,T19,Justin Rose,78,4.0,3420,856
29,T19,T19,Jeev Milkha Singh,59,4.0,2459,614
30,T19,T19,Kevin Sutherland,86,4.0,3648,912
31,T19,T19,Nick Watney,91,4.0,3818,954
32,T33,T33,Stephen Ames,75,4.01,3215,802
33,T33,T33,Aaron Baddeley,94,4.01,4059,1011
34,T33,T33,Jonathan Byrd,85,4.01,3707,924
35,T33,T33,Greg Chalmers,93,4.01,3993,996
36,T33,T33,Tim Clark,88,4.01,3685,920
37,T33,T33,Chad Collins,87,4.01,3802,947
38,T33,T33,Michael Connell,89,4.01,3878,968
39,T33,T33,Chris DiMarco,88,4.01,3784,943
40,T33,T33,Matt Every,60,4.01,2565,640
41,T33,T33,Rickie Fowler,98,4.01,4256,1062
42,T33,T33,Brian Gay,101,4.01,4277,1067
43,T33,T33,J.B. Holmes,100,4.01,4383,1094
44,T33,T33,Spencer Levin,110,4.01,4774,1190
45,T33,T33,Scott McCarron,90,4.01,3861,962
46,T33,T33,Phil Mickelson,76,4.01,3282,818
47,T33,T33,Jeff Overton,89,4.01,3930,979
48,T33,T33,Jeff Quinney,91,4.01,3932,980
49,T33,T33,John Senden,103,4.01,4467,1114
50,T33,T33,Heath Slocum,97,4.01,4210,1050
51,T33,T33,Paul Stankowski,62,4.01,2720,678
52,T33,T33,Chris Stroud,90,4.01,3881,967
53,T33,T33,David Toms,86,4.01,3684,918
54,T33,T33,D.J. Trahan,92,4.01,3953,987
55,T33,T33,Bubba Watson,77,4.01,3327,830
56,T57,T57,Robert Allenby,76,4.02,3291,818
57,T57,T57,Chad Campbell,94,4.02,4051,1008
58,T57,T57,K.J. Choi,82,4.02,3555,884
59,T57,T57,Stewart Cink,84,4.02,3542,882
60,T57,T57,Bob Estes,79,4.02,3429,852
61,T57,T57,Bill Haas,87,4.02,3748,932
62,T57,T57,J.J. Henry,92,4.02,3990,993
63,T57,T57,Steve Marino,81,4.02,3513,874
64,T57,T57,Billy Mayfair,78,4.02,3379,841
65,T57,T57,Shaun Micheel,70,4.02,3062,762
66,T57,T57,Sean O'Hair,84,4.02,3582,890
67,T57,T57,Geoff Ogilvy,62,4.02,2607,648
68,T57,T57,Tom Pernice Jr.,74,4.02,3271,814
69,T57,T57,Kenny Perry,69,4.02,2973,740
70,T57,T57,Tim Petrovic,105,4.02,4556,1134
71,T57,T57,Andres Romero,73,4.02,3162,787
72,T57,T57,Michael Sim,64,4.02,2765,688
73,T57,T57,Webb Simpson,98,4.02,4272,1062
74,T57,T57,Brandt Snedeker,89,4.02,3852,958
75,T57,T57,Kevin Streelman,90,4.02,3890,968
76,T57,T57,Jimmy Walker,82,4.02,3524,876
77,T57,T57,Charles Warren,64,4.02,2789,694
78,T57,T57,Boo Weekley,88,4.02,3863,962
79,T57,T57,Brett Wetterich,54,4.02,2374,590
80,T57,T57,Jay Williamson,76,4.02,3316,824
81,T82,T82,Blake Adams,84,4.03,3688,916
82,T82,T82,Briny Baird,87,4.03,3841,952
83,T82,T82,Michael Bradley,77,4.03,3354,832
84,T82,T82,Jason Day,82,4.03,3642,904
85,T82,T82,Tom Gillis,97,4.03,4181,1038
86,T82,T82,Paul Goydos,78,4.03,3381,838
87,T82,T82,J.P. Hayes,79,4.03,3375,838
88,T82,T82,Zach Johnson,93,4.03,4040,1003
89,T82,T82,Richard Johnson,90,4.03,3997,993
90,T82,T82,Dustin Johnson,83,4.03,3602,894
91,T82,T82,Cliff Kresge,50,4.03,2186,542
92,T82,T82,Justin Leonard,89,4.03,3932,976
93,T82,T82,Jarrod Lyle,54,4.03,2369,588
94,T82,T82,Will MacKenzie,72,4.03,3147,781
95,T82,T82,Hunter Mahan,85,4.03,3677,912
96,T82,T82,Troy Matteson,84,4.03,3679,912
97,T82,T82,Alex Prugh,88,4.03,3809,946
98,T82,T82,Adam Scott,70,4.03,2932,728
99,T82,T82,Omar Uresti,74,4.03,3182,790
100,T82,T82,Y.E. Yang,72,4.03,3135,778
101,T102,T102,Jason Bohn,84,4.04,3625,898
102,T102,T102,Ángel Cabrera,64,4.04,2807,694
103,T102,T102,Ben Curtis,78,4.04,3469,859
104,T102,T102,James Driscoll,78,4.04,3412,845
105,T102,T102,Robert Garrigus,71,4.04,3134,776
106,T102,T102,Ryuji Imada,90,4.04,3942,976
107,T102,T102,Matt Jones,89,4.04,3851,954
108,T102,T102,Skip Kendall,58,4.04,2526,626
109,T102,T102,Martin Laird,91,4.04,4004,990
110,T102,T102,Ryan Moore,80,4.04,3455,856
111,T102,T102,Cameron Percy,73,4.04,3161,783
112,T102,T102,Scott Piercy,88,4.04,3822,947
113,T102,T102,D.A. Points,90,4.04,3915,970
114,T102,T102,Aron Price,70,4.04,3078,762
115,T102,T102,Brett Quigley,96,4.04,4130,1022
116,T102,T102,Rory Sabbatini,79,4.04,3359,831
117,T102,T102,Vijay Singh,75,4.04,3326,824
118,T102,T102,Kevin Stadler,86,4.04,3694,914
119,T102,T102,Vaughn Taylor,87,4.04,3746,928
120,T102,T102,Scott Verplank,74,4.04,3264,807
121,T102,T102,Camilo Villegas,78,4.04,3196,792
122,T102,T102,Johnson Wagner,85,4.04,3680,912
123,T102,T102,Garrett Willis,82,4.04,3543,878
124,T102,T102,Mark Wilson,87,4.04,3786,938
125,T126,T126,Cameron Beckman,68,4.05,3015,745
126,T126,T126,Kris Blanks,91,4.05,3922,968
127,T126,T126,Lucas Glover,75,4.05,3278,810
128,T126,T126,Mathias Grönberg,61,4.05,2691,664
129,T126,T126,Padraig Harrington,57,4.05,2461,608
130,T126,T126,Tim Herron,79,4.05,3471,856
131,T126,T126,Lee Janzen,77,4.05,3365,830
132,T126,T126,Jerry Kelly,99,4.05,4337,1072
133,T126,T126,Michael Letzig,84,4.05,3697,912
134,T126,T126,George McNeill,79,4.05,3476,858
135,T126,T126,John Merrick,109,4.05,4780,1180
136,T126,T126,James Nitties,92,4.05,3998,986
137,T126,T126,Joe Ogilvie,99,4.05,4301,1062
138,T126,T126,Brian Stuard,81,4.05,3559,878
139,T126,T126,Josh Teater,101,4.05,4376,1080
140,T126,T126,Nicholas Thompson,88,4.05,3802,938
141,T142,T142,Woody Austin,93,4.06,4048,998
142,T142,T142,Henrik Bjornstad,72,4.06,3120,768
143,T142,T142,Alex Cejka,81,4.06,3488,860
144,T142,T142,Brian Davis,101,4.06,4382,1078
145,T142,T142,Jason Dufner,87,4.06,3788,932
146,T142,T142,Sergio Garcia,58,4.06,2284,562
147,T142,T142,Trevor Immelman,55,4.06,2449,603
148,T142,T142,Marc Leishman,87,4.06,3922,966
149,T142,T142,Rocco Mediate,71,4.06,3090,762
150,T142,T142,Greg Owen,69,4.06,2978,734
151,T142,T142,Brenden Pappas,66,4.06,2852,702
152,T153,T153,Stuart Appleby,101,4.07,4476,1100
153,T153,T153,John Daly,63,4.07,2839,697
154,T153,T153,Brent Delahoussaye,57,4.07,2498,614
155,T153,T153,Mathew Goggin,85,4.07,3754,922
156,T153,T153,Nathan Green,86,4.07,3799,934
157,T153,T153,Davis Love III,79,4.07,3526,866
158,T153,T153,Jeff Maggert,76,4.07,3349,823
159,T153,T153,Rod Pampling,77,4.07,3332,818
160,T153,T153,Ian Poulter,55,4.07,2215,544
161,T153,T153,Chris Tidland,77,4.07,3360,826
162,T153,T153,Cameron Tringale,55,4.07,2395,588
163,T164,T164,Matt Bettencourt,91,4.08,3926,962
164,T164,T164,Jeff Gove,57,4.08,2491,610
165,T164,T164,Bill Lunde,79,4.08,3382,829
166,T164,T164,John Mallinger,78,4.08,3415,838
167,T164,T164,Troy Merritt,86,4.08,3776,926
168,T164,T164,Roger Tambellini,77,4.08,3358,824
169,T164,T164,Steve Wheatcroft,74,4.08,3234,792
170,T171,T171,Rich Barcelo,70,4.09,3102,758
171,T171,T171,Daniel Chopra,74,4.09,3229,789
172,T171,T171,Andrew McLardy,52,4.09,2281,558
173,T171,T171,Roland Thatcher,72,4.09,3162,774
174,T171,T171,Mike Weir,59,4.09,2502,612
175,T176,T176,Craig Bowden,56,4.1,2466,602
176,T176,T176,David Duval,71,4.1,3079,751
177,T176,T176,Steve Flesch,78,4.1,3373,822
178,T176,T176,Martin Flores,75,4.1,3269,798
179,T176,T176,Derek Lamely,81,4.1,3560,868
180,T176,T176,Ted Purdy,86,4.1,3773,920
181,T176,T176,Chris Wilson,65,4.1,2835,692
182,T183,T183,Kevin Johnson,62,4.11,2728,663
183,T183,T183,Steve Lowery,67,4.11,2947,717
184,T183,T183,Garth Mulroy,53,4.11,2317,564
185,T186,T186,David Lutterus,69,4.12,3040,738
186,T186,T186,Vance Veazey,58,4.12,2562,622
187,T188,T188,Justin Bolli,55,4.13,2427,588
188,T188,T188,Mark Calcavecchia,50,4.13,2244,544
189,190,190,Jerod Turner,54,4.14,2428,586
190,191,191,Greg Kraft,52,4.17,2317,556
191,192,192,Brad Faxon,58,4.19,2585,617
