,First_Tee_Late_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Scoring_Average_PLAYER NAME,First_Tee_Late_Scoring_Average_ROUNDS,First_Tee_Late_Scoring_Average_AVG,First_Tee_Late_Scoring_Average_TOTAL STROKES,First_Tee_Late_Scoring_Average_TOTAL 1ST TEE LATE ROUNDS
0,1,1,Michael Sim,64,69.05,1519,22
1,2,2,Jonathan Byrd,85,69.32,1733,25
2,3,3,Scott Verplank,74,69.5,1251,18
3,4,4,Steve Stricker,73,69.53,2781,40
4,5,5,Jeff Overton,89,69.55,2295,33
5,6,6,Scott Piercy,88,69.6,1392,20
6,7,7,Matt Kuchar,97,69.61,3063,44
7,8,8,Carl Pettersson,99,69.62,2019,29
8,9,9,Briny Baird,87,69.71,1673,24
9,10,10,Freddie Jacobson,83,69.74,1325,19
10,T11,T11,Cameron Beckman,68,69.8,1396,20
11,T11,T11,Vaughn Taylor,87,69.8,1396,20
12,T13,T13,Aaron Baddeley,94,69.81,1885,27
13,T13,T13,Aron Price,70,69.81,1885,27
14,15,15,Retief Goosen,75,69.83,2095,30
15,16,16,Paul Stankowski,62,69.88,1188,17
16,17,17,Martin Flores,75,69.9,1468,21
17,18,18,Spencer Levin,110,69.92,2517,36
18,19,19,Dean Wilson,54,69.95,1329,19
19,T20,T20,Graham DeLaet,88,69.97,2029,29
20,T20,T20,Kevin Na,94,69.97,2449,35
21,T22,T22,J.J. Henry,92,70.0,1330,19
22,T22,T22,Charlie Wi,95,70.0,2450,35
23,T24,T24,Brandt Snedeker,89,70.03,2101,30
24,T24,T24,David Toms,86,70.03,2171,31
25,T26,T26,Matt Jones,89,70.04,1891,27
26,T26,T26,Bubba Watson,77,70.04,1891,27
27,28,28,Scott McCarron,90,70.08,1682,24
28,29,29,Rickie Fowler,98,70.12,2875,41
29,30,30,Omar Uresti,74,70.13,1052,15
30,31,31,Josh Teater,101,70.14,1964,28
31,32,32,Chris Riley,73,70.16,1754,25
32,33,33,Tim Herron,79,70.19,1474,21
33,T34,T34,Kris Blanks,91,70.21,1966,28
34,T34,T34,Justin Rose,78,70.21,1966,28
35,36,36,Chris DiMarco,88,70.23,1545,22
36,37,37,D.J. Trahan,92,70.25,1967,28
37,T38,T38,Luke Donald,71,70.26,2389,34
38,T38,T38,D.A. Points,90,70.26,1897,27
39,40,40,Mark Wilson,87,70.27,1827,26
40,T41,T41,Chad Collins,87,70.29,1968,28
41,T41,T41,Jeev Milkha Singh,59,70.29,984,14
42,T41,T41,Bo Van Pelt,104,70.29,2952,42
43,44,44,Charles Howell III,103,70.3,2109,30
44,T45,T45,Brendon de Jonge,114,70.32,3094,44
45,T45,T45,Martin Laird,91,70.32,1969,28
46,T47,T47,Jason Bohn,84,70.35,1829,26
47,T47,T47,Lee Janzen,77,70.35,1407,20
48,T47,T47,Geoff Ogilvy,62,70.35,1829,26
