,Late_Scoring_Average_RANK THIS WEEK,Late_Scoring_Average_RANK LAST WEEK,Late_Scoring_Average_PLAYER NAME,Late_Scoring_Average_ROUNDS,Late_Scoring_Average_AVG,Late_Scoring_Average_TOTAL STROKES,Late_Scoring_Average_TOTAL LATE ROUNDS
0,1,1,Steve Stricker,73,69.6,2923,42
1,2,2,Retief Goosen,75,69.65,2577,37
2,3,3,Joe Durant,67,69.67,2299,33
3,4,4,Jonathan Byrd,85,69.79,3001,43
4,5,5,Matt Kuchar,97,69.8,3769,54
5,6,6,Brandt Snedeker,89,69.84,3073,44
6,7,7,Jeff Overton,89,69.87,3284,47
7,8,8,Spencer Levin,110,69.89,3774,54
8,T9,T9,Charles Howell III,103,69.96,3148,45
9,T9,T9,Charlie Wi,95,69.96,3218,46
10,11,11,Brendon de Jonge,114,69.97,4408,63
11,T12,T12,Paul Stankowski,62,70.0,1890,27
12,T12,T12,Dean Wilson,54,70.0,1750,25
13,14,14,Bo Van Pelt,104,70.04,3712,53
14,15,15,Kevin Na,94,70.06,3433,49
15,16,16,Jason Bohn,84,70.08,2803,40
16,T17,T17,Bill Haas,87,70.1,3575,51
17,T17,T17,Scott Piercy,88,70.1,2804,40
18,19,19,Paul Casey,64,70.14,2525,36
19,20,20,Nick Watney,91,70.15,3297,47
20,21,21,Justin Rose,78,70.16,2596,37
21,22,22,D.A. Points,90,70.17,2877,41
22,T23,T23,Chris Couch,66,70.18,2667,38
23,T23,T23,Steve Elkington,74,70.18,2667,38
24,25,25,Michael Sim,64,70.19,2597,37
25,26,26,Ben Crane,85,70.23,2458,35
26,T27,T27,Chad Collins,87,70.26,3021,43
27,T27,T27,Carl Pettersson,99,70.26,3513,50
28,29,29,Aron Price,70,70.27,2881,41
29,T30,T30,Tom Gillis,97,70.28,3303,47
30,T30,T30,Shaun Micheel,70,70.28,2741,39
31,32,32,John Rollins,81,70.32,2883,41
32,33,33,Rickie Fowler,98,70.33,3657,52
33,T34,T34,Ernie Els,72,70.35,2603,37
34,T34,T34,David Toms,86,70.35,3025,43
35,36,36,Charley Hoffman,85,70.36,3096,44
36,T37,T37,Michael Connell,89,70.38,2956,42
37,T37,T37,Kenny Perry,69,70.38,2604,37
38,T37,T37,Chris Riley,73,70.38,2604,37
39,T37,T37,Bubba Watson,77,70.38,2604,37
40,T41,T41,Robert Allenby,76,70.39,2886,41
41,T41,T41,Vaughn Taylor,87,70.39,2886,41
42,43,43,Aaron Baddeley,94,70.4,3168,45
43,44,44,Scott Verplank,74,70.41,2253,32
44,45,45,Luke Donald,71,70.42,3028,43
45,46,46,J.P. Hayes,79,70.43,2606,37
46,47,47,Briny Baird,87,70.44,2888,41
47,T48,T48,Ricky Barnes,103,70.45,3734,53
48,T48,T48,J.B. Holmes,100,70.45,3311,47
49,T48,T48,Geoff Ogilvy,62,70.45,2325,33
50,51,51,Chad Campbell,94,70.46,2889,41
51,T52,T52,Freddie Jacobson,83,70.47,2396,34
52,T52,T52,D.J. Trahan,92,70.47,3453,49
53,54,54,Johnson Wagner,85,70.48,2960,42
54,T55,T55,Richard Johnson,90,70.5,3102,44
55,T55,T55,Brett Quigley,96,70.5,2820,40
56,T57,T57,Matt Jones,89,70.51,3173,45
57,T57,T57,Pat Perez,90,70.51,2891,41
58,59,59,John Senden,103,70.52,3949,56
59,T60,T60,K.J. Choi,82,70.53,3033,43
60,T60,T60,Jim Furyk,76,70.53,3033,43
61,T60,T60,Ryuji Imada,90,70.53,3033,43
62,T63,T63,Kris Blanks,91,70.55,3598,51
63,T63,T63,Chris DiMarco,88,70.55,2822,40
64,T63,T63,Andres Romero,73,70.55,2328,33
65,66,66,Mark Wilson,87,70.56,2893,41
66,T67,T67,Tim Herron,79,70.6,2824,40
67,T67,T67,Ryan Moore,80,70.6,3036,43
68,T67,T67,Webb Simpson,98,70.6,3389,48
69,70,70,Heath Slocum,97,70.61,3248,46
70,T71,T71,Blake Adams,84,70.63,2825,40
71,T71,T71,Tim Clark,88,70.63,3037,43
72,T71,T71,J.J. Henry,92,70.63,2896,41
73,T71,T71,Bryce Molder,84,70.63,3249,46
