,Early_Scoring_Average_RANK THIS WEEK,Early_Scoring_Average_RANK LAST WEEK,Early_Scoring_Average_PLAYER NAME,Early_Scoring_Average_ROUNDS,Early_Scoring_Average_AVG,Early_Scoring_Average_TOTAL STROKES,Early_Scoring_Average_TOTAL EARLY ROUNDS
0,1,1,Matt Kuchar,97,68.95,2827,41
1,2,2,Kevin Sutherland,86,69.36,2913,42
2,3,3,Dean Wilson,54,69.41,2013,29
3,4,4,Charley Hoffman,85,69.46,2848,41
4,5,5,Graham DeLaet,88,69.52,3059,44
5,6,6,Paul Casey,64,69.59,1531,22
6,7,7,Paul Stankowski,62,69.63,2437,35
7,8,8,Pat Perez,90,69.65,3413,49
8,9,9,Phil Mickelson,76,69.68,2160,31
9,10,10,Chris Riley,73,69.69,2509,36
10,11,11,Justin Rose,78,69.71,2858,41
11,12,12,Jim Furyk,76,69.81,2164,31
12,T13,T13,Greg Chalmers,93,69.82,3421,49
13,T13,T13,Dustin Johnson,83,69.82,2374,34
14,15,15,Michael Letzig,84,69.85,3213,46
15,16,16,Steve Elkington,74,69.86,2515,36
16,17,17,Chad Collins,87,69.89,3075,44
17,18,18,Webb Simpson,98,69.9,3495,50
18,19,19,Stephen Ames,75,69.92,2727,39
19,T20,T20,Joe Durant,67,69.94,2378,34
20,T20,T20,Charles Warren,64,69.94,2238,32
21,22,22,Vijay Singh,75,69.95,2658,38
22,23,23,Luke Donald,71,69.96,1749,25
23,24,24,Charles Howell III,103,69.97,4058,58
24,T25,T25,Tim Clark,88,69.98,2939,42
25,T25,T25,Tom Gillis,97,69.98,3499,50
26,T25,T25,Freddie Jacobson,83,69.98,3429,49
27,T28,T28,Bryce Molder,84,70.0,2660,38
28,T28,T28,David Toms,86,70.0,2940,42
29,T30,T30,J.B. Holmes,100,70.02,3711,53
30,T30,T30,Kevin Na,94,70.02,3081,44
31,T32,T32,Cameron Percy,73,70.03,2451,35
32,T32,T32,Steve Stricker,73,70.03,2101,30
33,T34,T34,Tom Pernice Jr.,74,70.05,2662,38
34,T34,T34,Bubba Watson,77,70.05,2802,40
35,T36,T36,Brian Gay,101,70.06,3713,53
36,T36,T36,Jeev Milkha Singh,59,70.06,2312,33
37,38,38,Boo Weekley,88,70.07,3153,45
38,39,39,Brett Wetterich,54,70.08,1752,25
39,40,40,Bo Van Pelt,104,70.1,3575,51
40,41,41,Briny Baird,87,70.11,3225,46
41,42,42,Jeff Quinney,91,70.12,3436,49
42,43,43,Charlie Wi,95,70.14,3437,49
43,44,44,Steve Marino,81,70.16,2596,37
44,45,45,Padraig Harrington,57,70.17,1684,24
45,46,46,Jason Day,82,70.18,2667,38
46,47,47,Alex Prugh,88,70.19,3018,43
47,48,48,Matt Jones,89,70.2,3089,44
48,T49,T49,Chris DiMarco,88,70.21,3370,48
49,T49,T49,John Senden,103,70.21,3300,47
50,T51,T51,K.J. Choi,82,70.23,2739,39
51,T51,T51,Stewart Cink,84,70.23,2809,40
52,53,53,Aron Price,70,70.24,2037,29
53,54,54,D.J. Trahan,92,70.26,3021,43
