,Birdie_Average_RANK THIS WEEK,Birdie_Average_RANK LAST WEEK,Birdie_Average_PLAYER NAME,Birdie_Average_ROUNDS,Birdie_Average_AVG,Birdie_Average_# OF BIRDIES,Birdie_Average_TOTAL ROUNDS
0,1,1,Tom Gillis,97,4.06,394,97
1,2,2,Paul Stankowski,62,4.03,250,62
2,3,3,Chris Couch,66,4.02,265,66
3,4,4,Nick Watney,91,4.01,353,88
4,5,5,Matt Every,60,4.0,240,60
5,6,6,Matt Kuchar,97,3.97,377,95
6,7,7,Charley Hoffman,85,3.95,336,85
7,T8,T8,Dustin Johnson,83,3.94,323,82
8,T8,T8,Bubba Watson,77,3.94,303,77
9,10,10,Kevin Streelman,90,3.93,354,90
10,T11,T11,Geoff Ogilvy,62,3.92,235,60
11,T11,T11,Ryan Palmer,84,3.92,329,84
12,T13,T13,Pat Perez,90,3.9,351,90
13,T13,T13,Rory Sabbatini,79,3.9,304,78
14,T15,T15,Phil Mickelson,76,3.89,296,76
15,T15,T15,Steve Stricker,73,3.89,280,72
16,17,17,Paul Casey,64,3.88,225,58
17,18,18,Justin Rose,78,3.87,302,78
18,T19,T19,Graham DeLaet,88,3.86,340,88
19,T19,T19,Bo Van Pelt,104,3.86,401,104
20,T21,T21,Robert Garrigus,71,3.82,271,71
21,T21,T21,Scott Piercy,88,3.82,336,88
22,T21,T21,Brandt Snedeker,89,3.82,340,89
23,24,24,J.B. Holmes,100,3.81,381,100
24,25,25,D.J. Trahan,92,3.8,350,92
25,T26,T26,Ben Crane,85,3.79,311,82
26,T26,T26,Ernie Els,72,3.79,265,70
27,T26,T26,Zach Johnson,93,3.79,345,91
28,29,29,Kevin Stadler,86,3.78,325,86
29,T30,T30,Steve Marino,81,3.77,305,81
30,T30,T30,Charles Warren,64,3.77,241,64
31,T32,T32,Aaron Baddeley,94,3.76,353,94
32,T32,T32,Brendon de Jonge,114,3.76,429,114
33,T32,T32,Troy Merritt,86,3.76,323,86
34,T32,T32,Jeff Overton,89,3.76,335,89
35,T36,T36,Retief Goosen,75,3.75,266,71
36,T36,T36,Kevin Na,94,3.75,349,93
37,T36,T36,Jeff Quinney,91,3.75,341,91
38,T36,T36,John Rollins,81,3.75,304,81
39,T40,T40,Vaughn Taylor,87,3.74,325,87
40,T40,T40,David Toms,86,3.74,318,85
41,T42,T42,Robert Allenby,76,3.73,276,74
42,T42,T42,George McNeill,79,3.73,295,79
43,44,44,Lucas Glover,75,3.72,275,74
44,T45,T45,Bill Haas,87,3.71,323,87
45,T45,T45,J.P. Hayes,79,3.71,293,79
46,T45,T45,Matt Jones,89,3.71,330,89
47,T45,T45,Y.E. Yang,72,3.71,260,70
48,T49,T49,Aron Price,70,3.7,259,70
49,T49,T49,Alex Prugh,88,3.7,326,88
50,T49,T49,Garrett Willis,82,3.7,303,82
51,52,52,Spencer Levin,110,3.69,406,110
52,T53,T53,John Daly,63,3.68,232,63
53,T53,T53,Webb Simpson,98,3.68,361,98
54,T55,T55,Henrik Bjornstad,72,3.67,264,72
55,T55,T55,Jason Day,82,3.67,301,82
56,T55,T55,Michael Letzig,84,3.67,308,84
57,T55,T55,Bryce Molder,84,3.67,308,84
58,T55,T55,Ryan Moore,80,3.67,290,79
59,60,60,Jonathan Byrd,85,3.66,311,85
60,T61,T61,Stewart Cink,84,3.65,292,80
61,T61,T61,Paul Goydos,78,3.65,285,78
62,T61,T61,Freddie Jacobson,83,3.65,303,83
63,T64,T64,Jim Furyk,76,3.64,269,74
64,T64,T64,Chris Stroud,90,3.64,328,90
65,T66,T66,Adam Scott,70,3.63,247,68
66,T66,T66,Jimmy Walker,82,3.63,298,82
67,T66,T66,Brett Wetterich,54,3.63,196,54
68,T69,T69,Jason Bohn,84,3.62,304,84
69,T69,T69,K.J. Choi,82,3.62,297,82
70,T69,T69,Cameron Percy,73,3.62,264,73
71,T72,T72,Ricky Barnes,103,3.61,372,103
72,T72,T72,Martin Flores,75,3.61,271,75
73,T72,T72,James Nitties,92,3.61,332,92
74,T72,T72,Charlie Wi,95,3.61,343,95
75,T76,T76,Mark Calcavecchia,50,3.6,180,50
76,T76,T76,Joe Durant,67,3.6,241,67
77,T76,T76,Rickie Fowler,98,3.6,353,98
78,T76,T76,Marc Leishman,87,3.6,313,87
79,80,80,Vijay Singh,75,3.58,265,74
80,81,81,Chris Tidland,77,3.57,275,77
81,T82,T82,Justin Leonard,89,3.56,313,88
82,T82,T82,Michael Sim,64,3.56,224,63
83,T82,T82,Dean Wilson,54,3.56,192,54
84,T85,T85,John Merrick,109,3.55,387,109
85,T85,T85,John Senden,103,3.55,366,103
86,T87,T87,Michael Connell,89,3.54,315,89
87,T87,T87,Luke Donald,71,3.54,241,68
88,T87,T87,David Duval,71,3.54,251,71
89,T87,T87,Sergio Garcia,58,3.54,184,52
90,T87,T87,Hunter Mahan,85,3.54,297,84
91,T87,T87,Carl Pettersson,99,3.54,350,99
92,T87,T87,Johnson Wagner,85,3.54,301,85
93,T94,T94,Stephen Ames,75,3.53,261,74
94,T94,T94,Greg Chalmers,93,3.53,328,93
95,T94,T94,Charles Howell III,103,3.53,364,103
96,97,97,Tim Clark,88,3.52,299,85
97,T98,T98,Blake Adams,84,3.51,295,84
98,T98,T98,Ángel Cabrera,64,3.51,221,63
99,T98,T98,Chad Campbell,94,3.51,326,93
100,T98,T98,Davis Love III,79,3.51,277,79
101,T98,T98,Andres Romero,73,3.51,256,73
102,T98,T98,Steve Wheatcroft,74,3.51,260,74
103,T104,T104,Ryuji Imada,90,3.5,315,90
104,T104,T104,Tim Petrovic,105,3.5,367,105
105,T104,T104,Camilo Villegas,78,3.5,252,72
106,T107,T107,Martin Laird,91,3.49,318,91
107,T107,T107,Joe Ogilvie,99,3.49,346,99
108,T107,T107,Brett Quigley,96,3.49,335,96
109,T110,T110,Woody Austin,93,3.48,324,93
110,T110,T110,Chad Collins,87,3.48,303,87
111,T110,T110,Mathias Grönberg,61,3.48,212,61
112,T110,T110,Heath Slocum,97,3.48,338,97
113,T114,T114,James Driscoll,78,3.47,271,78
114,T114,T114,Will MacKenzie,72,3.47,250,72
115,T114,T114,Shaun Micheel,70,3.47,243,70
116,T114,T114,D.A. Points,90,3.47,312,90
117,T114,T114,Nicholas Thompson,88,3.47,305,88
118,119,119,Jarrod Lyle,54,3.46,187,54
119,120,120,Jay Williamson,76,3.45,262,76
120,T121,T121,Rory McIlroy,54,3.44,179,52
121,T121,T121,Kevin Sutherland,86,3.44,296,86
122,T121,T121,Josh Teater,101,3.44,347,101
123,T124,T124,Steve Elkington,74,3.43,254,74
124,T124,T124,Jerry Kelly,99,3.43,340,99
125,T126,T126,Michael Bradley,77,3.42,263,77
126,T126,T126,Lee Janzen,77,3.42,263,77
127,T126,T126,Tom Pernice Jr.,74,3.42,253,74
128,T126,T126,Scott Verplank,74,3.42,250,73
129,T130,T130,Brian Gay,101,3.41,334,98
130,T130,T130,Jeff Maggert,76,3.41,259,76
131,T130,T130,John Mallinger,78,3.41,266,78
132,133,133,Scott McCarron,90,3.4,306,90
133,134,134,Tim Herron,79,3.39,268,79
134,T135,T135,Greg Owen,69,3.38,233,69
135,T135,T135,Brian Stuard,81,3.38,274,81
136,T137,T137,Matt Bettencourt,91,3.37,307,91
137,T137,T137,Kris Blanks,91,3.37,307,91
138,T139,T139,Jason Dufner,87,3.36,292,87
139,T139,T139,Padraig Harrington,57,3.36,188,56
140,T139,T139,Skip Kendall,58,3.36,195,58
141,T139,T139,Chris Riley,73,3.36,245,73
142,T139,T139,Mark Wilson,87,3.36,292,87
143,144,144,Brenden Pappas,66,3.35,221,66
144,T145,T145,Garth Mulroy,53,3.34,177,53
145,T145,T145,Boo Weekley,88,3.34,294,88
146,147,147,Bob Estes,79,3.32,262,79
147,T148,T148,Daniel Chopra,74,3.31,245,74
148,T148,T148,Chris DiMarco,88,3.31,291,88
149,T148,T148,Derek Lamely,81,3.31,268,81
150,T151,T151,Stuart Appleby,101,3.3,333,101
151,T151,T151,J.J. Henry,92,3.3,304,92
152,T151,T151,Troy Matteson,84,3.3,277,84
153,T154,T154,Cameron Beckman,68,3.29,224,68
154,T154,T154,Sean O'Hair,84,3.29,270,82
155,T154,T154,Ted Purdy,86,3.29,283,86
156,157,157,Alex Cejka,81,3.28,266,81
157,T158,T158,Steve Flesch,78,3.27,255,78
158,T158,T158,Cameron Tringale,55,3.27,180,55
159,160,160,Brian Davis,101,3.26,329,101
160,T161,T161,Briny Baird,87,3.24,282,87
161,T161,T161,Nathan Green,86,3.24,279,86
162,163,163,Richard Johnson,90,3.22,290,90
163,164,164,Jeev Milkha Singh,59,3.2,179,56
164,T165,T165,Rich Barcelo,70,3.19,223,70
165,T165,T165,Brad Faxon,58,3.19,185,58
166,T165,T165,Mathew Goggin,85,3.19,271,85
167,T165,T165,Billy Mayfair,78,3.19,249,78
168,T165,T165,Jerod Turner,54,3.19,172,54
169,170,170,Steve Lowery,67,3.18,213,67
170,171,171,Chris Wilson,65,3.17,206,65
171,172,172,Kenny Perry,69,3.16,215,68
172,173,173,Roland Thatcher,72,3.15,227,72
173,T174,T174,Ian Poulter,55,3.14,154,49
174,T174,T174,Roger Tambellini,77,3.14,242,77
175,T174,T174,Mike Weir,59,3.14,179,57
176,177,177,Bill Lunde,79,3.13,247,79
177,178,178,Andrew McLardy,52,3.12,162,52
178,179,179,Vance Veazey,58,3.09,179,58
179,T180,T180,Ben Curtis,78,3.08,240,78
180,T180,T180,Cliff Kresge,50,3.08,154,50
181,182,182,Kevin Johnson,62,3.06,190,62
182,T183,T183,David Lutterus,69,3.03,209,69
183,T183,T183,Rocco Mediate,71,3.03,215,71
184,T183,T183,Rod Pampling,77,3.03,233,77
185,186,186,Omar Uresti,74,2.99,221,74
186,T187,T187,Brent Delahoussaye,57,2.95,168,57
187,T187,T187,Trevor Immelman,55,2.95,162,55
188,189,189,Jeff Gove,57,2.88,164,57
189,190,190,Justin Bolli,55,2.82,155,55
190,191,191,Craig Bowden,56,2.8,157,56
191,192,192,Greg Kraft,52,2.79,145,52
