,Front_9_Round_4_Scoring_Average_RANK THIS WEEK,Front_9_Round_4_Scoring_Average_RANK LAST WEEK,Front_9_Round_4_Scoring_Average_PLAYER NAME,Front_9_Round_4_Scoring_Average_AVG,Front_9_Round_4_Scoring_Average_TOTAL STROKES,Front_9_Round_4_Scoring_Average_TOTAL ROUNDS
0,1,1,Ben Crane,33.61,605,18
1,2,2,Dean Wilson,33.89,305,9
2,3,3,Ian Poulter,34.1,341,10
3,T4,T4,Graham DeLaet,34.2,513,15
4,T4,T4,Mark Wilson,34.2,513,15
5,6,6,Michael Sim,34.25,411,12
6,7,7,Jeff Quinney,34.31,549,16
7,8,8,Bob Estes,34.42,413,12
8,T9,T9,Briny Baird,34.44,551,16
9,T9,T9,Freddie Jacobson,34.44,551,16
10,T11,T11,Ernie Els,34.5,552,16
11,T11,T11,Bryce Molder,34.5,552,16
12,13,13,Justin Rose,34.53,587,17
13,14,14,Brett Wetterich,34.55,380,11
14,15,15,Daniel Chopra,34.56,311,9
15,16,16,Charles Howell III,34.57,795,23
16,17,17,Chris Riley,34.58,415,12
17,18,18,Vaughn Taylor,34.59,588,17
18,T19,T19,Jeev Milkha Singh,34.6,346,10
19,T19,T19,Kevin Stadler,34.6,519,15
20,21,21,Blake Adams,34.63,554,16
21,22,22,Matt Kuchar,34.64,762,22
22,23,23,Marc Leishman,34.65,589,17
23,T24,T24,Steve Elkington,34.67,520,15
24,T24,T24,J.J. Henry,34.67,624,18
25,T24,T24,Garrett Willis,34.67,520,15
26,27,27,Webb Simpson,34.71,590,17
27,28,28,Andres Romero,34.73,521,15
28,T29,T29,Retief Goosen,34.76,591,17
29,T29,T29,Kevin Streelman,34.76,591,17
30,T31,T31,Paul Casey,34.77,452,13
31,T31,T31,Billy Mayfair,34.77,452,13
32,T31,T31,Rory Sabbatini,34.77,452,13
33,T34,T34,Brian Davis,34.78,626,18
34,T34,T34,David Toms,34.78,626,18
35,36,36,Ryan Palmer,34.79,487,14
36,37,37,Bill Lunde,34.8,348,10
37,T38,T38,Robert Allenby,34.82,592,17
38,T38,T38,Rory McIlroy,34.82,383,11
39,T40,T40,Stewart Cink,34.83,627,18
40,T40,T40,Pat Perez,34.83,627,18
41,T42,T42,Aaron Baddeley,34.85,697,20
42,T42,T42,Ángel Cabrera,34.85,453,13
43,T42,T42,Jimmy Walker,34.85,453,13
44,45,45,Luke Donald,34.87,523,15
45,T46,T46,Jonathan Byrd,34.88,558,16
46,T46,T46,Sean O'Hair,34.88,558,16
47,T46,T46,Joe Ogilvie,34.88,558,16
48,T46,T46,Scott Verplank,34.88,558,16
49,T46,T46,Bubba Watson,34.88,558,16
50,51,51,Bill Haas,34.89,628,18
51,T52,T52,Rickie Fowler,34.95,734,21
52,T52,T52,Tim Petrovic,34.95,699,20
53,T52,T52,Brett Quigley,34.95,664,19
54,T55,T55,Cameron Beckman,35.0,280,8
55,T55,T55,Michael Bradley,35.0,490,14
56,T55,T55,Chad Collins,35.0,560,16
57,T55,T55,David Duval,35.0,385,11
58,T55,T55,Tom Gillis,35.0,735,21
59,T55,T55,Charley Hoffman,35.0,630,18
60,T55,T55,Kevin Johnson,35.0,175,5
61,T55,T55,Scott McCarron,35.0,560,16
62,T55,T55,Aron Price,35.0,455,13
