,Par_3_Birdie_or_Better_Leaders_RANK THIS WEEK,Par_3_Birdie_or_Better_Leaders_RANK LAST WEEK,Par_3_Birdie_or_Better_Leaders_PLAYER NAME,Par_3_Birdie_or_Better_Leaders_ROUNDS,Par_3_Birdie_or_Better_Leaders_%,Par_3_Birdie_or_Better_Leaders_PAR 3 BIRDIES OR BETTER,Par_3_Birdie_or_Better_Leaders_PAR 3 HOLES
0,1,1,Michael Letzig,84,18.66,64,343
1,2,2,David Duval,71,18.28,53,290
2,3,3,Tom Gillis,97,18.23,72,395
3,4,4,Paul Stankowski,62,18.0,45,250
4,5,5,David Toms,86,17.92,62,346
5,6,6,Pat Perez,90,17.91,65,363
6,7,7,Derek Lamely,81,17.82,59,331
7,8,8,Shaun Micheel,70,17.5,49,280
8,9,9,Steve Stricker,73,17.14,48,280
9,10,10,Paul Casey,64,17.12,38,222
10,11,11,Aron Price,70,17.02,48,282
11,12,12,Marc Leishman,87,17.01,58,341
12,13,13,Zach Johnson,93,16.9,60,355
13,14,14,Brad Faxon,58,16.81,40,238
14,15,15,Chad Campbell,94,16.71,63,377
15,16,16,Tim Clark,88,16.62,57,343
16,17,17,Charles Warren,64,16.28,42,258
17,18,18,Michael Bradley,77,16.23,50,308
18,19,19,Martin Flores,75,16.07,49,305
19,20,20,Jason Day,82,16.0,52,325
20,21,21,Matt Jones,89,15.89,58,365
21,22,22,Freddie Jacobson,83,15.87,53,334
22,23,23,Dustin Johnson,83,15.67,50,319
23,24,24,Jeff Overton,89,15.63,55,352
24,T25,T25,Ryuji Imada,90,15.62,57,365
25,T25,T25,Kevin Streelman,90,15.62,57,365
26,27,27,Michael Sim,64,15.6,39,250
27,28,28,Chris Tidland,77,15.53,48,309
28,29,29,Nathan Green,86,15.52,54,348
29,30,30,Lee Janzen,77,15.51,49,316
30,31,31,J.P. Hayes,79,15.48,50,323
31,32,32,Jeff Quinney,91,15.47,58,375
32,33,33,Jason Bohn,84,15.45,53,343
33,34,34,Chris DiMarco,88,15.43,56,363
34,35,35,Spencer Levin,110,15.37,69,449
35,36,36,Chris Couch,66,15.3,41,268
36,37,37,Brian Davis,101,15.29,63,412
37,38,38,Robert Allenby,76,15.28,44,288
38,39,39,Kevin Na,94,15.24,57,374
39,40,40,Steve Lowery,67,15.22,42,276
40,41,41,Vance Veazey,58,15.19,36,237
41,T42,T42,Jim Furyk,76,15.15,45,297
42,T42,T42,D.A. Points,90,15.15,55,363
43,44,44,Brett Wetterich,54,15.14,33,218
44,45,45,Brenden Pappas,66,15.13,41,271
45,46,46,John Daly,63,15.08,38,252
46,47,47,Brandt Snedeker,89,15.07,55,365
47,48,48,Ryan Moore,80,15.02,47,313
48,49,49,Dean Wilson,54,15.0,33,220
49,50,50,Charlie Wi,95,14.91,58,389
50,51,51,Greg Chalmers,93,14.88,57,383
51,52,52,Rickie Fowler,98,14.87,58,390
52,53,53,Mike Weir,59,14.85,34,229
53,54,54,Steve Marino,81,14.83,47,317
54,T55,T55,Troy Merritt,86,14.81,52,351
55,T55,T55,Mark Wilson,87,14.81,52,351
56,57,57,Brian Stuard,81,14.8,49,331
57,58,58,Hunter Mahan,85,14.71,49,333
58,59,59,Greg Kraft,52,14.62,31,212
59,60,60,Scott Piercy,88,14.61,52,356
60,61,61,K.J. Choi,82,14.59,48,329
61,T62,T62,Brian Gay,101,14.58,57,391
62,T62,T62,Bryce Molder,84,14.58,50,343
63,64,64,Brendon de Jonge,114,14.56,68,467
64,65,65,Craig Bowden,56,14.54,33,227
65,66,66,Jeff Maggert,76,14.52,45,310
66,T67,T67,Tim Petrovic,105,14.45,61,422
67,T67,T67,Vaughn Taylor,87,14.45,51,353
68,69,69,Geoff Ogilvy,62,14.41,34,236
69,T70,T70,Davis Love III,79,14.38,45,313
70,T70,T70,Justin Rose,78,14.38,45,313
71,72,72,Scott McCarron,90,14.32,53,370
72,73,73,David Lutterus,69,14.29,40,280
73,74,74,Andres Romero,73,14.24,42,295
74,75,75,Nick Watney,91,14.2,49,345
75,76,76,Jay Williamson,76,14.19,44,310
76,77,77,Adam Scott,70,14.13,38,269
77,78,78,Garrett Willis,82,14.07,47,334
78,79,79,Henrik Bjornstad,72,13.99,41,293
79,80,80,Woody Austin,93,13.95,53,380
80,81,81,Scott Verplank,74,13.94,40,287
81,T82,T82,Michael Connell,89,13.93,50,359
82,T82,T82,Alex Prugh,88,13.93,50,359
83,84,84,Bill Haas,87,13.92,49,352
84,85,85,Greg Owen,69,13.83,39,282
85,86,86,Briny Baird,87,13.8,49,355
86,87,87,Kevin Stadler,86,13.79,48,348
87,88,88,Mathias Grönberg,61,13.77,34,247
88,89,89,Graham DeLaet,88,13.73,49,357
89,T90,T90,Jason Dufner,87,13.71,48,350
90,T90,T90,Steve Flesch,78,13.71,44,321
91,T90,T90,Tim Herron,79,13.71,44,321
92,93,93,Steve Elkington,74,13.68,42,307
93,94,94,Stephen Ames,75,13.67,41,300
94,95,95,Blake Adams,84,13.66,47,344
95,96,96,Heath Slocum,97,13.65,52,381
96,T97,T97,Robert Garrigus,71,13.64,39,286
97,T97,T97,Matt Kuchar,97,13.64,51,374
98,99,99,Jimmy Walker,82,13.61,46,338
99,100,100,Justin Leonard,89,13.6,48,353
100,101,101,Joe Ogilvie,99,13.58,55,405
101,102,102,Chad Collins,87,13.56,48,354
102,103,103,Alex Cejka,81,13.55,45,332
103,104,104,Martin Laird,91,13.54,49,362
104,105,105,James Nitties,92,13.53,51,377
105,T106,T106,Retief Goosen,75,13.52,38,281
106,T106,T106,Boo Weekley,88,13.52,48,355
107,108,108,Jerry Kelly,99,13.45,53,394
108,109,109,Rocco Mediate,71,13.36,39,292
109,T110,T110,Charley Hoffman,85,13.29,46,346
110,T110,T110,George McNeill,79,13.29,42,316
111,T112,T112,Ricky Barnes,103,13.25,55,415
112,T112,T112,Skip Kendall,58,13.25,31,234
113,114,114,John Senden,103,13.14,54,411
114,115,115,Phil Mickelson,76,13.13,39,297
115,116,116,Jerod Turner,54,13.12,29,221
116,117,117,Paul Goydos,78,13.1,41,313
117,T118,T118,John Merrick,109,13.01,57,438
118,T118,T118,Johnson Wagner,85,13.01,45,346
119,120,120,Cameron Tringale,55,13.0,29,223
120,121,121,Brett Quigley,96,12.98,51,393
121,122,122,Kevin Sutherland,86,12.96,46,355
122,123,123,Bo Van Pelt,104,12.9,53,411
123,T124,T124,Ryan Palmer,84,12.83,44,343
124,T124,T124,Josh Teater,101,12.83,53,413
125,126,126,Carl Pettersson,99,12.81,52,406
126,127,127,Andrew McLardy,52,12.8,27,211
127,128,128,Tom Pernice Jr.,74,12.71,37,291
128,129,129,Roger Tambellini,77,12.7,40,315
129,130,130,Y.E. Yang,72,12.69,34,268
130,131,131,Rich Barcelo,70,12.68,36,284
131,132,132,John Mallinger,78,12.66,40,316
132,133,133,Stewart Cink,84,12.58,39,310
133,134,134,Troy Matteson,84,12.57,42,334
134,T135,T135,Matt Every,60,12.5,31,248
135,T135,T135,Lucas Glover,75,12.5,36,288
136,137,137,Mark Calcavecchia,50,12.44,24,193
137,138,138,Kris Blanks,91,12.43,46,370
138,139,139,Jarrod Lyle,54,12.39,27,218
139,140,140,Cameron Beckman,68,12.36,34,275
140,141,141,Rory Sabbatini,79,12.22,38,311
141,142,142,Chris Riley,73,12.12,36,297
142,143,143,Rod Pampling,77,12.06,38,315
143,144,144,Garth Mulroy,53,12.04,26,216
144,145,145,Bill Lunde,79,12.0,39,325
145,146,146,Aaron Baddeley,94,11.98,46,384
146,147,147,Bob Estes,79,11.96,39,326
147,148,148,Stuart Appleby,101,11.92,49,411
148,149,149,Steve Wheatcroft,74,11.88,36,303
149,150,150,Charles Howell III,103,11.85,50,422
150,151,151,Jonathan Byrd,85,11.82,41,347
151,152,152,John Rollins,81,11.76,38,323
152,153,153,Jeev Milkha Singh,59,11.74,27,230
153,154,154,Luke Donald,71,11.72,32,273
154,155,155,Ben Crane,85,11.66,38,326
155,T156,T156,Jeff Gove,57,11.64,27,232
156,T156,T156,Will MacKenzie,72,11.64,34,292
157,T156,T156,Cameron Percy,73,11.64,34,292
158,159,159,Camilo Villegas,78,11.62,33,284
159,160,160,Justin Bolli,55,11.61,26,224
160,161,161,James Driscoll,78,11.6,37,319
161,162,162,Richard Johnson,90,11.52,41,356
162,163,163,Vijay Singh,75,11.42,33,289
163,164,164,Webb Simpson,98,11.41,46,403
164,165,165,Mathew Goggin,85,11.4,39,342
165,T166,T166,D.J. Trahan,92,11.32,42,371
166,T166,T166,Chris Wilson,65,11.32,30,265
167,168,168,Sean O'Hair,84,11.21,36,321
168,T169,T169,Kenny Perry,69,11.19,30,268
169,T169,T169,Roland Thatcher,72,11.19,33,295
170,T171,T171,J.B. Holmes,100,11.08,44,397
171,T171,T171,Ted Purdy,86,11.08,39,352
172,173,173,Bubba Watson,77,10.97,34,310
173,174,174,Chris Stroud,90,10.87,40,368
174,175,175,Billy Mayfair,78,10.76,34,316
175,176,176,Sergio Garcia,58,10.73,22,205
176,177,177,Ben Curtis,78,10.71,33,308
177,178,178,Padraig Harrington,57,10.67,24,225
178,179,179,J.J. Henry,92,10.64,40,376
179,180,180,Brent Delahoussaye,57,10.3,24,233
180,181,181,Nicholas Thompson,88,10.28,37,360
181,182,182,Ernie Els,72,10.14,28,276
182,183,183,Trevor Immelman,55,10.05,22,219
183,184,184,Joe Durant,67,9.85,27,274
184,185,185,Omar Uresti,74,9.57,29,303
185,186,186,Ian Poulter,55,9.47,18,190
186,187,187,Kevin Johnson,62,9.13,23,252
187,188,188,Matt Bettencourt,91,9.12,34,373
188,189,189,Rory McIlroy,54,9.0,18,200
189,190,190,Ángel Cabrera,64,8.61,21,244
190,191,191,Daniel Chopra,74,8.17,25,306
191,192,192,Cliff Kresge,50,6.86,14,204
