,Late_Round_1_Scoring_Average_RANK THIS WEEK,Late_Round_1_Scoring_Average_RANK LAST WEEK,Late_Round_1_Scoring_Average_PLAYER NAME,Late_Round_1_Scoring_Average_AVG,Late_Round_1_Scoring_Average_TOTAL STROKES,Late_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,Michael Letzig,68.62,892,13
1,2,2,Paul Casey,69.18,761,11
2,T3,T3,David Toms,69.27,762,11
3,T3,T3,Bo Van Pelt,69.27,762,11
4,5,5,Retief Goosen,69.29,485,7
5,6,6,Ricky Barnes,69.33,1040,15
6,7,7,Geoff Ogilvy,69.67,627,9
7,8,8,K.J. Choi,69.7,697,10
8,9,9,Charlie Wi,69.72,1255,18
9,10,10,Carl Pettersson,69.73,1046,15
10,11,11,Nick Watney,69.75,837,12
11,12,12,Dean Wilson,69.78,628,9
12,13,13,Chris DiMarco,69.8,698,10
13,14,14,Tom Gillis,69.81,1117,16
14,T15,T15,Steve Elkington,69.85,908,13
15,T15,T15,Aron Price,69.85,908,13
16,17,17,Matt Every,69.88,559,8
17,18,18,Ernie Els,69.91,769,11
18,T19,T19,Tim Clark,69.92,839,12
19,T19,T19,Bryce Molder,69.92,909,13
20,T21,T21,Blake Adams,70.0,910,13
21,T21,T21,Robert Allenby,70.0,560,8
22,T21,T21,Ángel Cabrera,70.0,560,8
23,T21,T21,J.P. Hayes,70.0,770,11
24,T21,T21,Charley Hoffman,70.0,840,12
25,T21,T21,Ryan Moore,70.0,700,10
26,27,27,John Daly,70.09,771,11
27,28,28,Spencer Levin,70.11,1332,19
28,29,29,Kevin Na,70.14,982,14
29,30,30,Steve Stricker,70.15,912,13
30,31,31,Jonathan Byrd,70.17,842,12
31,T32,T32,Jason Day,70.18,772,11
32,T32,T32,Cameron Tringale,70.18,772,11
33,34,34,Luke Donald,70.22,632,9
34,T35,T35,Joe Durant,70.25,562,8
35,T35,T35,Matt Kuchar,70.25,562,8
36,37,37,Charles Warren,70.3,703,10
37,T38,T38,Bill Haas,70.31,914,13
38,T38,T38,Brandt Snedeker,70.31,914,13
39,T40,T40,Marc Leishman,70.33,633,9
40,T40,T40,Ian Poulter,70.33,422,6
41,42,42,Freddie Jacobson,70.36,774,11
42,T43,T43,John Merrick,70.38,915,13
43,T43,T43,Garrett Willis,70.38,915,13
44,45,45,Brett Quigley,70.44,1127,16
45,46,46,Pat Perez,70.45,775,11
46,T47,T47,Scott McCarron,70.5,1128,16
47,T47,T47,Garth Mulroy,70.5,705,10
48,T47,T47,Chris Riley,70.5,705,10
49,T47,T47,Webb Simpson,70.5,1128,16
50,T47,T47,Brett Wetterich,70.5,423,6
51,T52,T52,Ryuji Imada,70.53,1058,15
52,T52,T52,Dustin Johnson,70.53,1058,15
53,54,54,Hunter Mahan,70.55,776,11
54,T55,T55,Will MacKenzie,70.56,635,9
55,T55,T55,Kenny Perry,70.56,635,9
56,57,57,Scott Piercy,70.57,988,14
57,58,58,Martin Laird,70.6,706,10
58,T59,T59,Tim Herron,70.64,989,14
59,T59,T59,Kevin Streelman,70.64,989,14
60,T61,T61,Kris Blanks,70.67,1484,21
61,T61,T61,George McNeill,70.67,848,12
62,63,63,Chris Stroud,70.69,919,13
63,64,64,Lee Janzen,70.7,707,10
64,T65,T65,Chris Couch,70.73,778,11
65,T65,T65,Troy Merritt,70.73,1061,15
66,67,67,Briny Baird,70.75,1132,16
67,68,68,Skip Kendall,70.78,637,9
68,69,69,Aaron Baddeley,70.79,991,14
69,70,70,Rod Pampling,70.8,708,10
70,71,71,J.B. Holmes,70.82,779,11
71,72,72,Brendon de Jonge,70.88,1134,16
72,T73,T73,Jim Furyk,70.89,638,9
73,T73,T73,Steve Lowery,70.89,638,9
74,T73,T73,Y.E. Yang,70.89,638,9
