,First_Tee_Late_Round_5_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Round_5_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Round_5_Scoring_Average_PLAYER NAME,First_Tee_Late_Round_5_Scoring_Average_AVG,First_Tee_Late_Round_5_Scoring_Average_TOTAL STROKES,First_Tee_Late_Round_5_Scoring_Average_TOTAL ROUNDS
0,1,1,Matt Kuchar,63.0,63,1
1,2,2,Bill Haas,64.0,64,1
2,3,3,Tim Clark,65.0,65,1
3,T4,T4,D.J. Trahan,66.0,66,1
4,T4,T4,Bubba Watson,66.0,66,1
5,T4,T4,Mike Weir,66.0,66,1
6,T7,T7,Alex Prugh,67.0,67,1
7,T7,T7,Vaughn Taylor,67.0,67,1
8,T9,T9,Chad Collins,68.0,68,1
9,T9,T9,Brandt Snedeker,68.0,68,1
10,T11,T11,Steve Elkington,69.0,69,1
11,T11,T11,Richard Johnson,69.0,69,1
12,T11,T11,Ryan Moore,69.0,69,1
13,14,14,Kevin Streelman,70.0,70,1
14,15,15,John Merrick,71.0,71,1
15,16,16,Martin Flores,72.0,72,1
16,17,17,Joe Ogilvie,74.0,74,1
