,Lowest_Round_RANK THIS WEEK,Lowest_Round_RANK LAST WEEK,Lowest_Round_PLAYER NAME,Lowest_Round_ROUNDS,Lowest_Round_VALUE,Lowest_Round_TOURN/COURSE,Lowest_Round_ROUND
0,T1,T1,Stuart Appleby,101,59,The Greenbrier/,4
1,T1,T1,Paul Goydos,78,59,John Deere Clas,1
2,T3,T3,J.B. Holmes,100,60,The Greenbrier/,3
3,T3,T3,Carl Pettersson,99,60,Canadian Open/S,3
4,T3,T3,Steve Stricker,73,60,John Deere Clas,1
5,T6,T6,Arjun Atwal,47,61,Wyndham Champ./,1
6,T6,T6,Cameron Beckman,68,61,HP Byron Nelson,2
7,T6,T6,Kevin Na,94,61,Wyndham Champ./,3
8,T6,T6,D.A. Points,90,61,The Greenbrier/,3
9,T10,T10,Ricky Barnes,103,62,Memorial Tourn/,3
10,T10,T10,Shane Bertsch,15,62,Bob Hope/PGA We,1
11,T10,T10,Graham DeLaet,88,62,Reno-Tahoe Open,3
12,T10,T10,Brent Delahoussaye,57,62,Canadian Open/S,1
13,T10,T10,Retief Goosen,75,62,Sony Open/Waial,4
14,T10,T10,Charley Hoffman,85,62,Deutsche Bank/T,4
15,T10,T10,Charles Howell III,103,62,The McGladrey/S,4
16,T10,T10,Ryuji Imada,90,62,J. Timberlake/T,2
17,T10,T10,Freddie Jacobson,83,62,Wyndham Champ./,4
18,T10,T10,Martin Laird,91,62,J. Timberlake/T,2
19,T10,T10,John Mallinger,78,62,Wyndham Champ./,4
20,T10,T10,Rory McIlroy,54,62,Quail Hollow/Qu,4
21,T10,T10,Katsumasa Miyamoto,6,62,WGC-Bridgestone,3
22,T10,T10,Bryce Molder,84,62,Crowne Plaza/Co,2
23,T10,T10,Jeff Overton,89,62,The Greenbrier/,2
24,T10,T10,Cameron Percy,73,62,J. Timberlake/T,3
25,T10,T10,Justin Rose,78,62,Travelers Champ,2
26,T10,T10,Michael Sim,64,62,Wyndham Champ./,4
27,T10,T10,Chris Stroud,90,62,Disney/Palm GC,1
28,T10,T10,Kevin Sutherland,86,62,Canadian Open/S,2
29,T10,T10,Camilo Villegas,78,62,Phoenix Open/TP,1
30,T10,T10,Bubba Watson,77,62,Bob Hope/Silver,2
31,T32,T32,Blake Adams,84,63,Crowne Plaza/Co,1
32,T32,T32,Woody Austin,93,63,The Greenbrier/,4
33,T32,T32,Jason Bohn,84,63,Crowne Plaza/Co,1
34,T32,T32,Jonathan Byrd,85,63,J. Timberlake/T,2
35,T32,T32,Tim Clark,88,63,Bob Hope/PGA We,2
36,T32,T32,Erik Compton,24,63,The Greenbrier/,1
37,T32,T32,Chris Couch,66,63,Turning Stone/A,3
38,T32,T32,Jason Day,82,63,Deutsche Bank/T,1
39,T32,T32,Brendon de Jonge,114,63,Travelers Champ,2
40,T32,T32,Matt Every,60,63,The Greenbrier/,1
41,T32,T32,Brian Gay,101,63,HP Byron Nelson,4
42,T32,T32,Tom Gillis,97,63,The Greenbrier/,2
43,T32,T32,J.P. Hayes,79,63,AT&T Pebble/Mon,3
44,T32,T32,J.J. Henry,92,63,Turning Stone/A,4
45,T32,T32,Tim Herron,79,63,Canadian Open/S,2
46,T32,T32,Lee Janzen,77,63,Crowne Plaza/Co,3
47,T32,T32,Zach Johnson,93,63,Deutsche Bank/T,1
48,T32,T32,Jerry Kelly,99,63,The McGladrey/S,2
49,T32,T32,Matt Kuchar,97,63,The Greenbrier/,3
50,T32,T32,Derek Lamely,81,63,The Greenbrier/,3
51,T32,T32,Justin Leonard,89,63,Wyndham Champ./,2
52,T32,T32,Spencer Levin,110,63,J. Timberlake/T,2
53,T32,T32,Bill Lunde,79,63,Travelers Champ,2
54,T32,T32,Jeff Maggert,76,63,John Deere Clas,3
55,T32,T32,Scott McCarron,90,63,Wyndham Champ./,3
56,T32,T32,Rocco Mediate,71,63,The Greenbrier/,3
57,T32,T32,Shaun Micheel,70,63,John Deere Clas,3
58,T32,T32,James Nitties,92,63,The Greenbrier/,2
59,T32,T32,Ryan Palmer,84,63,WGC-Bridgestone,3
60,T32,T32,Pat Perez,90,63,Crowne Plaza/Co,3
61,T32,T32,Ian Poulter,55,63,Phoenix Open/TP,2
62,T32,T32,John Rollins,81,63,The McGladrey/S,1
63,T32,T32,Rory Sabbatini,79,63,SBS Championshi,4
64,T32,T32,Webb Simpson,98,63,Wyndham Champ./,4
65,T32,T32,Brandt Snedeker,89,63,Wyndham Champ./,1
66,T32,T32,Kevin Streelman,90,63,The Barclays/Ri,2
67,T32,T32,Roland Thatcher,72,63,Disney/Magnolia,2
68,T32,T32,David Toms,86,63,Transitions Chp,2
69,T32,T32,Kirk Triplett,36,63,Wyndham Champ./,4
70,T32,T32,Charles Warren,64,63,Turning Stone/A,3
71,T32,T32,Nick Watney,91,63,THE TOUR Champ/,3
72,T32,T32,Boo Weekley,88,63,The Greenbrier/,2
73,T32,T32,Lee Westwood,40,63,St. Jude/TPC So,1
74,T75,T75,Stephen Ames,75,64,Honda Classic/P,2
75,T75,T75,Aaron Baddeley,94,64,J. Timberlake/T,3
76,T75,T75,Briny Baird,87,64,Sony Open/Waial,3
77,T75,T75,Kris Blanks,91,64,Crowne Plaza/Co,2
78,T75,T75,Michael Bradley,77,64,Bob Hope/PGA We,4
79,T75,T75,Chad Campbell,95,64,J. Timberlake/T,2
80,T75,T75,Paul Casey,64,64,Honda Classic/P,2
81,T75,T75,Greg Chalmers,93,64,J. Timberlake/T,2
82,T75,T75,K.J. Choi,82,64,Heritage/Harbou,1
83,T75,T75,Chad Collins,87,64,Bob Hope/PGA We,2
84,T75,T75,Ben Crane,85,64,Crowne Plaza/Co,3
85,T75,T75,Ben Curtis,78,64,Travelers Champ,3
86,T75,T75,John Daly,63,64,Wyndham Champ./,4
87,T75,T75,Brian Davis,101,64,Deutsche Bank/T,1
88,T75,T75,Jason Dufner,87,64,Bob Hope/PGA We,3
89,T75,T75,Ken Duke,16,64,The McGladrey/S,3
90,T75,T75,Joe Durant,67,64,Wyndham Champ./,4
91,T75,T75,David Duval,71,64,J. Timberlake/T,2
92,T75,T75,Ernie Els,72,64,WGC-Bridgestone,3
93,T75,T75,Bob Estes,79,64,Turning Stone/A,4
94,T75,T75,Rickie Fowler,98,64,J. Timberlake/T,2
95,T75,T75,Jim Furyk,76,64,WGC-Bridgestone,4
96,T75,T75,Robert Garrigus,71,64,Disney/Magnolia,4
97,T75,T75,Lucas Glover,75,64,Wyndham Champ./,1
98,T75,T75,Mathew Goggin,85,64,Travelers Champ,1
99,T75,T75,Bill Haas,87,64,Crowne Plaza/Co,3
100,T75,T75,Padraig Harrington,57,64,Travelers Champ,4
101,T75,T75,Mark Hensby,39,64,John Deere Clas,2
102,T75,T75,Yuta Ikeda,32,64,HP Byron Nelson,2
103,T75,T75,Richard Johnson,90,64,J. Timberlake/T,4
104,T75,T75,Dustin Johnson,83,64,The Barclays/Ri,3
105,T75,T75,Matt Jones,89,64,John Deere Clas,1
106,T75,T75,Skip Kendall,58,64,Mayakoba/El Cam,4
107,T75,T75,Anthony Kim,45,64,Honda Classic/P,2
108,T75,T75,Cliff Kresge,50,64,Travelers Champ,2
109,T75,T75,Marc Leishman,87,64,Wyndham Champ./,4
110,T75,T75,Michael Letzig,84,64,J. Timberlake/T,1
111,T75,T75,WC Liang,14,64,PGA Championshi,3
112,T75,T75,Steve Lowery,67,64,AT&T Pebble/Mon,2
113,T75,T75,Will MacKenzie,72,64,J. Timberlake/T,1
114,T75,T75,Brock Mackenzie,4,64,Canadian Open/S,1
115,T75,T75,Hunter Mahan,85,64,Deutsche Bank/T,1
116,T75,T75,George McNeill,79,64,The Greenbrier/,1
117,T75,T75,John Merrick,109,64,Travelers Champ,4
118,T75,T75,Troy Merritt,86,64,The McGladrey/S,3
119,T75,T75,Ryan Moore,80,64,Deutsche Bank/T,1
120,T75,T75,Sean O'Hair,84,64,WGC-Bridgestone,3
121,T75,T75,Nick O'Hern,33,64,Heritage/Harbou,3
122,T75,T75,Geoff Ogilvy,62,64,Deutsche Bank/T,1
123,T75,T75,Brenden Pappas,66,64,The Greenbrier/,3
124,T75,T75,Corey Pavin,27,64,Crowne Plaza/Co,2
125,T75,T75,Kenny Perry,69,64,Crowne Plaza/Co,2
126,T75,T75,Scott Piercy,88,64,Wyndham Champ./,3
