,First_Tee_Late_Par_3_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Par_3_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Par_3_Scoring_Average_PLAYER NAME,First_Tee_Late_Par_3_Scoring_Average_ROUNDS,First_Tee_Late_Par_3_Scoring_Average_AVG,First_Tee_Late_Par_3_Scoring_Average_TOTAL STROKES,First_Tee_Late_Par_3_Scoring_Average_TOTAL HOLES
0,1,1,Michael Sim,64,2.84,244,86
1,2,2,Aron Price,70,2.87,310,108
2,3,3,David Toms,86,2.9,363,125
3,T4,T4,Briny Baird,87,2.94,291,99
4,T4,T4,Jeff Overton,89,2.94,371,126
5,T6,T6,Pat Perez,90,2.95,295,100
6,T6,T6,Steve Stricker,73,2.95,472,160
7,T8,T8,David Duval,71,2.96,290,98
8,T8,T8,Rickie Fowler,98,2.96,488,165
9,T8,T8,David Lutterus,69,2.96,142,48
10,T11,T11,Chris DiMarco,88,2.97,270,91
11,T11,T11,Andrew McLardy,52,2.97,107,36
12,T13,T13,Spencer Levin,110,2.98,438,147
13,T13,T13,Kevin Streelman,90,2.98,268,90
14,T15,T15,Chad Campbell,94,2.99,299,100
15,T15,T15,Michael Connell,89,2.99,299,100
16,T15,T15,Jim Furyk,76,2.99,506,169
17,T15,T15,Davis Love III,79,2.99,392,131
18,T15,T15,Ryan Moore,80,2.99,374,125
19,T15,T15,Carl Pettersson,99,2.99,359,120
20,T15,T15,Scott Verplank,74,2.99,209,70
21,T15,T15,Dean Wilson,54,2.99,236,79
22,T23,T23,Martin Flores,75,3.0,258,86
23,T23,T23,Robert Garrigus,71,3.0,252,84
24,T23,T23,Bill Haas,87,3.0,414,138
25,T23,T23,Freddie Jacobson,83,3.0,228,76
26,T23,T23,Troy Merritt,86,3.0,321,107
27,T23,T23,Chris Tidland,77,3.0,264,88
28,T29,T29,Tim Clark,88,3.01,352,117
29,T29,T29,Ben Crane,85,3.01,247,82
30,T29,T29,Luke Donald,71,3.01,412,137
31,T29,T29,Richard Johnson,90,3.01,289,96
32,T29,T29,Brett Quigley,96,3.01,319,106
33,T29,T29,Paul Stankowski,62,3.01,205,68
34,T29,T29,Cameron Tringale,55,3.01,220,73
35,T36,T36,Chad Collins,87,3.02,344,114
36,T36,T36,Brad Faxon,58,3.02,172,57
37,T36,T36,Martin Laird,91,3.02,329,109
38,T36,T36,Derek Lamely,81,3.02,251,83
39,T36,T36,Shaun Micheel,70,3.02,326,108
40,T36,T36,Chris Riley,73,3.02,308,102
41,T36,T36,Andres Romero,73,3.02,281,93
42,T36,T36,Vaughn Taylor,87,3.02,248,82
43,T36,T36,Camilo Villegas,78,3.02,383,127
44,T36,T36,Garrett Willis,82,3.02,281,93
45,T46,T46,Aaron Baddeley,94,3.03,330,109
46,T46,T46,Steve Elkington,74,3.03,303,100
47,T46,T46,Tim Herron,79,3.03,264,87
48,T46,T46,Ryuji Imada,90,3.03,267,88
49,T46,T46,Zach Johnson,93,3.03,415,137
50,T46,T46,Matt Kuchar,97,3.03,528,174
51,T46,T46,Marc Leishman,87,3.03,361,119
52,T46,T46,Kevin Na,94,3.03,427,141
53,T46,T46,Justin Rose,78,3.03,339,112
54,T55,T55,Cameron Beckman,68,3.04,246,81
55,T55,T55,Chris Couch,66,3.04,258,85
56,T55,T55,Brendon de Jonge,114,3.04,544,179
57,T55,T55,J.P. Hayes,79,3.04,344,113
58,T55,T55,Lee Janzen,77,3.04,246,81
59,T55,T55,Matt Jones,89,3.04,340,112
60,T55,T55,Cliff Kresge,50,3.04,140,46
61,T55,T55,Steve Lowery,67,3.04,213,70
62,T55,T55,Jeff Maggert,76,3.04,301,99
