,Par_5_Birdie_or_Better_Leaders_RANK THIS WEEK,Par_5_Birdie_or_Better_Leaders_RANK LAST WEEK,Par_5_Birdie_or_Better_Leaders_PLAYER NAME,Par_5_Birdie_or_Better_Leaders_ROUNDS,Par_5_Birdie_or_Better_Leaders_%,Par_5_Birdie_or_Better_Leaders_PAR 5 BIRDIES OR BETTER,Par_5_Birdie_or_Better_Leaders_PAR 5 HOLES
0,1,1,Bubba Watson,77,51.63,127,246
1,2,2,Phil Mickelson,76,50.2,127,253
2,3,3,Charley Hoffman,85,48.52,131,270
3,4,4,Alex Prugh,88,48.39,135,279
4,5,5,J.B. Holmes,100,48.22,149,309
5,6,6,Dustin Johnson,83,47.91,126,263
6,7,7,Webb Simpson,98,47.83,143,299
7,8,8,D.J. Trahan,92,47.65,142,298
8,9,9,Matt Bettencourt,91,47.52,144,303
9,10,10,Nick Watney,91,47.37,135,285
10,11,11,Tom Gillis,97,47.28,148,313
11,12,12,Matt Every,60,46.88,90,192
12,13,13,Vijay Singh,75,46.58,102,219
13,14,14,Rory Sabbatini,79,46.56,122,262
14,15,15,Martin Laird,91,46.5,133,286
15,16,16,Paul Casey,64,46.47,79,170
16,17,17,Bill Haas,87,46.45,131,282
17,18,18,Steve Stricker,73,46.43,104,224
18,T19,T19,James Nitties,92,46.42,136,293
19,T19,T19,Bo Van Pelt,104,46.42,149,321
20,21,21,Jonathan Byrd,85,46.33,120,259
21,22,22,Matt Kuchar,97,46.31,138,298
22,23,23,Paul Stankowski,62,46.28,87,188
23,24,24,Kevin Stadler,86,46.15,132,286
24,25,25,Graham DeLaet,88,46.13,125,271
25,26,26,John Daly,63,45.95,85,185
26,27,27,Davis Love III,79,45.68,111,243
27,28,28,John Merrick,109,45.64,157,344
28,29,29,Ryan Moore,80,45.45,115,253
29,30,30,Garth Mulroy,53,45.4,79,174
30,31,31,Retief Goosen,75,45.12,97,215
31,32,32,James Driscoll,78,45.0,108,240
32,33,33,Sergio Garcia,58,44.97,76,169
33,34,34,Lucas Glover,75,44.87,105,234
34,35,35,Daniel Chopra,74,44.73,106,237
35,36,36,Justin Rose,78,44.68,105,235
36,37,37,Kevin Streelman,90,44.6,128,287
37,38,38,Charles Howell III,103,44.55,147,330
38,39,39,Martin Flores,75,44.53,110,247
39,40,40,Scott Piercy,88,44.48,125,281
40,41,41,Stewart Cink,84,44.35,110,248
41,42,42,Troy Merritt,86,44.28,120,271
42,43,43,Ernie Els,72,44.2,99,224
43,44,44,Aron Price,70,43.98,95,216
44,45,45,Robert Allenby,76,43.81,99,226
45,46,46,Aaron Baddeley,94,43.77,130,297
46,47,47,Jason Day,82,43.72,108,247
47,48,48,Mark Calcavecchia,50,43.56,71,163
48,49,49,Charles Warren,64,43.5,87,200
49,50,50,Matt Jones,89,43.46,123,283
50,51,51,Ángel Cabrera,64,43.37,85,196
51,52,52,Cameron Percy,73,43.1,103,239
52,T53,T53,Chris Couch,66,43.06,93,216
53,T53,T53,Robert Garrigus,71,43.06,93,216
54,55,55,Padraig Harrington,57,42.86,75,175
55,56,56,Vaughn Taylor,87,42.81,122,285
56,57,57,Brett Wetterich,54,42.68,70,164
57,58,58,Joe Ogilvie,99,42.54,134,315
58,59,59,Brett Quigley,96,42.49,133,313
59,60,60,Hunter Mahan,85,42.32,113,267
60,61,61,Brandt Snedeker,89,42.29,118,279
61,62,62,Troy Matteson,84,42.11,112,266
62,63,63,Marc Leishman,87,42.08,109,259
63,64,64,John Rollins,81,42.06,106,252
64,65,65,George McNeill,79,41.94,104,248
65,66,66,K.J. Choi,82,41.83,110,263
66,67,67,Brendon de Jonge,114,41.73,154,369
67,68,68,Henrik Bjornstad,72,41.7,98,235
68,69,69,Ted Purdy,86,41.67,115,276
69,70,70,John Mallinger,78,41.6,104,250
70,T71,T71,Jarrod Lyle,54,41.57,69,166
71,T71,T71,Steve Marino,81,41.57,111,267
72,73,73,Kevin Na,94,41.4,118,285
73,74,74,Ryan Palmer,84,41.33,112,271
74,75,75,Johnson Wagner,85,41.18,112,272
75,76,76,Y.E. Yang,72,41.12,88,214
76,T77,T77,Ben Crane,85,41.11,104,253
77,T77,T77,J.J. Henry,92,41.11,118,287
78,T77,T77,Pat Perez,90,41.11,118,287
79,80,80,Spencer Levin,110,41.06,140,341
80,81,81,John Senden,103,41.03,135,329
81,82,82,Briny Baird,87,40.93,106,259
82,83,83,Chad Collins,87,40.75,108,265
83,84,84,Chris Stroud,90,40.7,116,285
84,85,85,Josh Teater,101,40.62,132,325
85,86,86,Woody Austin,93,40.54,120,296
86,87,87,Steve Wheatcroft,74,40.51,96,237
87,88,88,Michael Letzig,84,40.47,104,257
88,89,89,Camilo Villegas,78,40.45,89,220
89,90,90,Will MacKenzie,72,40.36,90,223
90,91,91,Sean O'Hair,84,40.0,106,265
91,92,92,Chris Tidland,77,39.84,100,251
92,93,93,Stuart Appleby,101,39.74,122,307
93,T94,T94,Steve Elkington,74,39.59,97,245
94,T94,T94,Tim Herron,79,39.59,97,245
95,96,96,Mathias Grönberg,61,39.57,74,187
96,97,97,Jeff Overton,89,39.48,107,271
97,98,98,J.P. Hayes,79,39.46,103,261
98,99,99,Jason Dufner,87,39.44,112,284
99,T100,T100,Zach Johnson,93,39.29,110,280
100,T100,T100,Geoff Ogilvy,62,39.29,77,196
101,T102,T102,Tim Petrovic,105,39.22,131,334
102,T102,T102,Jeff Quinney,91,39.22,111,283
103,104,104,Kevin Sutherland,86,39.15,110,281
104,105,105,Steve Flesch,78,39.08,102,261
105,106,106,Luke Donald,71,39.07,84,215
106,107,107,Joe Durant,67,39.0,78,200
107,108,108,Jerry Kelly,99,38.92,123,316
108,109,109,Scott McCarron,90,38.89,112,288
109,110,110,Rickie Fowler,98,38.78,121,312
110,T111,T111,Tom Pernice Jr.,74,38.77,88,227
111,T111,T111,Adam Scott,70,38.77,88,227
112,T111,T111,Roland Thatcher,72,38.77,88,227
113,114,114,Rod Pampling,77,38.74,98,253
114,115,115,Ryuji Imada,90,38.71,108,279
115,116,116,Derek Lamely,81,38.61,100,259
116,117,117,Cameron Tringale,55,38.55,69,179
117,118,118,Ian Poulter,55,38.51,57,148
