,Birdie_or_Better_Percentage_-_175-200_ya_RANK THIS WEEK,Birdie_or_Better_Percentage_-_175-200_ya_RANK LAST WEEK,Birdie_or_Better_Percentage_-_175-200_ya_PLAYER NAME,Birdie_or_Better_Percentage_-_175-200_ya_ROUNDS,Birdie_or_Better_Percentage_-_175-200_ya_%,Birdie_or_Better_Percentage_-_175-200_ya_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_175-200_ya_TOTAL HOLES
0,1,1,Nick Watney,91,19.57,36,184
1,2,2,Matt Kuchar,97,18.41,44,239
2,3,3,Paul Casey,64,18.18,26,143
3,4,4,Dustin Johnson,83,17.98,32,178
4,5,5,Woody Austin,93,17.51,45,257
5,6,6,Matt Jones,89,17.22,47,273
6,7,7,Brett Wetterich,54,17.14,24,140
7,8,8,George McNeill,79,17.04,38,223
8,9,9,Paul Stankowski,62,16.99,26,153
9,10,10,Lucas Glover,75,16.92,33,195
10,11,11,Bubba Watson,77,16.91,35,207
11,12,12,Charles Warren,64,16.89,25,148
12,13,13,Ryan Palmer,84,16.36,36,220
13,T14,T14,Hunter Mahan,85,16.33,32,196
14,T14,T14,Steve Stricker,73,16.33,32,196
15,16,16,Graham DeLaet,88,16.26,33,203
16,17,17,Robert Garrigus,71,16.11,24,149
17,18,18,Garth Mulroy,53,16.0,24,150
18,19,19,John Daly,63,15.97,19,119
19,20,20,Retief Goosen,75,15.92,25,157
20,21,21,Jeff Overton,89,15.91,35,220
21,22,22,Andres Romero,73,15.86,36,227
22,23,23,Stewart Cink,84,15.84,32,202
23,24,24,Vijay Singh,75,15.61,27,173
24,25,25,Steve Marino,81,15.54,30,193
25,26,26,Chris Couch,66,15.52,27,174
26,27,27,Martin Laird,91,15.38,36,234
27,28,28,Rory Sabbatini,79,15.24,32,210
28,29,29,Derek Lamely,81,15.12,31,205
29,30,30,Aaron Baddeley,94,15.06,36,239
30,31,31,Y.E. Yang,72,15.03,29,193
31,32,32,Brandt Snedeker,89,15.02,41,273
32,33,33,Charles Howell III,103,14.98,40,267
33,34,34,Martin Flores,75,14.88,25,168
34,35,35,David Duval,71,14.81,24,162
35,36,36,Charley Hoffman,85,14.78,34,230
36,T37,T37,Stephen Ames,75,14.77,35,237
37,T37,T37,Michael Sim,64,14.77,26,176
38,T39,T39,Rich Barcelo,70,14.72,29,197
39,T39,T39,Garrett Willis,82,14.72,34,231
40,41,41,Justin Rose,78,14.69,36,245
41,42,42,Brian Stuard,81,14.68,32,218
42,43,43,Jason Day,82,14.59,34,233
43,44,44,D.J. Trahan,92,14.58,35,240
44,45,45,Jay Williamson,76,14.5,29,200
45,46,46,Boo Weekley,88,14.47,33,228
46,47,47,Bo Van Pelt,104,14.39,38,264
47,48,48,John Rollins,81,14.35,31,216
48,49,49,Mathias Grönberg,61,14.29,21,147
49,50,50,Michael Letzig,84,14.23,34,239
50,51,51,Adam Scott,70,14.2,23,162
51,52,52,Marc Leishman,87,14.1,32,227
52,53,53,D.A. Points,90,14.09,41,291
53,54,54,Bill Haas,87,14.06,35,249
54,55,55,J.B. Holmes,100,14.01,36,257
55,56,56,Troy Merritt,86,13.97,32,229
