,Total_Birdies_RANK THIS WEEK,Total_Birdies_RANK LAST WEEK,Total_Birdies_PLAYER NAME,Total_Birdies_ROUNDS,Total_Birdies_TOTAL
162,T162,T162,Kenny Perry,69,215
163,164,164,Steve Lowery,67,213
164,165,165,Mathias Grönberg,61,212
165,166,166,David Lutterus,69,209
166,167,167,Chris Wilson,65,206
167,168,168,Brett Wetterich,54,196
168,169,169,Skip Kendall,58,195
169,170,170,Dean Wilson,54,192
170,171,171,Kevin Johnson,62,190
171,172,172,Padraig Harrington,57,188
172,173,173,Jarrod Lyle,54,187
173,174,174,Brad Faxon,58,185
174,175,175,Sergio Garcia,58,184
175,T176,T176,Mark Calcavecchia,50,180
176,T176,T176,Cameron Tringale,55,180
177,T178,T178,Rory McIlroy,54,179
178,T178,T178,Jeev Milkha Singh,59,179
179,T178,T178,Vance Veazey,58,179
180,T178,T178,Mike Weir,59,179
181,182,182,Garth Mulroy,53,177
182,183,183,Jerod Turner,54,172
183,184,184,Brent Delahoussaye,57,168
184,185,185,Jeff Gove,57,164
185,T186,T186,Trevor Immelman,55,162
186,T186,T186,Andrew McLardy,52,162
187,188,188,Craig Bowden,56,157
188,189,189,Justin Bolli,55,155
189,T190,T190,Cliff Kresge,50,154
190,T190,T190,Ian Poulter,55,154
191,192,192,Greg Kraft,52,145
