,Reverse_Bounce_Back_RANK THIS WEEK,Reverse_Bounce_Back_RANK LAST WEEK,Reverse_Bounce_Back_PLAYER NAME,Reverse_Bounce_Back_ROUNDS,Reverse_Bounce_Back_% UNDER THEN OVER PAR,Reverse_Bounce_Back_TOTAL UNDER THEN OVER PAR,Reverse_Bounce_Back_UNDER PAR
0,1,1,Kenny Perry,69,9.22,20,217
1,2,2,Joe Durant,67,9.96,23,231
2,3,3,Heath Slocum,97,10.06,33,328
3,4,4,Charlie Wi,95,10.74,35,326
4,5,5,Greg Chalmers,93,10.87,35,322
5,6,6,Omar Uresti,74,10.9,23,211
6,7,7,Scott McCarron,90,11.26,33,293
7,8,8,Chad Campbell,94,11.39,36,316
8,9,9,Steve Elkington,74,11.65,29,249
9,10,10,Stephen Ames,75,11.69,29,248
10,11,11,Rickie Fowler,98,11.78,41,348
11,12,12,Luke Donald,71,11.79,27,229
12,13,13,John Senden,103,12.03,42,349
13,14,14,Shaun Micheel,70,12.17,28,230
14,15,15,Alex Prugh,88,12.54,40,319
15,16,16,Tim Clark,88,12.59,36,286
16,17,17,Retief Goosen,75,12.6,32,254
17,18,18,Chris DiMarco,88,12.63,36,285
18,19,19,Steve Stricker,73,12.69,34,268
19,20,20,Tim Petrovic,105,12.72,44,346
20,21,21,Lucas Glover,75,12.96,35,270
21,22,22,Brian Gay,101,13.0,42,323
22,23,23,Skip Kendall,58,13.04,24,184
23,24,24,Richard Johnson,90,13.07,37,283
24,25,25,Brandt Snedeker,89,13.21,44,333
25,26,26,Kevin Sutherland,86,13.22,39,295
26,27,27,Boo Weekley,88,13.26,37,279
27,28,28,Rocco Mediate,71,13.3,29,218
28,29,29,Hunter Mahan,85,13.31,39,293
29,30,30,Michael Connell,89,13.36,41,307
30,31,31,Ricky Barnes,103,13.41,48,358
31,32,32,Steve Marino,81,13.42,40,298
32,33,33,Matt Kuchar,97,13.59,50,368
33,34,34,Jeff Maggert,76,13.6,34,250
34,35,35,Chad Collins,87,13.61,40,294
35,36,36,Michael Sim,64,13.62,29,213
36,37,37,Paul Stankowski,62,13.69,33,241
37,38,38,Vaughn Taylor,87,13.78,43,312
38,39,39,Chris Riley,73,13.81,33,239
39,40,40,Y.E. Yang,72,13.93,34,244
40,41,41,Pat Perez,90,13.95,47,337
41,42,42,Steve Wheatcroft,74,14.11,35,248
42,T43,T43,James Driscoll,78,14.18,38,268
43,T43,T43,Spencer Levin,110,14.18,56,395
